date,name,symbol,sector,open,high,low,close,volume
2014-04-10,Acuity Brands Inc.,AYI,Technology,125.2052,125.6972,120.0687,120.4426,601858
2014-04-11,Acuity Brands Inc.,AYI,Technology,119.2126,124.0146,118.9518,121.5841,618018
2014-04-14,Acuity Brands Inc.,AYI,Technology,123.0601,123.2372,119.5964,120.5312,341972
2014-04-15,Acuity Brands Inc.,AYI,Technology,120.6395,122.4618,117.2411,121.7034,491285
2014-04-16,Acuity Brands Inc.,AYI,Technology,122.9938,125.3481,122.2944,124.3728,505362
2014-04-17,Acuity Brands Inc.,AYI,Technology,123.5356,125.417,122.5702,124.1069,562274
2014-04-21,Acuity Brands Inc.,AYI,Technology,124.3039,125.811,123.7129,125.7224,287328
2014-04-22,Acuity Brands Inc.,AYI,Technology,125.6436,126.7468,124.5206,124.8457,319778
2014-04-23,Acuity Brands Inc.,AYI,Technology,124.432,125.6337,122.255,125.4367,542074
2014-04-24,Acuity Brands Inc.,AYI,Technology,126.2346,126.2346,123.1021,123.6144,248876
2014-04-25,Acuity Brands Inc.,AYI,Technology,123.0726,123.0726,120.8168,122.058,258681
2014-04-28,Acuity Brands Inc.,AYI,Technology,122.846,123.7917,119.0831,120.8267,255454
2014-04-29,Acuity Brands Inc.,AYI,Technology,121.1123,122.2648,120.5902,122.058,259083
2014-04-30,Acuity Brands Inc.,AYI,Technology,121.5753,123.0233,120.6198,122.7081,301861
2014-05-01,Acuity Brands Inc.,AYI,Technology,122.8854,124.2743,120.9744,121.7822,282008
2014-05-02,Acuity Brands Inc.,AYI,Technology,122.1565,123.8606,121.5556,121.9004,205006
2014-05-05,Acuity Brands Inc.,AYI,Technology,120.7479,123.0135,119.7727,122.4815,299610
2014-05-06,Acuity Brands Inc.,AYI,Technology,122.0186,122.2747,120.3144,120.7774,261583
2014-05-07,Acuity Brands Inc.,AYI,Technology,120.9153,121.6344,117.8813,119.9894,488247
2014-05-08,Acuity Brands Inc.,AYI,Technology,119.6544,122.0481,117.1524,117.4578,531104
2014-05-09,Acuity Brands Inc.,AYI,Technology,116.7387,118.1769,115.0247,118.1375,597251
2014-05-12,Acuity Brands Inc.,AYI,Technology,118.9649,121.2601,118.1552,120.5213,567965
2014-05-13,Acuity Brands Inc.,AYI,Technology,120.4622,121.4374,120.2356,120.5705,503655
2014-05-14,Acuity Brands Inc.,AYI,Technology,120.2258,120.6789,118.6398,119.1422,430721
2014-05-15,Acuity Brands Inc.,AYI,Technology,118.236,118.8073,116.9258,118.039,760325
2014-05-16,Acuity Brands Inc.,AYI,Technology,117.8616,119.8121,117.4676,119.7332,306592
2014-05-19,Acuity Brands Inc.,AYI,Technology,119.6052,121.0828,119.1127,120.1765,225983
2014-05-20,Acuity Brands Inc.,AYI,Technology,119.8022,120.3341,117.7434,118.7482,523234
2014-05-21,Acuity Brands Inc.,AYI,Technology,119.487,121.1025,119.2407,120.7282,351706
2014-05-22,Acuity Brands Inc.,AYI,Technology,120.6493,122.4618,120.1765,121.8511,227540
2014-05-23,Acuity Brands Inc.,AYI,Technology,121.8413,122.9938,121.4275,122.7869,197060
2014-05-27,Acuity Brands Inc.,AYI,Technology,123.2696,125.1215,122.5505,124.363,251512
2014-05-28,Acuity Brands Inc.,AYI,Technology,123.8606,124.1955,122.8263,122.915,314659
2014-05-29,Acuity Brands Inc.,AYI,Technology,123.3287,123.9099,122.2254,123.6932,182122
2014-05-30,Acuity Brands Inc.,AYI,Technology,123.8902,123.9,122.4815,123.6341,336482
2014-06-02,Acuity Brands Inc.,AYI,Technology,123.6242,123.9887,122.4077,123.6833,299152
2014-06-03,Acuity Brands Inc.,AYI,Technology,123.0135,123.9394,122.4717,123.0135,225354
2014-06-04,Acuity Brands Inc.,AYI,Technology,122.5209,123.6439,121.8905,123.0135,173694
2014-06-05,Acuity Brands Inc.,AYI,Technology,123.0036,126.2839,122.6195,126.1065,234482
2014-06-06,Acuity Brands Inc.,AYI,Technology,126.8059,129.2883,125.9785,128.8647,389201
2014-06-09,Acuity Brands Inc.,AYI,Technology,128.4805,131.3963,128.2146,130.6378,282269
2014-06-10,Acuity Brands Inc.,AYI,Technology,130.2635,130.2635,128.7465,129.1898,254645
2014-06-11,Acuity Brands Inc.,AYI,Technology,128.3229,129.3178,127.791,129.1602,190996
2014-06-12,Acuity Brands Inc.,AYI,Technology,128.6677,129.6034,125.88,126.3036,408897
2014-06-13,Acuity Brands Inc.,AYI,Technology,126.6877,127.5152,125.8996,127.0029,227949
2014-06-16,Acuity Brands Inc.,AYI,Technology,126.4612,127.6629,126.1853,127.594,239175
2014-06-17,Acuity Brands Inc.,AYI,Technology,127.2689,130.4802,126.9438,129.9778,390142
2014-06-18,Acuity Brands Inc.,AYI,Technology,129.6429,130.8151,128.9533,130.756,219157
2014-06-19,Acuity Brands Inc.,AYI,Technology,131.4357,132.6769,129.633,132.598,570927
2014-06-20,Acuity Brands Inc.,AYI,Technology,132.598,133.4747,131.5243,133.3762,545855
2014-06-23,Acuity Brands Inc.,AYI,Technology,133.3664,133.6521,132.2237,132.6473,391772
2014-06-24,Acuity Brands Inc.,AYI,Technology,132.0464,134.2037,131.6524,132.076,450053
2014-06-25,Acuity Brands Inc.,AYI,Technology,131.5933,134.3219,131.5933,134.0953,420476
2014-06-26,Acuity Brands Inc.,AYI,Technology,133.9476,136.1442,132.2631,135.0804,570085
2014-06-27,Acuity Brands Inc.,AYI,Technology,134.0953,135.5138,133.7112,134.2726,3800948
2014-06-30,Acuity Brands Inc.,AYI,Technology,134.2726,136.3905,133.4846,136.1836,665716
2014-07-01,Acuity Brands Inc.,AYI,Technology,127.9289,130.5294,115.5773,115.862,3692159
2014-07-02,Acuity Brands Inc.,AYI,Technology,114.8572,118.1966,111.4588,117.7237,1293340
2014-07-03,Acuity Brands Inc.,AYI,Technology,117.8813,119.1816,116.1969,117.1032,568615
2014-07-07,Acuity Brands Inc.,AYI,Technology,117.6154,118.6792,117.2214,117.6449,966236
2014-07-08,Acuity Brands Inc.,AYI,Technology,117.1524,117.6745,112.9659,114.0298,618343
2014-07-09,Acuity Brands Inc.,AYI,Technology,114.4731,114.7686,112.7,113.6752,472705
2014-07-10,Acuity Brands Inc.,AYI,Technology,112.1877,113.1531,111.6657,111.8528,413913
2014-07-11,Acuity Brands Inc.,AYI,Technology,111.4686,112.8182,110.6469,112.4537,492607
2014-07-14,Acuity Brands Inc.,AYI,Technology,113.1038,113.6801,111.6755,111.7839,374060
2014-07-15,Acuity Brands Inc.,AYI,Technology,111.9907,112.8674,111.2342,111.3898,310688
2014-07-16,Acuity Brands Inc.,AYI,Technology,111.8633,112.5536,110.5615,111.8731,317272
2014-07-17,Acuity Brands Inc.,AYI,Technology,109.9796,113.2932,109.9796,113.0664,405907
2014-07-18,Acuity Brands Inc.,AYI,Technology,109.9796,113.2932,109.9796,113.0664,405907
2014-07-21,Acuity Brands Inc.,AYI,Technology,112.5339,113.0071,110.2163,110.9362,403976
2014-07-22,Acuity Brands Inc.,AYI,Technology,111.8435,113.1354,111.2913,112.7804,279203
2014-07-23,Acuity Brands Inc.,AYI,Technology,112.9086,113.3524,111.9717,112.4254,334414
2014-07-24,Acuity Brands Inc.,AYI,Technology,112.307,113.2143,110.7291,111.0349,297155
2014-07-25,Acuity Brands Inc.,AYI,Technology,110.7686,111.5575,109.595,111.3307,225763
2014-07-28,Acuity Brands Inc.,AYI,Technology,111.5575,111.5575,109.881,109.9303,298558
2014-07-29,Acuity Brands Inc.,AYI,Technology,109.9106,110.4037,108.2439,108.3327,307467
2014-07-30,Acuity Brands Inc.,AYI,Technology,108.5891,108.9146,107.2923,107.8988,448351
2014-07-31,Acuity Brands Inc.,AYI,Technology,107.1296,107.9777,105.5911,105.7883,411900
2014-08-01,Acuity Brands Inc.,AYI,Technology,105.8574,106.5181,103.244,106.0152,461096
2014-08-04,Acuity Brands Inc.,AYI,Technology,106.0349,107.7015,105.7637,107.5635,317516
2014-08-05,Acuity Brands Inc.,AYI,Technology,106.6562,108.7173,106.6562,108.5299,328865
2014-08-06,Acuity Brands Inc.,AYI,Technology,107.8199,109.309,107.6128,108.5891,234431
2014-08-07,Acuity Brands Inc.,AYI,Technology,108.6976,109.2794,108.0073,109.2203,411365
2014-08-08,Acuity Brands Inc.,AYI,Technology,109.5359,111.2272,109.0723,110.9954,507272
2014-08-11,Acuity Brands Inc.,AYI,Technology,111.9422,114.0329,111.4145,112.741,312862
2014-08-12,Acuity Brands Inc.,AYI,Technology,112.0605,113.4165,111.7548,112.4846,398691
2014-08-13,Acuity Brands Inc.,AYI,Technology,112.741,114.4569,112.741,114.3583,326272
2014-08-14,Acuity Brands Inc.,AYI,Technology,114.4076,115.591,113.9466,115.3938,259367
2014-08-15,Acuity Brands Inc.,AYI,Technology,116.163,116.163,115.167,115.6897,316683
2014-08-18,Acuity Brands Inc.,AYI,Technology,116.6167,118.3031,116.3356,118.2735,235145
2014-08-19,Acuity Brands Inc.,AYI,Technology,118.2735,119.5358,117.7114,119.3681,220741
2014-08-20,Acuity Brands Inc.,AYI,Technology,119.2399,119.8119,118.382,119.733,225261
2014-08-21,Acuity Brands Inc.,AYI,Technology,119.6048,121.3948,118.6285,120.8474,352114
2014-08-22,Acuity Brands Inc.,AYI,Technology,120.7488,120.9017,119.4668,119.8218,278202
2014-08-25,Acuity Brands Inc.,AYI,Technology,120.7291,121.5772,119.7922,120.3938,219362
2014-08-26,Acuity Brands Inc.,AYI,Technology,120.4924,121.5673,120.2163,121.1433,241830
2014-08-27,Acuity Brands Inc.,AYI,Technology,121.4983,121.9421,121.0052,121.8928,174182
2014-08-28,Acuity Brands Inc.,AYI,Technology,121.5969,122.1196,121.1137,122.0111,214922
2014-08-29,Acuity Brands Inc.,AYI,Technology,121.3208,122.8888,121.1926,122.1689,176853
2014-09-02,Acuity Brands Inc.,AYI,Technology,122.731,124.1512,122.2774,123.3425,300848
2014-09-03,Acuity Brands Inc.,AYI,Technology,123.2439,123.5003,120.7094,121.1137,255588
2014-09-04,Acuity Brands Inc.,AYI,Technology,121.5969,122.4549,120.9165,121.4391,206988
2014-09-05,Acuity Brands Inc.,AYI,Technology,120.6798,121.878,120.2656,121.38,311751
2014-09-08,Acuity Brands Inc.,AYI,Technology,121.1827,121.9815,120.5614,120.7291,329772
2014-09-09,Acuity Brands Inc.,AYI,Technology,120.8967,122.09,120.6798,120.7291,213982
2014-09-10,Acuity Brands Inc.,AYI,Technology,120.5516,121.3504,119.8119,120.877,203737
2014-09-11,Acuity Brands Inc.,AYI,Technology,120.453,121.6462,120.2163,121.3405,204930
2014-09-12,Acuity Brands Inc.,AYI,Technology,121.6857,121.6955,120.9362,121.3011,160306
2014-09-15,Acuity Brands Inc.,AYI,Technology,122.6916,123.4411,121.666,122.5634,504306
2014-09-16,Acuity Brands Inc.,AYI,Technology,122.2281,122.948,121.0545,122.4451,495699
2014-09-17,Acuity Brands Inc.,AYI,Technology,122.4549,123.3129,121.8632,122.7409,305794
2014-09-18,Acuity Brands Inc.,AYI,Technology,123.1946,123.9243,122.5338,123.8849,261361
2014-09-19,Acuity Brands Inc.,AYI,Technology,124.0821,124.2103,122.8099,123.2537,393255
2014-09-22,Acuity Brands Inc.,AYI,Technology,123.6482,123.9441,119.4273,119.95,374299
2014-09-23,Acuity Brands Inc.,AYI,Technology,119.4668,121.735,119.3977,120.6206,270661
2014-09-24,Acuity Brands Inc.,AYI,Technology,120.8672,122.0604,120.305,121.4194,246657
2014-09-25,Acuity Brands Inc.,AYI,Technology,120.7389,121.0644,119.0624,119.2695,306927
2014-09-26,Acuity Brands Inc.,AYI,Technology,119.733,120.0585,118.3721,119.7429,383866
2014-09-29,Acuity Brands Inc.,AYI,Technology,118.4214,119.161,117.4155,118.3031,507006
2014-09-30,Acuity Brands Inc.,AYI,Technology,118.1157,118.7468,115.5713,116.0841,758611
2014-10-01,Acuity Brands Inc.,AYI,Technology,123.2734,132.8789,120.167,128.8158,1764156
2014-10-02,Acuity Brands Inc.,AYI,Technology,128.9933,132.3957,128.2045,131.1827,792990
2014-10-03,Acuity Brands Inc.,AYI,Technology,132.0702,133.2734,131.7054,132.0998,555355
