date,name,symbol,sector,open,high,low,close,volume
2014-04-10,Campbell Soup Company,CPB,Consumer Defensive,39.379,39.8256,39.0988,39.1338,1091169
2014-04-11,Campbell Soup Company,CPB,Consumer Defensive,38.9062,39.2652,38.5734,38.7573,976641
2014-04-14,Campbell Soup Company,CPB,Consumer Defensive,39.1163,39.2389,38.7923,39.055,793788
2014-04-15,Campbell Soup Company,CPB,Consumer Defensive,39.1251,39.1251,38.5559,38.6785,1024233
2014-04-16,Campbell Soup Company,CPB,Consumer Defensive,38.9499,39.1689,38.8011,39.1251,894593
2014-04-17,Campbell Soup Company,CPB,Consumer Defensive,38.985,39.0782,38.8449,39.0025,762192
2014-04-21,Campbell Soup Company,CPB,Consumer Defensive,38.9587,39.1251,38.7748,38.8974,787916
2014-04-22,Campbell Soup Company,CPB,Consumer Defensive,38.9412,39.2389,38.766,39.1689,924391
2014-04-23,Campbell Soup Company,CPB,Consumer Defensive,39.1513,39.5104,39.1513,39.344,813853
2014-04-24,Campbell Soup Company,CPB,Consumer Defensive,39.3265,39.5542,39.204,39.2915,714973
2014-04-25,Campbell Soup Company,CPB,Consumer Defensive,39.2652,39.3878,38.9587,39.3528,563958
2014-04-28,Campbell Soup Company,CPB,Consumer Defensive,39.4841,40.0708,39.4228,40.0007,1203794
2014-04-29,Campbell Soup Company,CPB,Consumer Defensive,40.0796,40.2985,39.738,39.7556,752207
2014-04-30,Campbell Soup Company,CPB,Consumer Defensive,39.6767,39.8431,39.414,39.8344,688364
2014-05-01,Campbell Soup Company,CPB,Consumer Defensive,39.7468,39.8081,39.3177,39.5804,624999
2014-05-02,Campbell Soup Company,CPB,Consumer Defensive,39.5804,39.7074,39.309,39.3965,472354
2014-05-05,Campbell Soup Company,CPB,Consumer Defensive,39.3002,39.5804,39.2214,39.5717,531531
2014-05-06,Campbell Soup Company,CPB,Consumer Defensive,39.5629,39.633,39.2389,39.3177,661549
2014-05-07,Campbell Soup Company,CPB,Consumer Defensive,39.4316,39.7205,39.4053,39.6855,1017070
2014-05-08,Campbell Soup Company,CPB,Consumer Defensive,39.7293,39.9395,39.4316,39.6155,621974
2014-05-09,Campbell Soup Company,CPB,Consumer Defensive,39.5979,39.7993,39.5104,39.7556,923527
