date,name,symbol,sector,open,high,low,close,volume
2015-11-16,CSRA Inc.,CSRA,Technology,29.485,31.8052,29.485,30.8384,80700
2015-11-17,CSRA Inc.,CSRA,Technology,31.1188,32.3272,31.1188,31.8777,144688
2015-11-18,CSRA Inc.,CSRA,Technology,31.9018,32.1725,31.9018,31.9212,18900
2015-11-19,CSRA Inc.,CSRA,Technology,32.0855,32.0855,31.4185,31.4185,454126
2015-11-20,CSRA Inc.,CSRA,Technology,31.8922,31.8922,30.9931,31.1284,58398
2015-11-23,CSRA Inc.,CSRA,Technology,31.4185,31.5055,31.1768,31.3701,32783
2015-11-24,CSRA Inc.,CSRA,Technology,31.6892,31.6988,30.4324,30.9158,88519
2015-11-25,CSRA Inc.,CSRA,Technology,30.9448,30.9448,29.0017,29.3787,2005448
2015-11-27,CSRA Inc.,CSRA,Technology,28.1413,29.9587,28.1123,28.238,5199716
2015-11-30,CSRA Inc.,CSRA,Technology,28.412,31.5151,28.0833,30.4614,8567467
2015-12-01,CSRA Inc.,CSRA,Technology,30.4711,30.4711,28.9823,29.5527,3789529
2015-12-02,CSRA Inc.,CSRA,Technology,29.0693,30.1327,29.0017,29.7364,3214462
2015-12-03,CSRA Inc.,CSRA,Technology,29.775,29.775,26.5945,28.4216,8547528
2015-12-04,CSRA Inc.,CSRA,Technology,27.8513,29.0403,27.6869,28.0349,5684525
2015-12-07,CSRA Inc.,CSRA,Technology,28.0349,28.238,27.5226,27.6773,3102567
2015-12-08,CSRA Inc.,CSRA,Technology,27.2229,27.7933,25.8308,26.9812,3959593
2015-12-09,CSRA Inc.,CSRA,Technology,26.9812,27.7933,26.0532,27.1456,2887338
2015-12-10,CSRA Inc.,CSRA,Technology,26.8459,27.8223,26.6831,27.5902,4056922
2015-12-11,CSRA Inc.,CSRA,Technology,27.2326,28.238,26.9812,27.9576,2172278
2015-12-14,CSRA Inc.,CSRA,Technology,27.9769,28.2573,27.2036,27.4742,1355002
2015-12-15,CSRA Inc.,CSRA,Technology,27.3776,27.9769,26.5365,26.6139,2341462
2015-12-16,CSRA Inc.,CSRA,Technology,26.8362,27.1262,25.9081,26.5269,2268447
2015-12-17,CSRA Inc.,CSRA,Technology,26.5075,26.9135,25.4925,25.7825,2308991
2015-12-18,CSRA Inc.,CSRA,Technology,25.5505,26.8265,25.3861,26.5462,2778681
2015-12-21,CSRA Inc.,CSRA,Technology,26.9135,27.1939,25.8791,26.4495,1330391
2015-12-22,CSRA Inc.,CSRA,Technology,26.2755,26.8362,25.9468,26.1788,1394820
2015-12-23,CSRA Inc.,CSRA,Technology,26.2175,26.5172,26.0048,26.1112,1826230
2015-12-24,CSRA Inc.,CSRA,Technology,25.8985,27.4839,25.7921,27.0876,723854
2015-12-28,CSRA Inc.,CSRA,Technology,27.0585,28.5473,26.9522,28.5086,1138682
2015-12-29,CSRA Inc.,CSRA,Technology,28.557,29.1467,28.2718,28.6053,1607997
2015-12-30,CSRA Inc.,CSRA,Technology,28.557,29.166,28.4796,28.8567,1290100
2015-12-31,CSRA Inc.,CSRA,Technology,28.7306,29.4289,28.7209,29.0991,945329
2016-01-04,CSRA Inc.,CSRA,Technology,28.6821,28.8547,27.9934,28.3038,1826699
2016-01-05,CSRA Inc.,CSRA,Technology,28.1292,28.5948,27.1641,27.6539,2439128
2016-01-06,CSRA Inc.,CSRA,Technology,27.2174,27.5084,27.0331,27.2174,1561491
2016-01-07,CSRA Inc.,CSRA,Technology,26.8294,27.2659,26.519,26.6451,2598434
2016-01-08,CSRA Inc.,CSRA,Technology,26.8779,27.2174,26.3735,26.8585,2013984
2016-01-11,CSRA Inc.,CSRA,Technology,26.9846,27.3628,26.5384,27.2465,2193106
2016-01-12,CSRA Inc.,CSRA,Technology,27.2465,28.2359,26.9749,28.1486,1693047
2016-01-13,CSRA Inc.,CSRA,Technology,28.2068,28.4299,27.586,27.8964,1673240
2016-01-14,CSRA Inc.,CSRA,Technology,28.1098,28.4202,27.7606,28.2747,1558393
2016-01-15,CSRA Inc.,CSRA,Technology,27.683,27.78,27.0816,27.5666,2348218
2016-01-19,CSRA Inc.,CSRA,Technology,27.7024,28.2747,27.6248,27.9546,2939621
2016-01-20,CSRA Inc.,CSRA,Technology,27.6248,27.7703,26.2959,27.0816,2302160
2016-01-21,CSRA Inc.,CSRA,Technology,27.2271,27.4017,25.8497,25.9952,1601155
2016-01-22,CSRA Inc.,CSRA,Technology,26.2862,27.1107,25.6945,27.0137,1589889
2016-01-25,CSRA Inc.,CSRA,Technology,26.8197,26.8197,25.6266,25.7042,1652402
2016-01-26,CSRA Inc.,CSRA,Technology,25.743,26.4996,25.2775,26.0049,1540117
2016-01-27,CSRA Inc.,CSRA,Technology,26.0049,26.0049,23.9971,25.326,2822246
2016-01-28,CSRA Inc.,CSRA,Technology,25.2969,25.6848,24.8313,25.1126,1050368
2016-01-29,CSRA Inc.,CSRA,Technology,25.2969,26.1116,24.938,25.9758,1717956
2016-02-01,CSRA Inc.,CSRA,Technology,25.937,26.2474,25.5878,26.0049,1275421
2016-02-02,CSRA Inc.,CSRA,Technology,25.6654,25.8206,25.2387,25.6654,1026734
2016-02-03,CSRA Inc.,CSRA,Technology,25.7818,25.8206,24.7246,25.3842,911928
2016-02-04,CSRA Inc.,CSRA,Technology,25.4036,25.8497,24.9671,25.0641,1451959
2016-02-05,CSRA Inc.,CSRA,Technology,24.938,25.1029,23.7643,23.9001,1598220
2016-02-08,CSRA Inc.,CSRA,Technology,23.5121,23.5509,20.35,22.2026,2828619
2016-02-09,CSRA Inc.,CSRA,Technology,21.5334,22.513,20.4082,21.6692,3112032
2016-02-10,CSRA Inc.,CSRA,Technology,21.6207,23.1338,21.3782,21.6692,2689193
2016-02-11,CSRA Inc.,CSRA,Technology,24.453,24.6179,23.0271,24.0165,3755386
2016-02-12,CSRA Inc.,CSRA,Technology,24.2008,25.2484,23.3375,24.9768,2727329
2016-02-16,CSRA Inc.,CSRA,Technology,25.2096,25.743,24.3657,24.55,1762397
2016-02-17,CSRA Inc.,CSRA,Technology,24.8313,25.5975,24.1232,24.6082,1546795
2016-02-18,CSRA Inc.,CSRA,Technology,24.8798,25.1611,24.2008,25.0641,923268
2016-02-19,CSRA Inc.,CSRA,Technology,25.1029,25.5684,24.9089,25.3454,1007922
2016-02-22,CSRA Inc.,CSRA,Technology,25.7915,26.6257,25.3842,25.8885,1210187
2016-02-23,CSRA Inc.,CSRA,Technology,25.7624,26.1213,24.7053,25.4133,1396107
2016-02-24,CSRA Inc.,CSRA,Technology,25.7333,25.8594,24.1426,24.9768,1632384
2016-02-25,CSRA Inc.,CSRA,Technology,25.3163,25.7624,24.5985,25.743,988450
2016-02-26,CSRA Inc.,CSRA,Technology,25.7915,26.6645,25.5199,25.8012,963624
2016-02-29,CSRA Inc.,CSRA,Technology,25.646,26.3444,25.1417,25.1708,1007637
2016-03-01,CSRA Inc.,CSRA,Technology,25.5781,25.7042,24.7246,25.035,957943
2016-03-02,CSRA Inc.,CSRA,Technology,24.938,25.5393,24.7828,25.0253,887030
2016-03-03,CSRA Inc.,CSRA,Technology,24.9962,25.4715,24.8216,25.3357,926077
2016-03-04,CSRA Inc.,CSRA,Technology,25.5102,25.549,24.6664,25.0447,841505
2016-03-07,CSRA Inc.,CSRA,Technology,24.9865,25.6072,24.9671,25.4133,971237
2016-03-08,CSRA Inc.,CSRA,Technology,25.1805,25.4133,24.7246,24.744,1182515
2016-03-09,CSRA Inc.,CSRA,Technology,25.2193,25.2193,24.1814,24.5694,919874
2016-03-10,CSRA Inc.,CSRA,Technology,24.453,24.7343,23.8419,23.9195,751406
2016-03-11,CSRA Inc.,CSRA,Technology,24.1911,24.4724,23.9777,24.259,915250
2016-03-14,CSRA Inc.,CSRA,Technology,24.1135,24.5985,24.1135,24.4045,769215
2016-03-15,CSRA Inc.,CSRA,Technology,24.2202,24.5403,23.9292,24.3172,893737
2016-03-16,CSRA Inc.,CSRA,Technology,24.2396,24.3269,23.8904,23.9195,809225
2016-03-17,CSRA Inc.,CSRA,Technology,23.9777,24.5112,23.9195,24.0553,1290271
2016-03-18,CSRA Inc.,CSRA,Technology,24.1911,24.4336,23.7158,23.774,3183169
2016-03-21,CSRA Inc.,CSRA,Technology,23.8807,24.2299,23.5703,23.8516,1669197
2016-03-22,CSRA Inc.,CSRA,Technology,23.7158,23.9971,23.4636,23.4636,1116931
2016-03-23,CSRA Inc.,CSRA,Technology,22.9495,23.5315,22.9495,23.4442,1028851
2016-03-24,CSRA Inc.,CSRA,Technology,23.3084,23.9922,23.1726,23.6285,1073966
2016-03-28,CSRA Inc.,CSRA,Technology,23.6576,25.326,23.6286,25.0835,1578673
2016-03-29,CSRA Inc.,CSRA,Technology,25.1417,25.8788,24.7197,25.7624,1389927
2016-03-30,CSRA Inc.,CSRA,Technology,25.9467,26.8682,25.9424,26.3735,1975445
2016-03-31,CSRA Inc.,CSRA,Technology,26.325,26.6121,25.7236,26.0926,1640519
2016-04-01,CSRA Inc.,CSRA,Technology,25.8589,26.6378,25.7518,26.5502,1276947
2016-04-04,CSRA Inc.,CSRA,Technology,26.5989,26.5989,26.1315,26.1705,1131813
2016-04-05,CSRA Inc.,CSRA,Technology,25.9855,26.151,25.2894,25.6934,1312193
2016-04-06,CSRA Inc.,CSRA,Technology,25.7518,26.0147,25.5571,25.7518,742461
2016-04-07,CSRA Inc.,CSRA,Technology,25.6058,25.6447,25.0216,25.0703,1299367
2016-04-08,CSRA Inc.,CSRA,Technology,25.2261,25.4111,24.8269,25.0021,963311
2016-04-11,CSRA Inc.,CSRA,Technology,25.1482,25.5766,24.9437,25.4987,1088067
2016-04-12,CSRA Inc.,CSRA,Technology,25.489,25.7226,25.2163,25.4597,1127982
2016-04-13,CSRA Inc.,CSRA,Technology,25.5376,25.8102,25.2845,25.7908,1155023
2016-04-14,CSRA Inc.,CSRA,Technology,25.7713,26.2678,25.4695,26.2289,1446063
2016-04-15,CSRA Inc.,CSRA,Technology,26.1997,26.4918,26.0244,26.4626,1098364
2016-04-18,CSRA Inc.,CSRA,Technology,26.4333,26.5599,26.1802,26.4333,674261
2016-04-19,CSRA Inc.,CSRA,Technology,26.4626,26.5697,26.2143,26.4139,681407
2016-04-20,CSRA Inc.,CSRA,Technology,26.4041,26.521,25.7324,25.781,920121
2016-04-21,CSRA Inc.,CSRA,Technology,25.7031,26.1315,25.7031,25.8979,605948
2016-04-22,CSRA Inc.,CSRA,Technology,25.8297,25.9952,25.6642,25.9563,518687
2016-04-25,CSRA Inc.,CSRA,Technology,25.8979,26.3944,25.8394,26.297,517986
2016-04-26,CSRA Inc.,CSRA,Technology,26.2386,26.5307,25.7421,25.7908,934117
2016-04-27,CSRA Inc.,CSRA,Technology,25.8297,26.0926,25.7324,25.8784,535049
2016-04-28,CSRA Inc.,CSRA,Technology,25.8102,26.2289,25.596,25.8881,804466
2016-04-29,CSRA Inc.,CSRA,Technology,25.7908,25.7908,25.1579,25.2748,794808
2016-05-02,CSRA Inc.,CSRA,Technology,25.2553,25.5863,25.0995,25.3429,604888
2016-05-03,CSRA Inc.,CSRA,Technology,25.2066,25.2066,24.5834,24.6614,731069
2016-05-04,CSRA Inc.,CSRA,Technology,24.603,24.9729,24.3401,24.8561,635863
2016-05-05,CSRA Inc.,CSRA,Technology,24.8172,24.8561,24.3109,24.4959,1113711
2016-05-06,CSRA Inc.,CSRA,Technology,24.4277,25.1287,24.2525,25.1287,624859
2016-05-09,CSRA Inc.,CSRA,Technology,25.1385,25.5668,25.1376,25.5279,495827
2016-05-10,CSRA Inc.,CSRA,Technology,25.6253,25.6253,25.1287,25.45,607675
2016-05-11,CSRA Inc.,CSRA,Technology,25.265,25.4013,24.5153,24.5153,745347
2016-05-12,CSRA Inc.,CSRA,Technology,24.379,24.3985,23.1474,23.5904,1740942
2016-05-13,CSRA Inc.,CSRA,Technology,23.6002,23.8436,23.4444,23.6294,602684
2016-05-16,CSRA Inc.,CSRA,Technology,23.7267,24.0772,23.6294,23.7851,502222
2016-05-17,CSRA Inc.,CSRA,Technology,23.7754,23.863,23.4346,23.5028,732706
2016-05-18,CSRA Inc.,CSRA,Technology,23.5417,23.9166,23.2205,23.7754,654719
2016-05-19,CSRA Inc.,CSRA,Technology,23.6586,24.0675,23.6002,23.9312,724702
