date,name,symbol,sector,open,high,low,close,volume
2014-04-10,Freeport-McMoRan Inc.,FCX,Basic Materials,31.6619,31.6619,30.6282,30.9076,12864577
2014-04-11,Freeport-McMoRan Inc.,FCX,Basic Materials,30.7971,31.1638,30.5527,30.6091,7899092
2014-04-14,Freeport-McMoRan Inc.,FCX,Basic Materials,30.9005,31.333,30.6937,31.3048,9738070
2014-04-15,Freeport-McMoRan Inc.,FCX,Basic Materials,30.8629,31.0933,30.4145,31.0321,9316493
2014-04-16,Freeport-McMoRan Inc.,FCX,Basic Materials,31.3142,31.3612,30.8347,31.0321,6410851
2014-04-17,Freeport-McMoRan Inc.,FCX,Basic Materials,31.0792,31.2954,31.0133,31.0321,7186923
2014-04-21,Freeport-McMoRan Inc.,FCX,Basic Materials,31.0886,31.1074,30.6843,31.0039,4828804
2014-04-22,Freeport-McMoRan Inc.,FCX,Basic Materials,31.0697,31.4834,30.7689,31.3048,8483091
2014-04-23,Freeport-McMoRan Inc.,FCX,Basic Materials,31.3142,31.5821,31.1356,31.4928,7256025
2014-04-24,Freeport-McMoRan Inc.,FCX,Basic Materials,32.2261,32.4141,31.7748,31.897,12376610
2014-04-25,Freeport-McMoRan Inc.,FCX,Basic Materials,31.9158,32.2825,31.662,31.9722,7512697
2014-04-28,Freeport-McMoRan Inc.,FCX,Basic Materials,32.0004,32.0098,31.5022,31.8594,7778325
2014-04-29,Freeport-McMoRan Inc.,FCX,Basic Materials,31.803,32.3859,31.7278,32.3765,9047096
2014-04-30,Freeport-McMoRan Inc.,FCX,Basic Materials,32.1979,32.3389,31.9628,32.3107,6133486
2014-05-01,Freeport-McMoRan Inc.,FCX,Basic Materials,32.1696,32.4141,32.0004,32.1226,6567665
2014-05-02,Freeport-McMoRan Inc.,FCX,Basic Materials,32.2543,32.8559,32.0662,32.6021,9088459
2014-05-05,Freeport-McMoRan Inc.,FCX,Basic Materials,32.4892,32.4893,32.0192,32.0286,7704107
2014-05-06,Freeport-McMoRan Inc.,FCX,Basic Materials,32.0098,32.1038,31.756,31.8124,6739858
2014-05-07,Freeport-McMoRan Inc.,FCX,Basic Materials,32.0098,32.2261,31.8265,31.9534,7314908
2014-05-08,Freeport-McMoRan Inc.,FCX,Basic Materials,31.8218,32.0756,31.615,31.8124,7345645
2014-05-09,Freeport-McMoRan Inc.,FCX,Basic Materials,31.7842,31.944,31.6197,31.8782,6132512
2014-05-12,Freeport-McMoRan Inc.,FCX,Basic Materials,32.4423,33.1222,32.3953,32.7995,9810509
2014-05-13,Freeport-McMoRan Inc.,FCX,Basic Materials,32.8183,33.6738,32.7713,33.4294,12955085
2014-05-14,Freeport-McMoRan Inc.,FCX,Basic Materials,33.4952,33.7302,33.2977,33.373,12660525
2014-05-15,Freeport-McMoRan Inc.,FCX,Basic Materials,33.2037,33.3448,32.8277,33.1003,8285218
2014-05-16,Freeport-McMoRan Inc.,FCX,Basic Materials,33.0909,33.1003,32.4517,32.8935,8784745
2014-05-19,Freeport-McMoRan Inc.,FCX,Basic Materials,33.0251,33.1755,32.8371,32.9499,5532042
2014-05-20,Freeport-McMoRan Inc.,FCX,Basic Materials,32.7807,32.7807,32.1226,32.3765,10030459
2014-05-21,Freeport-McMoRan Inc.,FCX,Basic Materials,32.2731,32.5457,32.085,32.2073,6908096
2014-05-22,Freeport-McMoRan Inc.,FCX,Basic Materials,32.3577,32.4517,32.1602,32.2449,6503571
2014-05-23,Freeport-McMoRan Inc.,FCX,Basic Materials,32.4235,32.4987,32.2167,32.3671,6173327
2014-05-27,Freeport-McMoRan Inc.,FCX,Basic Materials,32.3765,32.3953,31.8782,31.9252,6864647
2014-05-28,Freeport-McMoRan Inc.,FCX,Basic Materials,31.9628,31.9816,31.427,31.803,8029520
2014-05-29,Freeport-McMoRan Inc.,FCX,Basic Materials,31.8218,32.3295,31.7842,32.2167,6381972
2014-05-30,Freeport-McMoRan Inc.,FCX,Basic Materials,31.9064,32.038,31.6526,32.0098,10745643
2014-06-02,Freeport-McMoRan Inc.,FCX,Basic Materials,32.2637,32.2825,31.944,32.0756,6484761
2014-06-03,Freeport-McMoRan Inc.,FCX,Basic Materials,31.9064,32.0474,31.7561,32.0286,4343258
2014-06-04,Freeport-McMoRan Inc.,FCX,Basic Materials,31.9346,32.5457,31.8124,32.4423,8947322
2014-06-05,Freeport-McMoRan Inc.,FCX,Basic Materials,32.4423,32.8371,32.3013,32.6867,7490776
2014-06-06,Freeport-McMoRan Inc.,FCX,Basic Materials,32.4517,32.8841,32.2731,32.8371,7249744
2014-06-09,Freeport-McMoRan Inc.,FCX,Basic Materials,32.7431,32.8653,32.4423,32.5833,7586503
2014-06-10,Freeport-McMoRan Inc.,FCX,Basic Materials,32.4705,32.6021,32.038,32.3013,8408235
2014-06-11,Freeport-McMoRan Inc.,FCX,Basic Materials,32.2449,32.2825,31.8876,32.038,6363109
2014-06-12,Freeport-McMoRan Inc.,FCX,Basic Materials,31.8406,31.9722,31.5116,31.6526,7158374
2014-06-13,Freeport-McMoRan Inc.,FCX,Basic Materials,31.5492,32.0474,31.3894,31.9346,6436432
2014-06-16,Freeport-McMoRan Inc.,FCX,Basic Materials,32.0192,32.0568,31.7795,31.9628,4635520
2014-06-17,Freeport-McMoRan Inc.,FCX,Basic Materials,31.9252,32.0662,31.7748,32.0098,5181585
2014-06-18,Freeport-McMoRan Inc.,FCX,Basic Materials,32.038,32.7525,31.8688,32.7055,7674790
2014-06-19,Freeport-McMoRan Inc.,FCX,Basic Materials,32.8935,32.8935,32.4893,32.5363,7706360
2014-06-20,Freeport-McMoRan Inc.,FCX,Basic Materials,32.4893,32.8183,32.2966,32.7713,8908775
2014-06-23,Freeport-McMoRan Inc.,FCX,Basic Materials,32.9217,33.9558,32.9029,33.8806,13584460
2014-06-24,Freeport-McMoRan Inc.,FCX,Basic Materials,33.8054,33.984,33.4294,33.5234,8812307
2014-06-25,Freeport-McMoRan Inc.,FCX,Basic Materials,33.4764,33.8806,33.3382,33.6268,7313500
2014-06-26,Freeport-McMoRan Inc.,FCX,Basic Materials,33.6456,33.7772,33.3589,33.561,6065089
2014-06-27,Freeport-McMoRan Inc.,FCX,Basic Materials,33.5046,33.9746,33.4482,33.9088,8689358
2014-06-30,Freeport-McMoRan Inc.,FCX,Basic Materials,33.8242,34.3224,33.5234,34.313,11355359
2014-07-01,Freeport-McMoRan Inc.,FCX,Basic Materials,34.6703,35.0839,34.6233,34.6421,11556366
2014-07-02,Freeport-McMoRan Inc.,FCX,Basic Materials,34.8113,35.7138,34.7737,35.5633,14137327
2014-07-03,Freeport-McMoRan Inc.,FCX,Basic Materials,35.8736,36.2778,35.7561,36.2026,12172045
2014-07-07,Freeport-McMoRan Inc.,FCX,Basic Materials,36.165,36.5645,35.9958,36.353,12834220
2014-07-08,Freeport-McMoRan Inc.,FCX,Basic Materials,36.1744,36.5692,36.1274,36.4188,12041419
2014-07-09,Freeport-McMoRan Inc.,FCX,Basic Materials,36.6162,36.9453,36.4235,36.7009,11054497
2014-07-10,Freeport-McMoRan Inc.,FCX,Basic Materials,36.447,36.9641,36.2026,36.5316,13146937
2014-07-11,Freeport-McMoRan Inc.,FCX,Basic Materials,36.6098,36.7804,36.3066,36.6856,9705647
2014-07-14,Freeport-McMoRan Inc.,FCX,Basic Materials,36.6098,36.7046,36.4961,36.6762,6388381
2014-07-15,Freeport-McMoRan Inc.,FCX,Basic Materials,36.6667,36.8373,36.0128,36.2876,11095516
2014-07-16,Freeport-McMoRan Inc.,FCX,Basic Materials,36.6004,36.9605,36.6004,36.7994,8486958
2014-07-17,Freeport-McMoRan Inc.,FCX,Basic Materials,36.5814,36.8137,36.3255,36.4866,14014497
2014-07-18,Freeport-McMoRan Inc.,FCX,Basic Materials,36.534,36.5909,36.1265,36.3445,8637060
2014-07-21,Freeport-McMoRan Inc.,FCX,Basic Materials,36.2971,36.7236,36.2687,36.6477,7194850
2014-07-22,Freeport-McMoRan Inc.,FCX,Basic Materials,36.8752,36.9984,36.6477,36.6951,9733805
2014-07-23,Freeport-McMoRan Inc.,FCX,Basic Materials,36.6762,37.0079,36.2781,36.534,11631592
2014-07-24,Freeport-McMoRan Inc.,FCX,Basic Materials,36.1265,36.1455,35.3494,35.5674,16150348
2014-07-25,Freeport-McMoRan Inc.,FCX,Basic Materials,35.4726,36.2213,35.3968,36.0033,11138830
2014-07-28,Freeport-McMoRan Inc.,FCX,Basic Materials,36.0602,36.2023,35.7474,36.0696,7512955
2014-07-29,Freeport-McMoRan Inc.,FCX,Basic Materials,36.0507,36.2592,35.8991,35.9275,7732231
2014-07-30,Freeport-McMoRan Inc.,FCX,Basic Materials,36.0981,36.2213,35.7,35.8991,6046047
2014-07-31,Freeport-McMoRan Inc.,FCX,Basic Materials,35.5484,35.7948,35.1978,35.2736,8276286
2014-08-01,Freeport-McMoRan Inc.,FCX,Basic Materials,35.1788,35.4631,34.5628,34.8566,10008788
