date,name,symbol,sector,open,high,low,close,volume
2019-03-12,Fox Corporation,FOXA,Consumer Cyclical,38.0,38.0,38.0,38.0,10000
2019-03-13,Fox Corporation,FOXA,Consumer Cyclical,39.0,39.9,38.7,39.75,20477364
2019-03-14,Fox Corporation,FOXA,Consumer Cyclical,39.75,41.4,39.75,40.65,6248563
2019-03-15,Fox Corporation,FOXA,Consumer Cyclical,41.38,41.87,41.24,41.7,7107258
2019-03-18,Fox Corporation,FOXA,Consumer Cyclical,41.95,41.95,41.05,41.7,4020942
2019-03-19,Fox Corporation,FOXA,Consumer Cyclical,41.55,41.7,39.84,40.34,10118472
2019-03-20,Fox Corporation,FOXA,Consumer Cyclical,40.49,40.81,38.24,38.62,15683238
2019-03-21,Fox Corporation,FOXA,Consumer Cyclical,39.0,40.07,38.75,40.02,12751732
2019-03-22,Fox Corporation,FOXA,Consumer Cyclical,39.93,39.99,37.69,38.72,10897994
2019-03-25,Fox Corporation,FOXA,Consumer Cyclical,38.89,38.96,37.39,37.44,9338926
2019-03-26,Fox Corporation,FOXA,Consumer Cyclical,37.65,38.28,37.51,37.54,6287100
2019-03-27,Fox Corporation,FOXA,Consumer Cyclical,37.52,37.91,36.76,36.92,5578118
2019-03-28,Fox Corporation,FOXA,Consumer Cyclical,36.85,37.15,36.34,36.4,5326238
2019-03-29,Fox Corporation,FOXA,Consumer Cyclical,36.55,36.91,36.15,36.71,5895347
2019-04-01,Fox Corporation,FOXA,Consumer Cyclical,36.91,37.15,36.71,36.85,5311201
2019-04-02,Fox Corporation,FOXA,Consumer Cyclical,36.96,37.18,35.9,36.28,6704831
2019-04-03,Fox Corporation,FOXA,Consumer Cyclical,36.37,36.56,35.9,36.08,8393708
2019-04-04,Fox Corporation,FOXA,Consumer Cyclical,36.2,36.8,36.01,36.76,4908406
2019-04-05,Fox Corporation,FOXA,Consumer Cyclical,36.79,37.85,36.69,37.68,7344894
2019-04-08,Fox Corporation,FOXA,Consumer Cyclical,37.6,37.68,37.265,37.47,3393260
2019-04-09,Fox Corporation,FOXA,Consumer Cyclical,37.42,37.65,37.17,37.31,5725894
