date,name,symbol,sector,open,high,low,close,volume
2014-04-10,General Dynamics Corporation,GD,Industrials,98.7421,99.1297,96.3527,96.4074,1453706
2014-04-11,General Dynamics Corporation,GD,Industrials,96.0973,96.8036,95.7051,95.7507,1447812
2014-04-14,General Dynamics Corporation,GD,Industrials,96.1338,96.6901,95.0485,95.8784,1718328
2014-04-15,General Dynamics Corporation,GD,Industrials,96.1703,97.5109,95.4863,97.3103,1709851
2014-04-16,General Dynamics Corporation,GD,Industrials,97.9943,98.6691,97.3011,98.66,1194819
2014-04-17,General Dynamics Corporation,GD,Industrials,98.888,99.8547,98.1402,99.4626,1556750
2014-04-21,General Dynamics Corporation,GD,Industrials,99.5811,99.9505,98.8789,99.6815,1279966
2014-04-22,General Dynamics Corporation,GD,Industrials,99.7362,100.2378,98.505,98.5323,2020880
2014-04-23,General Dynamics Corporation,GD,Industrials,98.8333,102.2351,97.1643,101.7608,2264717
2014-04-24,General Dynamics Corporation,GD,Industrials,101.9614,102.1347,100.2469,100.7029,2016700
2014-04-25,General Dynamics Corporation,GD,Industrials,100.3199,100.671,99.1616,99.417,1258440
2014-04-28,General Dynamics Corporation,GD,Industrials,100.2013,100.2378,97.2008,97.9395,2644187
2014-04-29,General Dynamics Corporation,GD,Industrials,98.9883,99.4808,98.6144,98.733,2801825
2014-04-30,General Dynamics Corporation,GD,Industrials,98.8424,100.2287,98.3499,99.8183,2409072
2014-05-01,General Dynamics Corporation,GD,Industrials,99.873,101.0403,99.572,100.1101,1880537
2014-05-02,General Dynamics Corporation,GD,Industrials,100.2925,101.8611,100.0554,101.241,2124701
2014-05-05,General Dynamics Corporation,GD,Industrials,100.8671,102.1347,100.6938,102.0344,2117791
2014-05-06,General Dynamics Corporation,GD,Industrials,101.5419,102.3536,101.3869,101.8885,1795190
2014-05-07,General Dynamics Corporation,GD,Industrials,102.1439,102.4813,101.4234,102.1074,2503673
2014-05-08,General Dynamics Corporation,GD,Industrials,102.1165,102.6546,101.624,102.08,2128802
2014-05-09,General Dynamics Corporation,GD,Industrials,102.0162,102.8643,101.3048,102.8643,2129901
