date,name,symbol,sector,open,high,low,close,volume
2014-04-10,Hormel Foods Corporation,HRL,Consumer Defensive,21.8164,21.9256,21.4934,21.498,1156534
2014-04-11,Hormel Foods Corporation,HRL,Consumer Defensive,21.4525,21.5844,21.316,21.3706,1131066
2014-04-14,Hormel Foods Corporation,HRL,Consumer Defensive,21.5207,21.6299,21.3842,21.6208,1142676
2014-04-15,Hormel Foods Corporation,HRL,Consumer Defensive,21.6572,21.7027,21.3751,21.5389,1153676
2014-04-16,Hormel Foods Corporation,HRL,Consumer Defensive,21.6486,21.8085,21.5572,21.7948,936156
2014-04-17,Hormel Foods Corporation,HRL,Consumer Defensive,21.7537,21.8587,21.6988,21.8313,2121078
2014-04-21,Hormel Foods Corporation,HRL,Consumer Defensive,21.8953,21.9227,21.7719,21.8222,846986
2014-04-22,Hormel Foods Corporation,HRL,Consumer Defensive,21.8176,21.9113,21.7537,21.8862,734342
2014-04-23,Hormel Foods Corporation,HRL,Consumer Defensive,21.8816,21.973,21.8633,21.8999,924002
2014-04-24,Hormel Foods Corporation,HRL,Consumer Defensive,21.941,21.9456,21.7171,21.7491,801198
2014-04-25,Hormel Foods Corporation,HRL,Consumer Defensive,21.7171,21.8715,21.6714,21.7719,894584
2014-04-28,Hormel Foods Corporation,HRL,Consumer Defensive,21.8222,22.0232,21.7262,21.8999,1133112
2014-04-29,Hormel Foods Corporation,HRL,Consumer Defensive,21.9227,21.9775,21.644,21.6486,686534
2014-04-30,Hormel Foods Corporation,HRL,Consumer Defensive,21.6486,21.8005,21.5755,21.7902,1402126
2014-05-01,Hormel Foods Corporation,HRL,Consumer Defensive,21.7811,21.7811,21.5389,21.7537,805994
2014-05-02,Hormel Foods Corporation,HRL,Consumer Defensive,21.8176,22.0461,21.6714,21.9181,1113476
2014-05-05,Hormel Foods Corporation,HRL,Consumer Defensive,21.7856,21.8496,21.6851,21.7993,1070044
2014-05-06,Hormel Foods Corporation,HRL,Consumer Defensive,21.7217,21.9136,21.58,21.6074,1066144
2014-05-07,Hormel Foods Corporation,HRL,Consumer Defensive,21.6805,22.0369,21.6805,22.0095,1279220
2014-05-08,Hormel Foods Corporation,HRL,Consumer Defensive,21.9775,22.1786,21.9227,22.0369,940584
