date,name,symbol,sector,open,high,low,close,volume
2014-04-10,Lennar Corporation Class A,LEN,Consumer Cyclical,38.1799,38.8739,37.7365,37.7654,2917723
2014-04-11,Lennar Corporation Class A,LEN,Consumer Cyclical,37.4859,38.0931,37.1485,37.3316,3576453
2014-04-14,Lennar Corporation Class A,LEN,Consumer Cyclical,37.5533,37.9582,37.1099,37.5437,3048231
2014-04-15,Lennar Corporation Class A,LEN,Consumer Cyclical,37.5533,38.3534,36.8786,37.3895,4020857
2014-04-16,Lennar Corporation Class A,LEN,Consumer Cyclical,37.6015,37.7365,37.0714,37.3702,3172719
2014-04-17,Lennar Corporation Class A,LEN,Consumer Cyclical,37.3895,37.4859,36.522,36.8401,4976111
2014-04-21,Lennar Corporation Class A,LEN,Consumer Cyclical,36.8883,37.1006,36.4541,36.6953,3306802
2014-04-22,Lennar Corporation Class A,LEN,Consumer Cyclical,36.8787,37.4287,36.705,37.0813,2972671
2014-04-23,Lennar Corporation Class A,LEN,Consumer Cyclical,37.1006,37.1199,36.0103,36.8497,4521955
2014-04-24,Lennar Corporation Class A,LEN,Consumer Cyclical,37.3901,38.3743,37.1488,38.1234,5218439
2014-04-25,Lennar Corporation Class A,LEN,Consumer Cyclical,38.0559,38.0559,37.0717,37.255,3680318
2014-04-28,Lennar Corporation Class A,LEN,Consumer Cyclical,37.2936,38.6541,37.1681,37.4962,4427838
2014-04-29,Lennar Corporation Class A,LEN,Consumer Cyclical,37.4673,37.6023,37.1488,37.3804,2345259
2014-04-30,Lennar Corporation Class A,LEN,Consumer Cyclical,37.2936,37.6409,36.9124,37.2357,2580366
2014-05-01,Lennar Corporation Class A,LEN,Consumer Cyclical,37.0234,38.3067,37.0234,37.9883,2914818
2014-05-02,Lennar Corporation Class A,LEN,Consumer Cyclical,37.9111,38.8857,37.7567,38.4804,2549960
2014-05-05,Lennar Corporation Class A,LEN,Consumer Cyclical,38.2488,38.3357,37.7616,37.8339,3764942
2014-05-06,Lennar Corporation Class A,LEN,Consumer Cyclical,37.805,37.8629,36.9655,37.2453,3041299
2014-05-07,Lennar Corporation Class A,LEN,Consumer Cyclical,37.3611,37.5155,36.9462,37.2067,2222996
2014-05-08,Lennar Corporation Class A,LEN,Consumer Cyclical,37.1585,37.7953,36.7822,37.0427,2359836
2014-05-09,Lennar Corporation Class A,LEN,Consumer Cyclical,36.898,37.3708,36.7725,37.0524,2688979
2014-05-12,Lennar Corporation Class A,LEN,Consumer Cyclical,37.1874,38.0848,37.1681,37.8532,3465446
2014-05-13,Lennar Corporation Class A,LEN,Consumer Cyclical,37.998,39.0208,37.998,38.3839,4535582
2014-05-14,Lennar Corporation Class A,LEN,Consumer Cyclical,38.4418,38.4418,37.1778,37.2357,4313509
2014-05-15,Lennar Corporation Class A,LEN,Consumer Cyclical,37.255,37.3322,36.1453,37.1392,5369735
2014-05-16,Lennar Corporation Class A,LEN,Consumer Cyclical,37.3515,37.6313,36.8594,37.1778,3578607
2014-05-19,Lennar Corporation Class A,LEN,Consumer Cyclical,37.0234,37.1392,36.6278,36.9945,3150440
2014-05-20,Lennar Corporation Class A,LEN,Consumer Cyclical,36.8883,37.1874,36.4322,36.6857,2855704
2014-05-21,Lennar Corporation Class A,LEN,Consumer Cyclical,36.7339,37.0041,36.4927,36.9366,1950458
