date,name,symbol,sector,open,high,low,close,volume
2014-04-10,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.4995,43.8384,42.8217,42.8583,6205077
2014-04-11,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.7393,42.7942,42.3088,42.4187,4931512
2014-04-14,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.721,43.1789,42.382,42.721,4698251
2014-04-15,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.0141,43.0141,41.9424,42.7851,5437911
2014-04-16,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.0232,43.2156,42.6477,42.8034,4270878
2014-04-17,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.6019,43.124,42.4004,42.8675,4280989
2014-04-21,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.9043,43.1066,42.7664,42.9227,3140924
2014-04-22,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.987,44.0261,42.9135,43.7134,4687246
2014-04-23,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.7042,43.8422,42.4721,42.4997,7862466
2014-04-24,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.7204,43.3824,42.61,43.364,4674759
2014-04-25,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.1985,43.2261,42.6192,42.6468,4589154
2014-04-28,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.8491,43.3962,41.994,42.6468,7024056
2014-04-29,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.7388,42.8307,42.4261,42.6928,3888807
2014-04-30,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.5733,42.6376,41.9756,42.2146,6618794
2014-05-01,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.3434,42.9273,42.1963,42.6376,4367068
2014-05-02,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.6468,43.5295,42.6468,43.1985,4732265
2014-05-05,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.9227,43.0698,42.4169,42.5641,3984703
2014-05-06,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.4721,42.5273,41.6629,41.7365,4587009
2014-05-07,Lowe's Companies Inc.,LOW,Consumer Cyclical,41.9296,42.1043,41.0837,41.479,5148528
2014-05-08,Lowe's Companies Inc.,LOW,Consumer Cyclical,41.4423,42.1043,41.1756,41.3963,3718240
2014-05-09,Lowe's Companies Inc.,LOW,Consumer Cyclical,41.3871,42.0491,41.2767,42.0307,4023693
2014-05-12,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.1411,42.7112,42.1319,42.5549,2820546
2014-05-13,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.5733,42.8767,41.8468,42.0767,3962426
2014-05-14,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.0032,42.0215,41.3687,41.5342,5480321
2014-05-15,Lowe's Companies Inc.,LOW,Consumer Cyclical,41.2951,41.2951,40.5779,41.0377,7721711
2014-05-16,Lowe's Companies Inc.,LOW,Consumer Cyclical,41.1664,41.7457,41.1664,41.7089,5727092
2014-05-19,Lowe's Companies Inc.,LOW,Consumer Cyclical,41.5986,42.0124,41.3733,41.8836,4567746
2014-05-20,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.3066,42.5641,41.6078,41.856,8857693
2014-05-21,Lowe's Companies Inc.,LOW,Consumer Cyclical,41.7457,42.1503,40.7434,41.7549,8572158
2014-05-22,Lowe's Companies Inc.,LOW,Consumer Cyclical,41.5618,43.3548,41.5618,43.1158,8780816
2014-05-23,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.0514,43.3456,42.9686,43.2721,5096362
2014-05-27,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.3824,43.9801,43.3548,43.9341,5534362
2014-05-28,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.1342,43.4376,42.8215,42.9503,6889936
2014-05-29,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.0882,43.3548,42.7112,43.2261,3947831
2014-05-30,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.1893,43.3181,42.8169,43.2905,4288583
2014-06-02,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.2997,43.594,43.1158,43.2261,4070791
2014-06-03,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.0514,43.5663,43.033,43.4192,3560566
2014-06-04,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.2997,43.5847,43.0882,43.3732,4501927
2014-06-05,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.5295,43.7778,43.2721,43.5847,4300060
2014-06-06,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.7042,44.0445,43.6215,43.9249,3860498
2014-06-09,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.8238,44.3663,43.7042,43.7778,3700168
2014-06-10,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.6307,43.9065,43.4744,43.7594,3588050
2014-06-11,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.5663,43.6951,43.0514,43.1342,4244899
2014-06-12,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.8215,42.9043,41.856,41.8836,11319012
2014-06-13,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.0124,42.1411,41.4698,41.7917,6139509
2014-06-16,Lowe's Companies Inc.,LOW,Consumer Cyclical,41.7089,41.948,41.571,41.7641,6713459
2014-06-17,Lowe's Companies Inc.,LOW,Consumer Cyclical,41.6905,42.3572,41.5986,42.1503,8366958
2014-06-18,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.0767,42.2514,41.8376,42.1503,10408444
2014-06-19,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.2422,42.4724,41.9342,42.2054,4751217
2014-06-20,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.371,42.5181,41.9756,42.3158,13871064
2014-06-23,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.279,42.5089,42.1503,42.371,6532810
2014-06-24,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.2606,43.0882,42.0215,42.7664,11137660
2014-06-25,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.8307,43.102,42.656,42.9411,5059487
2014-06-26,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.0606,43.6215,42.987,43.4008,5272039
2014-06-27,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.3364,43.741,43.2767,43.6031,5216885
2014-06-30,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.5112,44.1916,43.2813,44.1272,7388783
2014-07-01,Lowe's Companies Inc.,LOW,Consumer Cyclical,44.164,44.5226,44.1088,44.256,5843846
2014-07-02,Lowe's Companies Inc.,LOW,Consumer Cyclical,44.2835,44.495,44.1364,44.2468,3097921
2014-07-03,Lowe's Companies Inc.,LOW,Consumer Cyclical,44.3387,44.541,44.3019,44.3479,2132374
2014-07-07,Lowe's Companies Inc.,LOW,Consumer Cyclical,44.2284,44.5042,44.1088,44.3295,4538038
2014-07-08,Lowe's Companies Inc.,LOW,Consumer Cyclical,44.21,44.2743,43.7962,43.9709,5011380
2014-07-09,Lowe's Companies Inc.,LOW,Consumer Cyclical,44.1456,44.4307,43.7594,44.0077,5833422
2014-07-10,Lowe's Companies Inc.,LOW,Consumer Cyclical,42.9135,43.6031,42.7388,43.4008,8008680
2014-07-11,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.3824,43.6859,43.2997,43.6215,4430792
2014-07-14,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.8606,43.8606,43.3456,43.4192,4358850
2014-07-15,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.5387,43.8882,43.4652,43.6859,5921708
2014-07-16,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.7962,43.9249,43.4238,43.8238,5318121
2014-07-17,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.6307,44.0169,43.5663,43.9617,5211223
2014-07-18,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.6307,44.0169,43.5663,43.9617,5211250
2014-07-21,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.9987,44.128,43.8139,43.9617,3117933
2014-07-22,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.971,44.4237,43.9248,44.1558,3222378
2014-07-23,Lowe's Companies Inc.,LOW,Consumer Cyclical,44.1373,44.3498,43.9802,44.2666,3917926
2014-07-24,Lowe's Companies Inc.,LOW,Consumer Cyclical,44.3313,44.6824,44.2389,44.3498,3934798
2014-07-25,Lowe's Companies Inc.,LOW,Consumer Cyclical,44.1742,44.4699,43.934,44.0726,4531111
2014-07-28,Lowe's Companies Inc.,LOW,Consumer Cyclical,44.128,44.2112,43.7492,44.0634,3192891
2014-07-29,Lowe's Companies Inc.,LOW,Consumer Cyclical,44.0911,44.59,44.0726,44.3867,4181429
2014-07-30,Lowe's Companies Inc.,LOW,Consumer Cyclical,44.5346,44.8487,44.4052,44.784,4380564
2014-07-31,Lowe's Companies Inc.,LOW,Consumer Cyclical,44.5161,44.784,44.2112,44.2112,4741301
2014-08-01,Lowe's Companies Inc.,LOW,Consumer Cyclical,44.2482,44.4699,43.6753,43.971,5231215
2014-08-04,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.9894,44.396,43.9802,44.2666,3528092
2014-08-05,Lowe's Companies Inc.,LOW,Consumer Cyclical,44.128,44.5577,43.934,44.0172,4879427
2014-08-06,Lowe's Companies Inc.,LOW,Consumer Cyclical,43.971,44.5531,43.9063,44.4422,3968528
2014-08-07,Lowe's Companies Inc.,LOW,Consumer Cyclical,44.59,44.8118,44.1604,44.2759,3175690
2014-08-08,Lowe's Companies Inc.,LOW,Consumer Cyclical,44.59,46.0037,44.5346,45.939,7386371
2014-08-11,Lowe's Companies Inc.,LOW,Consumer Cyclical,46.0499,46.1515,45.6479,46.0683,4070534
2014-08-12,Lowe's Companies Inc.,LOW,Consumer Cyclical,45.9944,46.1515,45.8189,46.0406,3287292
2014-08-13,Lowe's Companies Inc.,LOW,Consumer Cyclical,46.1145,46.4749,45.8466,46.0591,4397796
2014-08-14,Lowe's Companies Inc.,LOW,Consumer Cyclical,46.1607,46.5765,45.9667,46.5765,3605174
2014-08-15,Lowe's Companies Inc.,LOW,Consumer Cyclical,46.7151,47.2972,45.8004,46.1977,6642190
2014-08-18,Lowe's Companies Inc.,LOW,Consumer Cyclical,46.6597,46.8445,46.5118,46.6135,4817942
2014-08-19,Lowe's Companies Inc.,LOW,Consumer Cyclical,47.8701,48.0456,47.3804,47.6021,9344782
2014-08-20,Lowe's Companies Inc.,LOW,Consumer Cyclical,46.1515,48.6554,45.9205,48.3505,18413816
2014-08-21,Lowe's Companies Inc.,LOW,Consumer Cyclical,48.6369,49.0065,48.4983,48.6646,7154116
2014-08-22,Lowe's Companies Inc.,LOW,Consumer Cyclical,48.4983,48.8772,48.1657,48.5353,5062238
2014-08-25,Lowe's Companies Inc.,LOW,Consumer Cyclical,48.7848,48.9234,48.5076,48.6924,3779307
2014-08-26,Lowe's Companies Inc.,LOW,Consumer Cyclical,48.6924,49.0065,48.3782,48.8864,5820098
2014-08-27,Lowe's Companies Inc.,LOW,Consumer Cyclical,48.6739,48.8217,48.4706,48.5261,4927883
2014-08-28,Lowe's Companies Inc.,LOW,Consumer Cyclical,48.1842,48.6831,48.0733,48.5445,4357484
2014-08-29,Lowe's Companies Inc.,LOW,Consumer Cyclical,48.5076,48.7201,48.2858,48.5168,3510869
2014-09-02,Lowe's Companies Inc.,LOW,Consumer Cyclical,48.6554,48.9141,48.0733,48.6092,5144258
2014-09-03,Lowe's Companies Inc.,LOW,Consumer Cyclical,48.6924,49.0065,48.3782,48.8864,5820098
2014-09-04,Lowe's Companies Inc.,LOW,Consumer Cyclical,48.9696,49.6163,48.9235,49.5332,6665096
2014-09-05,Lowe's Companies Inc.,LOW,Consumer Cyclical,49.4593,50.0229,49.062,49.9951,5073287
2014-09-08,Lowe's Companies Inc.,LOW,Consumer Cyclical,49.7364,50.0136,49.3946,49.4685,4024557
2014-09-09,Lowe's Companies Inc.,LOW,Consumer Cyclical,49.3761,49.4685,48.8864,48.9973,3342100
2014-09-10,Lowe's Companies Inc.,LOW,Consumer Cyclical,49.0712,49.3576,48.8679,49.3299,3265147
2014-09-11,Lowe's Companies Inc.,LOW,Consumer Cyclical,49.0065,49.1497,48.6646,49.0435,6348511
2014-09-12,Lowe's Companies Inc.,LOW,Consumer Cyclical,49.0804,49.316,48.6646,48.9418,5443512
2014-09-15,Lowe's Companies Inc.,LOW,Consumer Cyclical,48.9234,49.1913,48.7016,49.0897,4418159
2014-09-16,Lowe's Companies Inc.,LOW,Consumer Cyclical,48.9696,49.8658,48.8864,49.6163,5177599
2014-09-17,Lowe's Companies Inc.,LOW,Consumer Cyclical,49.6995,50.1199,49.5886,49.7642,5878891
2014-09-18,Lowe's Companies Inc.,LOW,Consumer Cyclical,49.8473,50.1984,49.7087,50.0321,4199904
2014-09-19,Lowe's Companies Inc.,LOW,Consumer Cyclical,50.2446,50.6419,49.7226,49.9767,7181433
2014-09-22,Lowe's Companies Inc.,LOW,Consumer Cyclical,49.8196,49.8196,49.2467,49.3946,3885203
2014-09-23,Lowe's Companies Inc.,LOW,Consumer Cyclical,49.2283,49.4131,49.025,49.0804,3488522
2014-09-24,Lowe's Companies Inc.,LOW,Consumer Cyclical,49.1082,49.6995,49.0527,49.5516,4567051
2014-09-25,Lowe's Companies Inc.,LOW,Consumer Cyclical,49.3853,49.6758,48.988,49.0342,4223169
2014-09-26,Lowe's Companies Inc.,LOW,Consumer Cyclical,49.1174,49.2929,48.8679,49.1359,4428689
2014-09-29,Lowe's Companies Inc.,LOW,Consumer Cyclical,48.9418,49.3761,48.7478,49.2929,4371253
2014-09-30,Lowe's Companies Inc.,LOW,Consumer Cyclical,49.3391,49.3761,48.5676,48.8956,5349841
2014-10-01,Lowe's Companies Inc.,LOW,Consumer Cyclical,48.7478,49.025,48.4614,48.6,5502894
2014-10-02,Lowe's Companies Inc.,LOW,Consumer Cyclical,48.6185,49.2837,48.5814,48.9973,4471817
2014-10-03,Lowe's Companies Inc.,LOW,Consumer Cyclical,49.256,49.6348,49.1636,49.5147,4172727
2014-10-06,Lowe's Companies Inc.,LOW,Consumer Cyclical,49.681,50.0044,49.3239,49.5239,3237135
2014-10-07,Lowe's Companies Inc.,LOW,Consumer Cyclical,49.2467,49.7272,49.1174,49.1359,4886761
2014-10-08,Lowe's Companies Inc.,LOW,Consumer Cyclical,49.1821,50.2816,49.0989,50.2077,5806921
2014-10-09,Lowe's Companies Inc.,LOW,Consumer Cyclical,50.1245,50.5865,49.7364,49.8104,6799473
2014-10-10,Lowe's Companies Inc.,LOW,Consumer Cyclical,49.875,50.4303,49.5978,49.6163,7372014
2014-10-13,Lowe's Companies Inc.,LOW,Consumer Cyclical,49.4315,49.5701,48.3736,48.4799,8235885
2014-10-14,Lowe's Companies Inc.,LOW,Consumer Cyclical,48.1288,48.5538,47.3064,48.0548,11281865
2014-10-15,Lowe's Companies Inc.,LOW,Consumer Cyclical,47.5559,47.7407,46.0591,47.3157,10547510
2014-10-16,Lowe's Companies Inc.,LOW,Consumer Cyclical,46.8629,47.8885,46.4656,47.5005,5330655
2014-10-17,Lowe's Companies Inc.,LOW,Consumer Cyclical,47.9347,48.8772,47.8839,48.5168,7948064
2014-10-20,Lowe's Companies Inc.,LOW,Consumer Cyclical,48.5818,49.7696,48.5818,49.6397,5876152
2014-10-21,Lowe's Companies Inc.,LOW,Consumer Cyclical,49.7975,50.6745,49.6119,50.6605,4316717
2014-10-22,Lowe's Companies Inc.,LOW,Consumer Cyclical,50.577,50.9018,50.048,50.0573,5097917
2014-10-23,Lowe's Companies Inc.,LOW,Consumer Cyclical,50.5121,51.2173,50.4657,51.0039,8477123
2014-10-24,Lowe's Companies Inc.,LOW,Consumer Cyclical,50.9018,51.3566,50.6513,51.3473,4586218
2014-10-27,Lowe's Companies Inc.,LOW,Consumer Cyclical,51.2359,51.8113,51.2359,51.4772,3365380
2014-10-28,Lowe's Companies Inc.,LOW,Consumer Cyclical,51.6535,52.0247,51.6164,52.0247,4646399
2014-10-29,Lowe's Companies Inc.,LOW,Consumer Cyclical,52.0247,52.331,51.5236,51.7927,3540223
2014-10-30,Lowe's Companies Inc.,LOW,Consumer Cyclical,52.3959,52.4887,51.8855,52.2196,5001860
2014-10-31,Lowe's Companies Inc.,LOW,Consumer Cyclical,52.8971,53.2775,52.8228,53.0827,7772484
2014-11-03,Lowe's Companies Inc.,LOW,Consumer Cyclical,53.0827,53.3611,52.8321,53.3147,5337193
2014-11-04,Lowe's Companies Inc.,LOW,Consumer Cyclical,53.259,53.3147,52.7718,53.1383,4333056
2014-11-05,Lowe's Companies Inc.,LOW,Consumer Cyclical,53.4446,53.5003,52.6743,52.8414,4889586
2014-11-06,Lowe's Companies Inc.,LOW,Consumer Cyclical,52.9899,53.542,52.8692,53.426,4127761
2014-11-07,Lowe's Companies Inc.,LOW,Consumer Cyclical,53.3704,53.8622,53.3611,53.5374,3907313
2014-11-10,Lowe's Companies Inc.,LOW,Consumer Cyclical,53.5374,53.8344,53.3889,53.6673,3271920
2014-11-11,Lowe's Companies Inc.,LOW,Consumer Cyclical,53.7137,53.9364,53.5745,53.8251,3128803
2014-11-12,Lowe's Companies Inc.,LOW,Consumer Cyclical,53.9643,54.1499,53.8065,54.0292,5107525
2014-11-13,Lowe's Companies Inc.,LOW,Consumer Cyclical,54.1592,54.5304,54.0942,54.3912,3830676
2014-11-14,Lowe's Companies Inc.,LOW,Consumer Cyclical,54.3912,54.5304,54.252,54.3633,3748738
2014-11-17,Lowe's Companies Inc.,LOW,Consumer Cyclical,54.3076,54.9016,54.2705,54.651,4721901
2014-11-18,Lowe's Companies Inc.,LOW,Consumer Cyclical,54.02,54.4747,53.7889,54.3169,6583341
2014-11-19,Lowe's Companies Inc.,LOW,Consumer Cyclical,56.8226,57.9826,56.4607,57.7784,11704926
2014-11-20,Lowe's Companies Inc.,LOW,Consumer Cyclical,57.7228,58.3074,57.5464,57.9362,6089274
2014-11-21,Lowe's Companies Inc.,LOW,Consumer Cyclical,58.2703,59.0127,57.9826,58.7065,7490792
2014-11-24,Lowe's Companies Inc.,LOW,Consumer Cyclical,58.9013,59.2633,58.6786,59.0591,4630041
2014-11-25,Lowe's Companies Inc.,LOW,Consumer Cyclical,59.1705,59.5231,58.4095,58.4188,6361428
2014-11-26,Lowe's Companies Inc.,LOW,Consumer Cyclical,58.4837,58.53,57.8434,58.3352,5406636
2014-11-28,Lowe's Companies Inc.,LOW,Consumer Cyclical,58.5951,59.5046,58.5765,59.2354,2945303
2014-12-01,Lowe's Companies Inc.,LOW,Consumer Cyclical,58.9756,59.2725,58.3816,58.6137,4908211
2014-12-02,Lowe's Companies Inc.,LOW,Consumer Cyclical,58.7621,59.4303,58.6693,59.3653,5063786
