date,name,symbol,sector,open,high,low,close,volume
2014-04-17,Navient Corporation,NAVI,Financial Services,11.9925,13.8953,11.9925,13.5835,951088
2014-04-21,Navient Corporation,NAVI,Financial Services,13.5675,13.8873,13.0558,13.4476,444213
2014-04-22,Navient Corporation,NAVI,Financial Services,13.2957,13.5915,13.2957,13.4316,576707
2014-04-23,Navient Corporation,NAVI,Financial Services,13.4396,13.4715,13.3596,13.4156,1608932
2014-04-24,Navient Corporation,NAVI,Financial Services,13.4715,13.4795,13.1517,13.2957,368892
2014-04-25,Navient Corporation,NAVI,Financial Services,13.5115,13.5275,13.0478,13.5035,1086546
2014-04-28,Navient Corporation,NAVI,Financial Services,13.5355,13.5355,13.0958,13.3276,1187928
2014-04-29,Navient Corporation,NAVI,Financial Services,13.2877,13.4955,13.1517,13.3356,648522
2014-04-30,Navient Corporation,NAVI,Financial Services,13.3516,13.3516,13.0798,13.2317,26746201
2014-05-01,Navient Corporation,NAVI,Financial Services,12.8879,13.8793,12.8879,13.5915,3650133
2014-05-02,Navient Corporation,NAVI,Financial Services,13.5995,13.8313,13.4875,13.5515,2995032
2014-05-05,Navient Corporation,NAVI,Financial Services,13.5355,13.7993,13.2157,13.4396,3978423
2014-05-06,Navient Corporation,NAVI,Financial Services,13.3436,13.4316,12.9918,13.0638,14309226
2014-05-07,Navient Corporation,NAVI,Financial Services,13.0798,13.2797,12.9998,13.2717,5692881
2014-05-08,Navient Corporation,NAVI,Financial Services,13.1917,13.3037,13.0718,13.1517,5668216
2014-05-09,Navient Corporation,NAVI,Financial Services,13.0318,13.1997,12.816,13.0158,2797016
2014-05-12,Navient Corporation,NAVI,Financial Services,13.0158,13.2317,12.6121,12.752,6980098
2014-05-13,Navient Corporation,NAVI,Financial Services,12.6161,12.8959,12.6161,12.672,8292045
2014-05-14,Navient Corporation,NAVI,Financial Services,12.6081,12.824,12.3922,12.5841,4577476
2014-05-15,Navient Corporation,NAVI,Financial Services,12.5201,12.792,12.4642,12.5841,4919040
2014-05-16,Navient Corporation,NAVI,Financial Services,12.5201,12.752,12.5201,12.68,2786872
2014-05-19,Navient Corporation,NAVI,Financial Services,12.6001,12.824,12.5232,12.808,4532436
2014-05-20,Navient Corporation,NAVI,Financial Services,12.8719,12.9239,12.6481,12.744,9754753
2014-05-21,Navient Corporation,NAVI,Financial Services,12.736,12.8959,12.6481,12.736,1743568
2014-05-22,Navient Corporation,NAVI,Financial Services,12.6641,12.824,12.6321,12.768,2128896
2014-05-23,Navient Corporation,NAVI,Financial Services,12.792,12.8959,12.768,12.8479,2826416
2014-05-27,Navient Corporation,NAVI,Financial Services,12.8639,13.0638,12.6241,12.776,1726939
2014-05-28,Navient Corporation,NAVI,Financial Services,12.808,12.8319,12.5241,12.5361,4219138
2014-05-29,Navient Corporation,NAVI,Financial Services,12.5761,12.6481,12.4162,12.5361,3463351
2014-05-30,Navient Corporation,NAVI,Financial Services,12.4962,12.72,12.4962,12.6321,5260986
2014-06-02,Navient Corporation,NAVI,Financial Services,12.6641,12.744,12.6241,12.6401,2986807
2014-06-03,Navient Corporation,NAVI,Financial Services,13.2717,13.2717,12.5841,12.6561,3483548
2014-06-04,Navient Corporation,NAVI,Financial Services,12.5915,12.8821,12.5753,12.8256,3231455
2014-06-05,Navient Corporation,NAVI,Financial Services,12.9386,13.4632,12.8336,13.4551,4582403
2014-06-06,Navient Corporation,NAVI,Financial Services,13.5278,13.6811,13.4067,13.4551,1622717
2014-06-09,Navient Corporation,NAVI,Financial Services,13.4067,13.5681,13.213,13.5681,3169291
2014-06-10,Navient Corporation,NAVI,Financial Services,13.4955,13.7215,13.4794,13.5601,3441830
2014-06-11,Navient Corporation,NAVI,Financial Services,13.5036,13.6973,13.5036,13.6246,1857115
2014-06-12,Navient Corporation,NAVI,Financial Services,13.5681,13.7214,13.4632,13.5116,2336412
2014-06-13,Navient Corporation,NAVI,Financial Services,13.4955,13.6085,13.3583,13.4551,1485582
2014-06-16,Navient Corporation,NAVI,Financial Services,13.4471,13.6327,13.3986,13.5439,804878
2014-06-17,Navient Corporation,NAVI,Financial Services,13.4713,13.6892,13.4309,13.5924,1268810
2014-06-18,Navient Corporation,NAVI,Financial Services,13.5278,13.8184,13.4713,13.7699,2268103
2014-06-19,Navient Corporation,NAVI,Financial Services,13.7296,13.9798,13.4995,13.8749,3753998
