date,name,symbol,sector,open,high,low,close,volume
2014-04-10,Newmont Mining Corporation,NEM,Basic Materials,23.9768,24.2814,23.4771,23.596,6729223
2014-04-11,Newmont Mining Corporation,NEM,Basic Materials,23.5485,23.5865,22.9393,23.063,6458229
2014-04-14,Newmont Mining Corporation,NEM,Basic Materials,23.3771,23.5485,23.1201,23.2343,6516488
2014-04-15,Newmont Mining Corporation,NEM,Basic Materials,22.6537,22.787,22.1588,22.6918,9240514
2014-04-16,Newmont Mining Corporation,NEM,Basic Materials,22.7108,22.8631,22.3777,22.6061,5348240
2014-04-17,Newmont Mining Corporation,NEM,Basic Materials,22.5966,22.7489,22.3682,22.4062,5468587
2014-04-21,Newmont Mining Corporation,NEM,Basic Materials,24.2243,24.2338,23.4152,23.8435,16057489
2014-04-22,Newmont Mining Corporation,NEM,Basic Materials,23.7769,23.9863,23.1439,23.834,13740046
2014-04-23,Newmont Mining Corporation,NEM,Basic Materials,23.7959,24.9952,23.7674,24.6716,12694818
2014-04-24,Newmont Mining Corporation,NEM,Basic Materials,24.3861,24.5574,24.0529,24.2623,11985403
2014-04-25,Newmont Mining Corporation,NEM,Basic Materials,24.4527,25.2237,24.3766,25.1761,11560549
2014-04-28,Newmont Mining Corporation,NEM,Basic Materials,23.9673,24.1671,23.4247,23.4818,16927676
2014-04-29,Newmont Mining Corporation,NEM,Basic Materials,23.5009,24.0529,23.5009,23.815,10763138
2014-04-30,Newmont Mining Corporation,NEM,Basic Materials,23.6627,23.853,23.3771,23.6341,6504869
2014-05-01,Newmont Mining Corporation,NEM,Basic Materials,23.5009,23.6912,23.1582,23.3486,6982877
2014-05-02,Newmont Mining Corporation,NEM,Basic Materials,23.3866,23.7398,23.2248,23.5294,5709525
2014-05-05,Newmont Mining Corporation,NEM,Basic Materials,23.815,23.815,23.5199,23.6532,3881957
2014-05-06,Newmont Mining Corporation,NEM,Basic Materials,23.6246,23.6246,23.32,23.4152,3488875
2014-05-07,Newmont Mining Corporation,NEM,Basic Materials,23.1011,23.1201,22.6347,22.8536,8356738
2014-05-08,Newmont Mining Corporation,NEM,Basic Materials,22.8346,23.0249,22.6347,22.8441,4286755
2014-05-09,Newmont Mining Corporation,NEM,Basic Materials,22.8726,22.9583,22.5681,22.8631,3506003
2014-05-12,Newmont Mining Corporation,NEM,Basic Materials,23.1487,23.4818,23.1487,23.3295,4430780
2014-05-13,Newmont Mining Corporation,NEM,Basic Materials,23.3105,23.7674,23.3105,23.4913,3201291
2014-05-14,Newmont Mining Corporation,NEM,Basic Materials,23.7103,23.7864,23.4057,23.4438,3563568
