date,name,symbol,sector,open,high,low,close,volume
2014-04-10,Range Resources Corporation,RRC,Energy,86.3633,87.4913,85.3345,86.4418,1913936
2014-04-11,Range Resources Corporation,RRC,Energy,86.1966,87.3638,85.8336,86.2358,1302099
2014-04-14,Range Resources Corporation,RRC,Energy,86.2946,87.0499,85.0784,86.2358,1063791
2014-04-15,Range Resources Corporation,RRC,Energy,86.3143,87.8444,85.5688,87.6286,1278400
2014-04-16,Range Resources Corporation,RRC,Energy,88.5114,89.247,87.5697,88.992,1567151
2014-04-17,Range Resources Corporation,RRC,Energy,88.8154,91.1989,87.9915,91.1302,1312953
2014-04-21,Range Resources Corporation,RRC,Energy,91.0223,91.8364,90.1984,91.6893,1244620
2014-04-22,Range Resources Corporation,RRC,Energy,90.7771,91.6697,90.3848,90.885,1086233
2014-04-23,Range Resources Corporation,RRC,Energy,91.1891,92.2484,91.0027,91.2479,1334423
2014-04-24,Range Resources Corporation,RRC,Energy,92.0326,93.5823,91.5716,91.7678,1763606
2014-04-25,Range Resources Corporation,RRC,Energy,91.3068,91.3558,89.5903,89.9728,1306177
2014-04-28,Range Resources Corporation,RRC,Energy,91.346,92.2484,88.6389,89.7276,2768365
2014-04-29,Range Resources Corporation,RRC,Energy,87.1774,89.2568,84.637,88.6977,4363457
2014-04-30,Range Resources Corporation,RRC,Energy,88.5114,89.7374,86.9224,88.7173,2136772
2014-05-01,Range Resources Corporation,RRC,Energy,88.4035,89.1979,86.5497,87.5207,1711533
2014-05-02,Range Resources Corporation,RRC,Energy,87.6776,89.1881,87.0401,88.2465,1011340
2014-05-05,Range Resources Corporation,RRC,Energy,87.8248,89.0312,87.3147,88.8743,1053334
2014-05-06,Range Resources Corporation,RRC,Energy,89.1783,90.2078,88.3544,88.5702,1001316
2014-05-07,Range Resources Corporation,RRC,Energy,89.1881,89.7399,87.8934,88.5506,1165900
2014-05-08,Range Resources Corporation,RRC,Energy,88.0896,88.9037,86.2848,86.3633,1130648
2014-05-09,Range Resources Corporation,RRC,Energy,86.1671,86.8243,85.6081,86.687,853426
2014-05-12,Range Resources Corporation,RRC,Energy,86.9224,87.5894,86.53,87.2068,673407
2014-05-13,Range Resources Corporation,RRC,Energy,87.354,87.7934,87.197,87.5207,673531
