date,name,symbol,sector,open,high,low,close,volume
2014-04-10,Signet Jewelers Limited,SIG,Consumer Cyclical,97.3025,98.1489,94.5424,94.8644,904776
2014-04-11,Signet Jewelers Limited,SIG,Consumer Cyclical,93.8983,94.6997,92.4815,93.3371,770126
2014-04-14,Signet Jewelers Limited,SIG,Consumer Cyclical,94.5056,94.754,93.1347,93.8891,761236
2014-04-15,Signet Jewelers Limited,SIG,Consumer Cyclical,94.1007,94.1366,91.2118,92.7115,1110950
2014-04-16,Signet Jewelers Limited,SIG,Consumer Cyclical,93.1899,94.1053,92.3435,93.1807,766109
2014-04-17,Signet Jewelers Limited,SIG,Consumer Cyclical,95.0852,95.0852,91.8283,92.4171,1005461
2014-04-21,Signet Jewelers Limited,SIG,Consumer Cyclical,92.2699,93.1439,91.4446,92.3987,556107
2014-04-22,Signet Jewelers Limited,SIG,Consumer Cyclical,92.3895,92.9599,91.8007,91.8559,678917
2014-04-23,Signet Jewelers Limited,SIG,Consumer Cyclical,91.8191,92.5827,91.5155,91.6811,513445
2014-04-24,Signet Jewelers Limited,SIG,Consumer Cyclical,91.8099,92.7575,90.0802,92.1687,817997
2014-04-25,Signet Jewelers Limited,SIG,Consumer Cyclical,92.0031,92.5643,90.8622,91.3959,481598
2014-04-28,Signet Jewelers Limited,SIG,Consumer Cyclical,92.0031,92.1687,90.163,91.1474,1141281
2014-04-29,Signet Jewelers Limited,SIG,Consumer Cyclical,91.4787,92.7207,91.3315,92.1319,985614
2014-04-30,Signet Jewelers Limited,SIG,Consumer Cyclical,92.1503,93.5328,91.883,93.3853,870439
2014-05-01,Signet Jewelers Limited,SIG,Consumer Cyclical,93.542,94.9338,92.6756,94.5559,1103690
2014-05-02,Signet Jewelers Limited,SIG,Consumer Cyclical,94.6849,96.3624,94.4084,95.5882,1190322
2014-05-05,Signet Jewelers Limited,SIG,Consumer Cyclical,95.155,95.8647,93.8277,94.9798,667352
2014-05-06,Signet Jewelers Limited,SIG,Consumer Cyclical,94.6204,94.943,93.2194,93.3577,456480
2014-05-07,Signet Jewelers Limited,SIG,Consumer Cyclical,93.3853,93.8646,91.4314,93.7724,870849
2014-05-08,Signet Jewelers Limited,SIG,Consumer Cyclical,93.4775,95.6435,92.989,93.9383,793055
2014-05-09,Signet Jewelers Limited,SIG,Consumer Cyclical,93.7632,94.2056,92.0692,93.0351,946827
2014-05-12,Signet Jewelers Limited,SIG,Consumer Cyclical,93.201,94.8692,92.8784,93.0627,951737
2014-05-13,Signet Jewelers Limited,SIG,Consumer Cyclical,93.0627,94.7679,92.307,92.4729,769545
2014-05-14,Signet Jewelers Limited,SIG,Consumer Cyclical,92.2332,93.1641,92.1411,92.2701,433157
2014-05-15,Signet Jewelers Limited,SIG,Consumer Cyclical,91.9291,92.5282,87.5879,91.0535,2576298
2014-05-16,Signet Jewelers Limited,SIG,Consumer Cyclical,91.7171,92.7033,90.823,91.2101,916727
2014-05-19,Signet Jewelers Limited,SIG,Consumer Cyclical,90.6848,91.1641,90.1963,90.8046,834082
2014-05-20,Signet Jewelers Limited,SIG,Consumer Cyclical,90.7401,90.777,89.6691,89.9198,850457
2014-05-21,Signet Jewelers Limited,SIG,Consumer Cyclical,90.694,92.7125,90.5465,91.8369,1416342
2014-05-22,Signet Jewelers Limited,SIG,Consumer Cyclical,94.2056,97.8002,94.2056,96.4545,2011247
2014-05-23,Signet Jewelers Limited,SIG,Consumer Cyclical,95.9845,96.9062,95.4038,96.132,727541
2014-05-27,Signet Jewelers Limited,SIG,Consumer Cyclical,96.4453,97.026,96.0121,96.1965,1263882
2014-05-28,Signet Jewelers Limited,SIG,Consumer Cyclical,95.9384,97.1827,95.1734,96.473,1440661
2014-05-29,Signet Jewelers Limited,SIG,Consumer Cyclical,97.0721,100.298,96.9799,99.8832,1937295
2014-05-30,Signet Jewelers Limited,SIG,Consumer Cyclical,99.2841,99.5975,97.5053,97.7818,1077117
2014-06-02,Signet Jewelers Limited,SIG,Consumer Cyclical,98.2242,98.768,97.2472,97.8924,563274
2014-06-03,Signet Jewelers Limited,SIG,Consumer Cyclical,97.3855,97.5099,95.5789,95.8462,973375
2014-06-04,Signet Jewelers Limited,SIG,Consumer Cyclical,95.6895,97.2472,95.4868,97.0352,570189
2014-06-05,Signet Jewelers Limited,SIG,Consumer Cyclical,97.3855,97.6896,96.1504,97.5974,472234
2014-06-06,Signet Jewelers Limited,SIG,Consumer Cyclical,97.5974,99.2841,97.3025,99.2565,668725
2014-06-09,Signet Jewelers Limited,SIG,Consumer Cyclical,99.0906,99.9017,98.0675,99.2933,1148113
2014-06-10,Signet Jewelers Limited,SIG,Consumer Cyclical,98.9708,99.9201,98.7403,99.5699,886610
2014-06-11,Signet Jewelers Limited,SIG,Consumer Cyclical,99.0537,99.7726,98.4915,98.9339,684191
