date,name,symbol,sector,open,high,low,close,volume
2014-04-10,American Tower Corporation (REIT),AMT,Communication Services,74.6023,75.0489,74.0372,74.3289,2492487
2014-04-11,American Tower Corporation (REIT),AMT,Communication Services,74.0463,74.3243,73.4083,73.4174,2284084
2014-04-14,American Tower Corporation (REIT),AMT,Communication Services,73.8276,74.4291,73.4721,74.1101,1629709
2014-04-15,American Tower Corporation (REIT),AMT,Communication Services,74.101,74.6114,73.7,74.4474,1714265
2014-04-16,American Tower Corporation (REIT),AMT,Communication Services,74.9851,75.1948,74.6844,75.0854,1608602
2014-04-17,American Tower Corporation (REIT),AMT,Communication Services,75.1857,75.769,75.0307,75.3315,1826163
2014-04-21,American Tower Corporation (REIT),AMT,Communication Services,75.5502,75.7325,75.0216,75.7325,1472624
2014-04-22,American Tower Corporation (REIT),AMT,Communication Services,75.6869,76.6804,75.5229,76.4981,2175917
2014-04-23,American Tower Corporation (REIT),AMT,Communication Services,76.252,76.6531,75.8146,76.5893,1477464
2014-04-24,American Tower Corporation (REIT),AMT,Communication Services,76.7898,76.808,75.7234,76.1609,4173082
2014-04-25,American Tower Corporation (REIT),AMT,Communication Services,75.933,76.1882,75.5867,75.7234,1063711
2014-04-28,American Tower Corporation (REIT),AMT,Communication Services,75.9604,76.3751,75.4773,76.0698,1639158
2014-04-29,American Tower Corporation (REIT),AMT,Communication Services,76.2794,76.407,75.5502,75.6505,1664414
2014-04-30,American Tower Corporation (REIT),AMT,Communication Services,75.7143,76.3477,75.6049,76.1244,2238159
2014-05-01,American Tower Corporation (REIT),AMT,Communication Services,76.6075,78.8588,76.2885,78.5945,3442306
2014-05-02,American Tower Corporation (REIT),AMT,Communication Services,78.4486,80.2077,78.3393,79.2963,2788519
2014-05-05,American Tower Corporation (REIT),AMT,Communication Services,79.0593,80.9551,78.9499,80.5723,2769232
2014-05-06,American Tower Corporation (REIT),AMT,Communication Services,79.7885,79.9343,79.4239,79.4786,2792003
2014-05-07,American Tower Corporation (REIT),AMT,Communication Services,80.5085,81.0098,79.8341,80.5268,2843333
2014-05-08,American Tower Corporation (REIT),AMT,Communication Services,80.39,80.8182,80.0619,80.4356,1706136
2014-05-09,American Tower Corporation (REIT),AMT,Communication Services,80.5906,80.8002,80.2351,80.8002,1289761
2014-05-12,American Tower Corporation (REIT),AMT,Communication Services,80.9825,80.9825,80.3536,80.4903,1729104
2014-05-13,American Tower Corporation (REIT),AMT,Communication Services,80.4812,82.0307,80.4174,80.6908,1330608
2014-05-14,American Tower Corporation (REIT),AMT,Communication Services,80.782,81.4838,80.7728,80.9005,1254786
2014-05-15,American Tower Corporation (REIT),AMT,Communication Services,80.7546,80.8913,79.9434,80.8093,1501796
2014-05-16,American Tower Corporation (REIT),AMT,Communication Services,80.8913,81.6205,80.4356,80.9916,1578971
2014-05-19,American Tower Corporation (REIT),AMT,Communication Services,80.6999,81.2103,79.9844,80.0619,1515290
2014-05-20,American Tower Corporation (REIT),AMT,Communication Services,80.0437,80.6726,79.752,80.2351,1677554
2014-05-21,American Tower Corporation (REIT),AMT,Communication Services,80.3262,80.627,80.1986,80.5541,1197355
2014-05-22,American Tower Corporation (REIT),AMT,Communication Services,80.6179,80.9915,80.4994,80.627,1345116
2014-05-23,American Tower Corporation (REIT),AMT,Communication Services,80.6544,81.0645,80.2624,80.5814,1234667
2014-05-27,American Tower Corporation (REIT),AMT,Communication Services,80.7728,81.3926,80.7273,81.1192,1321522
2014-05-28,American Tower Corporation (REIT),AMT,Communication Services,80.6361,81.3881,80.5176,81.2924,1371766
2014-05-29,American Tower Corporation (REIT),AMT,Communication Services,81.2377,81.5294,80.9278,81.4656,1235439
2014-05-30,American Tower Corporation (REIT),AMT,Communication Services,81.4109,81.7846,81.2103,81.6934,1676485
2014-06-02,American Tower Corporation (REIT),AMT,Communication Services,81.7299,81.8301,80.3627,80.5632,2296071
2014-06-03,American Tower Corporation (REIT),AMT,Communication Services,80.5632,81.0189,80.5632,80.864,1572599
2014-06-04,American Tower Corporation (REIT),AMT,Communication Services,80.864,81.2286,80.4812,81.1283,1896902
2014-06-05,American Tower Corporation (REIT),AMT,Communication Services,81.2286,81.8757,80.9005,81.7846,1587545
2014-06-06,American Tower Corporation (REIT),AMT,Communication Services,81.8666,82.614,81.7116,82.4135,1457151
2014-06-09,American Tower Corporation (REIT),AMT,Communication Services,82.5137,82.696,81.4929,81.7208,1764540
2014-06-10,American Tower Corporation (REIT),AMT,Communication Services,81.4656,82.2767,80.9278,81.4109,1267600
2014-06-11,American Tower Corporation (REIT),AMT,Communication Services,81.1648,81.1648,80.5176,80.9096,1131319
2014-06-12,American Tower Corporation (REIT),AMT,Communication Services,80.9005,80.9005,80.0255,80.4265,1772896
2014-06-13,American Tower Corporation (REIT),AMT,Communication Services,81.0487,81.0624,79.9873,80.9206,1296418
2014-06-16,American Tower Corporation (REIT),AMT,Communication Services,81.1493,81.2134,79.9781,80.4539,1192468
2014-06-17,American Tower Corporation (REIT),AMT,Communication Services,80.3624,80.948,79.9415,80.7284,1727449
2014-06-18,American Tower Corporation (REIT),AMT,Communication Services,80.5729,80.7376,79.6488,80.582,1554603
2014-06-19,American Tower Corporation (REIT),AMT,Communication Services,80.5271,81.2042,80.2435,81.2042,1455657
2014-06-20,American Tower Corporation (REIT),AMT,Communication Services,81.1768,81.5611,80.8199,81.5245,1811093
2014-06-23,American Tower Corporation (REIT),AMT,Communication Services,81.433,81.6526,81.2866,81.5153,915131
2014-06-24,American Tower Corporation (REIT),AMT,Communication Services,81.25,81.9911,81.2225,81.6617,1223455
2014-06-25,American Tower Corporation (REIT),AMT,Communication Services,80.9663,81.9637,80.9663,81.6892,1126194
2014-06-26,American Tower Corporation (REIT),AMT,Communication Services,81.6526,81.7441,81.0578,81.0944,1493233
2014-06-27,American Tower Corporation (REIT),AMT,Communication Services,81.0212,81.8996,81.0212,81.4513,1398601
2014-06-30,American Tower Corporation (REIT),AMT,Communication Services,81.4879,82.3479,81.3232,82.3296,2167521
2014-07-01,American Tower Corporation (REIT),AMT,Communication Services,82.4211,82.4211,81.6709,82.0826,2419281
2014-07-02,American Tower Corporation (REIT),AMT,Communication Services,82.0734,82.5035,81.6663,82.11,1913060
2014-07-03,American Tower Corporation (REIT),AMT,Communication Services,82.1009,82.4303,81.4787,82.3571,1165653
2014-07-07,American Tower Corporation (REIT),AMT,Communication Services,82.0917,83.1257,81.9819,83.0159,1794911
2014-07-08,American Tower Corporation (REIT),AMT,Communication Services,82.7688,83.0753,82.3479,82.6773,1750234
2014-07-09,American Tower Corporation (REIT),AMT,Communication Services,82.7688,83.391,82.229,83.144,1613608
2014-07-10,American Tower Corporation (REIT),AMT,Communication Services,82.5858,83.8286,82.4486,83.6381,1569669
2014-07-11,American Tower Corporation (REIT),AMT,Communication Services,83.5832,84.0223,83.2538,83.8485,1066214
