date,name,symbol,sector,open,high,low,close,volume
2014-04-10,Apache Corporation,APA,Energy,75.4476,76.2099,74.9763,74.9763,3384889
2014-04-11,Apache Corporation,APA,Energy,74.7134,75.3298,74.2333,74.4052,2919718
2014-04-14,Apache Corporation,APA,Energy,75.1576,75.2301,74.2058,74.8403,3017586
2014-04-15,Apache Corporation,APA,Energy,74.9128,75.9642,74.5412,75.5292,3773887
2014-04-16,Apache Corporation,APA,Energy,76.218,76.7619,75.3752,76.2905,3401264
2014-04-17,Apache Corporation,APA,Energy,76.336,77.4451,76.1269,77.3723,4798124
2014-04-21,Apache Corporation,APA,Energy,77.2723,78.0178,77.0451,77.9996,3190444
2014-04-22,Apache Corporation,APA,Energy,77.6178,78.5451,77.0723,78.3632,3000882
2014-04-23,Apache Corporation,APA,Energy,78.3087,80.2905,78.2723,79.6178,5507257
2014-04-24,Apache Corporation,APA,Energy,79.8087,80.3541,79.436,79.9632,2631462
2014-04-25,Apache Corporation,APA,Energy,79.5087,79.8814,78.5723,79.345,3530445
2014-04-28,Apache Corporation,APA,Energy,79.4269,79.5905,78.2632,78.9178,2862042
2014-04-29,Apache Corporation,APA,Energy,79.545,80.6269,79.5178,79.845,2486648
2014-04-30,Apache Corporation,APA,Energy,79.3178,79.4905,78.5905,78.9087,3681285
2014-05-01,Apache Corporation,APA,Energy,78.8814,79.2996,78.5087,79.1269,3636180
2014-05-02,Apache Corporation,APA,Energy,79.0905,79.836,78.8814,79.0541,1834046
2014-05-05,Apache Corporation,APA,Energy,78.6632,79.3178,78.4814,79.0541,2573259
2014-05-06,Apache Corporation,APA,Energy,79.1087,79.6269,78.5632,78.5632,3547621
2014-05-07,Apache Corporation,APA,Energy,79.136,80.1178,78.6996,79.7814,3872491
2014-05-08,Apache Corporation,APA,Energy,80.5269,81.7905,78.936,80.0269,3996718
2014-05-09,Apache Corporation,APA,Energy,80.4541,81.445,79.8541,80.8087,4973373
2014-05-12,Apache Corporation,APA,Energy,81.0905,81.9087,80.8178,81.8541,3362008
2014-05-13,Apache Corporation,APA,Energy,82.0996,82.445,81.645,81.8359,2213994
2014-05-14,Apache Corporation,APA,Energy,81.8632,82.1087,81.6269,81.6996,2700985
2014-05-15,Apache Corporation,APA,Energy,81.6905,81.6905,80.1632,80.836,3450680
2014-05-16,Apache Corporation,APA,Energy,80.7632,81.045,79.9996,80.7087,4010074
2014-05-19,Apache Corporation,APA,Energy,80.3068,81.6795,80.1886,81.2068,3648849
2014-05-20,Apache Corporation,APA,Energy,80.9087,82.0905,80.8632,81.5723,2314188
2014-05-21,Apache Corporation,APA,Energy,81.8541,82.1632,81.3065,82.0814,1740121
2014-05-22,Apache Corporation,APA,Energy,82.0541,82.545,81.6905,82.1269,2098514
2014-05-23,Apache Corporation,APA,Energy,82.1178,82.3723,81.8723,81.9814,3204141
2014-05-27,Apache Corporation,APA,Energy,82.145,82.5359,81.6087,82.145,1929594
2014-05-28,Apache Corporation,APA,Energy,82.3814,83.5996,82.3814,83.4178,4467193
2014-05-29,Apache Corporation,APA,Energy,83.5905,84.7632,83.3814,84.5996,4409630
2014-05-30,Apache Corporation,APA,Energy,84.1723,84.9087,83.8359,84.745,3762257
2014-06-02,Apache Corporation,APA,Energy,84.6268,84.845,84.0268,84.2177,1865498
2014-06-03,Apache Corporation,APA,Energy,83.8087,84.1087,83.2087,83.6359,3466375
2014-06-04,Apache Corporation,APA,Energy,83.5723,84.4177,83.5723,84.0905,2189857
2014-06-05,Apache Corporation,APA,Energy,84.2541,84.8723,83.9178,84.6996,1914240
2014-06-06,Apache Corporation,APA,Energy,84.4087,86.1723,84.3177,85.7359,4109632
2014-06-09,Apache Corporation,APA,Energy,85.7177,86.9132,85.3541,86.045,4058679
2014-06-10,Apache Corporation,APA,Energy,85.8723,86.5177,85.5996,86.4086,2533358
2014-06-11,Apache Corporation,APA,Energy,86.0723,86.9086,85.9214,86.7359,2331330
2014-06-12,Apache Corporation,APA,Energy,87.0723,88.3177,87.045,87.5541,3204672
2014-06-13,Apache Corporation,APA,Energy,88.0632,88.8541,87.7359,88.7814,2778922
2014-06-16,Apache Corporation,APA,Energy,88.9995,89.3359,88.6541,89.2723,2473086
2014-06-17,Apache Corporation,APA,Energy,88.8541,89.3268,88.4723,89.0905,3183278
2014-06-18,Apache Corporation,APA,Energy,89.1268,90.6541,88.9995,90.545,3067162
2014-06-19,Apache Corporation,APA,Energy,90.1177,91.2759,89.9814,90.9268,3091000
2014-06-20,Apache Corporation,APA,Energy,91.0814,91.6723,90.6632,91.5359,4327926
2014-06-23,Apache Corporation,APA,Energy,92.2541,93.0359,91.8177,92.3632,3985233
2014-06-24,Apache Corporation,APA,Energy,92.3813,92.4759,89.5541,89.8632,3273670
2014-06-25,Apache Corporation,APA,Energy,90.0905,90.4995,89.2632,90.345,3205620
2014-06-26,Apache Corporation,APA,Energy,90.5541,90.6359,89.745,90.6268,1947730
2014-06-27,Apache Corporation,APA,Energy,90.4268,90.7723,89.9632,90.6904,2011787
2014-06-30,Apache Corporation,APA,Energy,90.7359,92.7126,90.6233,91.4723,3729632
2014-07-01,Apache Corporation,APA,Energy,91.7723,92.2177,91.0359,91.3723,1955028
2014-07-02,Apache Corporation,APA,Energy,90.9086,91.3632,90.3632,90.7723,2019999
2014-07-03,Apache Corporation,APA,Energy,90.7723,91.1086,90.3586,90.9359,1086170
2014-07-07,Apache Corporation,APA,Energy,91.3268,91.3268,89.8494,90.045,1945519
2014-07-08,Apache Corporation,APA,Energy,89.6268,90.3904,89.3541,89.5086,2621490
2014-07-09,Apache Corporation,APA,Energy,89.545,90.6814,89.5177,90.5904,1952727
2014-07-10,Apache Corporation,APA,Energy,89.4723,90.565,88.9814,90.1995,2202967
2014-07-11,Apache Corporation,APA,Energy,89.745,90.0814,88.5177,88.545,2191886
2014-07-14,Apache Corporation,APA,Energy,89.0268,89.9177,89.0177,89.5905,1950816
2014-07-15,Apache Corporation,APA,Energy,89.0814,89.8177,88.4723,89.0359,2605452
2014-07-16,Apache Corporation,APA,Energy,89.545,90.8177,89.5086,90.7904,2525994
2014-07-17,Apache Corporation,APA,Energy,90.9086,92.2723,89.8268,89.9177,2912603
2014-07-18,Apache Corporation,APA,Energy,90.2641,90.4464,89.4985,89.8448,2143493
2014-07-21,Apache Corporation,APA,Energy,89.699,89.9451,89.144,89.8266,1441459
2014-07-22,Apache Corporation,APA,Energy,94.5294,94.7846,93.1623,93.9826,5868310
2014-07-23,Apache Corporation,APA,Energy,93.855,94.338,92.4788,94.3107,3972849
2014-07-24,Apache Corporation,APA,Energy,94.2013,94.2104,93.3081,93.5086,3707618
2014-07-25,Apache Corporation,APA,Energy,93.1805,94.2742,92.1962,92.8251,1317339
2014-07-28,Apache Corporation,APA,Energy,92.4059,92.9071,91.7223,92.2965,1803254
2014-07-29,Apache Corporation,APA,Energy,92.0413,92.9253,91.7861,92.3421,1934691
2014-07-30,Apache Corporation,APA,Energy,93.135,93.5542,91.8226,92.3147,2321340
2014-07-31,Apache Corporation,APA,Energy,93.9461,95.3041,92.8698,93.5633,6191450
2014-08-01,Apache Corporation,APA,Energy,91.0297,93.5086,90.8656,93.2261,3933454
2014-08-04,Apache Corporation,APA,Energy,91.0297,93.5086,90.8656,93.2261,3956835
2014-08-05,Apache Corporation,APA,Energy,92.6975,92.6975,89.7264,90.574,4064709
2014-08-06,Apache Corporation,APA,Energy,90.1456,92.661,90.1174,91.0935,2386721
2014-08-07,Apache Corporation,APA,Energy,91.54,91.7405,89.2342,89.8357,2904147
2014-08-08,Apache Corporation,APA,Energy,90.2185,91.777,89.895,91.4854,1895275
2014-08-11,Apache Corporation,APA,Energy,91.5036,92.1507,90.8748,91.0205,1887509
2014-08-12,Apache Corporation,APA,Energy,90.7562,91.0114,89.3162,89.7446,2691089
2014-08-13,Apache Corporation,APA,Energy,90.0362,91.139,89.576,89.8631,2302263
2014-08-14,Apache Corporation,APA,Energy,90.2732,90.5375,89.0246,89.2616,2861701
2014-08-15,Apache Corporation,APA,Energy,89.7173,90.3279,89.1978,89.936,3567823
2014-08-18,Apache Corporation,APA,Energy,90.5102,91.0205,88.9517,89.7719,2695135
2014-08-19,Apache Corporation,APA,Energy,90.0727,91.0388,90.0681,90.4737,2441574
2014-08-20,Apache Corporation,APA,Energy,90.5375,91.5674,89.9086,91.4489,2447045
2014-08-21,Apache Corporation,APA,Energy,91.1573,92.4332,90.738,92.1689,1887894
2014-08-22,Apache Corporation,APA,Energy,92.0048,92.0048,90.8747,90.975,1656975
2014-08-25,Apache Corporation,APA,Energy,91.2484,92.6519,91.1664,92.4423,1757605
2014-08-26,Apache Corporation,APA,Energy,92.5061,93.4631,92.4241,92.5517,2040129
2014-08-27,Apache Corporation,APA,Energy,92.6519,93.2261,92.0686,92.5335,1647059
2014-08-28,Apache Corporation,APA,Energy,92.4605,92.8433,92.0869,92.3876,2163987
2014-08-29,Apache Corporation,APA,Energy,91.8773,92.9891,91.8773,92.8069,3029757
2014-09-02,Apache Corporation,APA,Energy,92.7978,92.8798,90.738,91.2848,2349913
2014-09-03,Apache Corporation,APA,Energy,92.3512,92.9618,91.376,91.4671,2137478
2014-09-04,Apache Corporation,APA,Energy,91.3304,91.9319,89.4074,90.0089,2218834
2014-09-05,Apache Corporation,APA,Energy,89.5532,90.8656,89.5532,90.7107,2536754
2014-09-08,Apache Corporation,APA,Energy,90.0454,90.1,88.7238,89.2524,2198829
2014-09-09,Apache Corporation,APA,Energy,89.2251,89.854,88.0768,88.5051,2749381
2014-09-10,Apache Corporation,APA,Energy,88.1679,88.733,87.4114,88.66,2609381
2014-09-11,Apache Corporation,APA,Energy,87.5846,89.0155,87.3203,88.979,2090149
2014-09-12,Apache Corporation,APA,Energy,88.6327,88.8606,87.5664,87.7122,1623443
2014-09-15,Apache Corporation,APA,Energy,87.4206,88.6919,86.7826,88.5142,1858901
2014-09-16,Apache Corporation,APA,Energy,88.6509,89.9998,88.5233,89.1522,2296255
2014-09-17,Apache Corporation,APA,Energy,89.5623,89.8357,88.7093,88.8606,3594906
2014-09-18,Apache Corporation,APA,Energy,89.2069,89.5623,87.9856,88.414,1908701
2014-09-19,Apache Corporation,APA,Energy,88.9061,89.2889,87.9583,87.9583,2565982
2014-09-22,Apache Corporation,APA,Energy,87.5755,87.8762,85.8994,86.1446,2601895
2014-09-23,Apache Corporation,APA,Energy,86.099,87.4661,85.9441,86.6368,1647693
