date,name,symbol,sector,open,high,low,close,volume
2014-04-10,Caterpillar Inc.,CAT,Industrials,88.1146,88.8082,87.3278,87.5581,4540078
2014-04-11,Caterpillar Inc.,CAT,Industrials,86.5649,87.4211,86.4536,86.8645,5364269
2014-04-14,Caterpillar Inc.,CAT,Industrials,87.4896,88.0461,86.4364,88.0033,4117984
2014-04-15,Caterpillar Inc.,CAT,Industrials,87.8749,88.2688,86.7019,87.7636,6317912
2014-04-16,Caterpillar Inc.,CAT,Industrials,88.3837,88.8402,88.0306,88.6507,3801443
2014-04-17,Caterpillar Inc.,CAT,Industrials,88.7541,89.0857,88.3665,88.5646,3556801
2014-04-21,Caterpillar Inc.,CAT,Industrials,88.6249,88.6938,87.4622,88.401,3821433
2014-04-22,Caterpillar Inc.,CAT,Industrials,88.5215,89.6896,88.5043,89.3053,4533389
2014-04-23,Caterpillar Inc.,CAT,Industrials,89.1933,90.1063,88.866,89.0383,6429276
2014-04-24,Caterpillar Inc.,CAT,Industrials,91.3121,92.5006,90.2527,90.6747,8854664
2014-04-25,Caterpillar Inc.,CAT,Industrials,90.4594,90.6704,88.9608,90.1666,5731929
2014-04-28,Caterpillar Inc.,CAT,Industrials,90.4249,90.7953,88.9263,89.7962,4036278
2014-04-29,Caterpillar Inc.,CAT,Industrials,90.2527,90.8642,89.4259,90.6919,4975836
2014-04-30,Caterpillar Inc.,CAT,Industrials,90.6316,91.5015,90.4249,90.7781,5199251
2014-05-01,Caterpillar Inc.,CAT,Industrials,90.6058,91.114,90.1149,90.4938,2972156
2014-05-02,Caterpillar Inc.,CAT,Industrials,90.3733,90.9331,90.201,90.4422,2681072
2014-05-05,Caterpillar Inc.,CAT,Industrials,90.1407,90.2613,89.4086,90.0201,3166362
2014-05-06,Caterpillar Inc.,CAT,Industrials,89.7532,89.9771,89.2278,89.4603,2836263
2014-05-07,Caterpillar Inc.,CAT,Industrials,89.6584,90.1407,89.0814,90.1063,3400839
2014-05-08,Caterpillar Inc.,CAT,Industrials,90.046,90.4508,89.7015,90.3819,3120874
2014-05-09,Caterpillar Inc.,CAT,Industrials,90.3991,90.6919,89.8307,90.4852,2761803
2014-05-12,Caterpillar Inc.,CAT,Industrials,91.0451,91.7255,90.9934,91.4671,3664416
2014-05-13,Caterpillar Inc.,CAT,Industrials,91.7255,93.1982,91.1398,92.2853,3951489
2014-05-14,Caterpillar Inc.,CAT,Industrials,92.0269,92.1862,91.5532,91.7513,3082382
2014-05-15,Caterpillar Inc.,CAT,Industrials,91.7169,91.9322,89.6067,90.4249,5156642
2014-05-16,Caterpillar Inc.,CAT,Industrials,90.4766,91.3379,89.7187,91.3207,4403305
2014-05-19,Caterpillar Inc.,CAT,Industrials,90.7953,90.89,90.1924,90.7695,3924366
2014-05-20,Caterpillar Inc.,CAT,Industrials,90.2527,90.2699,86.7473,87.4708,9277628
2014-05-21,Caterpillar Inc.,CAT,Industrials,87.4019,88.711,87.4019,88.6077,5460511
2014-05-22,Caterpillar Inc.,CAT,Industrials,88.6249,89.4689,88.289,88.7799,3112324
2014-05-23,Caterpillar Inc.,CAT,Industrials,88.8402,89.7015,88.8359,89.5981,2892130
2014-05-27,Caterpillar Inc.,CAT,Industrials,89.7445,89.9857,89.1072,89.2967,3443352
2014-05-28,Caterpillar Inc.,CAT,Industrials,89.1675,89.4517,88.5818,88.6335,3353846
2014-05-29,Caterpillar Inc.,CAT,Industrials,88.9522,89.2838,88.3321,89.2278,3071583
2014-05-30,Caterpillar Inc.,CAT,Industrials,88.6249,88.6938,87.4622,88.0478,5943740
2014-06-02,Caterpillar Inc.,CAT,Industrials,88.2115,89.5206,87.8584,89.3656,3753729
2014-06-03,Caterpillar Inc.,CAT,Industrials,89.0727,90.0589,88.7541,89.9943,3643708
2014-06-04,Caterpillar Inc.,CAT,Industrials,89.934,90.5197,89.6326,89.8393,2880277
2014-06-05,Caterpillar Inc.,CAT,Industrials,90.2613,92.2595,90.2363,92.1216,5396721
2014-06-06,Caterpillar Inc.,CAT,Industrials,92.225,93.3274,92.1389,93.1724,4299600
2014-06-09,Caterpillar Inc.,CAT,Industrials,92.7934,94.137,92.7245,93.6633,3904588
2014-06-10,Caterpillar Inc.,CAT,Industrials,93.448,94.3093,93.3576,94.1456,4760218
2014-06-11,Caterpillar Inc.,CAT,Industrials,93.8184,93.8614,93.3016,93.6116,2738753
