date,name,symbol,sector,open,high,low,close,volume
2014-04-10,Chesapeake Energy Corporation,CHK,Energy,25.7585,26.3465,25.4739,25.9647,10416626
2014-04-11,Chesapeake Energy Corporation,CHK,Energy,25.8076,25.9451,25.572,25.68,7285893
2014-04-14,Chesapeake Energy Corporation,CHK,Energy,25.8862,26.3966,25.7585,26.2297,8004142
2014-04-15,Chesapeake Energy Corporation,CHK,Energy,26.1512,26.8089,26.1021,26.6715,9372508
2014-04-16,Chesapeake Energy Corporation,CHK,Energy,26.8482,26.9954,26.6028,26.9856,6671613
2014-04-17,Chesapeake Energy Corporation,CHK,Energy,26.9954,27.8495,26.8384,27.6531,9680027
2014-04-21,Chesapeake Energy Corporation,CHK,Energy,27.5353,28.0605,27.5157,27.9967,7308787
2014-04-22,Chesapeake Energy Corporation,CHK,Energy,27.9771,28.193,27.5844,27.9378,6202197
2014-04-23,Chesapeake Energy Corporation,CHK,Energy,27.9378,28.7133,27.8593,28.4875,9635508
2014-04-24,Chesapeake Energy Corporation,CHK,Energy,28.5661,28.9391,28.3501,28.6839,10237384
2014-04-25,Chesapeake Energy Corporation,CHK,Energy,28.6053,28.6642,28.1832,28.2716,5371662
2014-04-28,Chesapeake Energy Corporation,CHK,Energy,28.4973,28.5072,27.8838,28.2323,7939286
2014-04-29,Chesapeake Energy Corporation,CHK,Energy,28.409,28.89,28.3697,28.5464,5393206
2014-04-30,Chesapeake Energy Corporation,CHK,Energy,28.3992,28.4286,28.0458,28.2225,6225460
2014-05-01,Chesapeake Energy Corporation,CHK,Energy,28.2814,28.4483,27.8691,27.8985,5735351
2014-05-02,Chesapeake Energy Corporation,CHK,Energy,27.8985,28.193,27.6139,27.7611,9395823
2014-05-05,Chesapeake Energy Corporation,CHK,Energy,27.5451,27.9182,27.5353,27.7906,6914095
2014-05-06,Chesapeake Energy Corporation,CHK,Energy,27.8396,28.144,27.7218,27.8298,11311615
2014-05-07,Chesapeake Energy Corporation,CHK,Energy,28.9587,29.2925,27.5844,29.0667,18256645
2014-05-08,Chesapeake Energy Corporation,CHK,Energy,28.9195,29.3514,28.517,28.6053,11774763
2014-05-09,Chesapeake Energy Corporation,CHK,Energy,28.5366,29.3121,28.4777,29.263,10136956
2014-05-12,Chesapeake Energy Corporation,CHK,Energy,29.3318,29.8029,29.1845,29.7735,11741026
2014-05-13,Chesapeake Energy Corporation,CHK,Energy,29.7833,29.9207,29.3808,29.4888,7584796
2014-05-14,Chesapeake Energy Corporation,CHK,Energy,29.5673,29.5673,28.625,28.6937,12099641
2014-05-15,Chesapeake Energy Corporation,CHK,Energy,28.6839,28.7133,27.7022,28.4581,11866346
2014-05-16,Chesapeake Energy Corporation,CHK,Energy,27.8298,27.8495,26.7991,27.1329,20533369
2014-05-19,Chesapeake Energy Corporation,CHK,Energy,27.447,27.5648,27.0445,27.447,9773431
2014-05-20,Chesapeake Energy Corporation,CHK,Energy,27.4862,28.1047,27.4077,27.5059,9038544
2014-05-21,Chesapeake Energy Corporation,CHK,Energy,27.6729,27.8789,27.5844,27.6531,7088917
2014-05-22,Chesapeake Energy Corporation,CHK,Energy,27.6629,27.7807,27.3684,27.4372,8743259
2014-05-23,Chesapeake Energy Corporation,CHK,Energy,27.4862,27.5746,27.1034,27.1721,8589010
2014-05-27,Chesapeake Energy Corporation,CHK,Energy,27.2801,27.8298,27.1918,27.8004,9396405
2014-05-28,Chesapeake Energy Corporation,CHK,Energy,27.8298,27.9476,27.5451,27.8887,8707964
