date,name,symbol,sector,open,high,low,close,volume
2014-04-10,Colgate-Palmolive Company,CL,Consumer Defensive,58.5516,59.1943,58.373,58.864,6900952
2014-04-11,Colgate-Palmolive Company,CL,Consumer Defensive,58.7033,59.1586,58.248,58.3016,4838265
2014-04-14,Colgate-Palmolive Company,CL,Consumer Defensive,58.614,58.9265,58.498,58.7926,3040272
2014-04-15,Colgate-Palmolive Company,CL,Consumer Defensive,58.9979,59.3371,58.7658,59.2479,4172659
2014-04-16,Colgate-Palmolive Company,CL,Consumer Defensive,59.4264,60.1673,59.2836,59.9709,3575796
2014-04-17,Colgate-Palmolive Company,CL,Consumer Defensive,59.9081,60.2851,59.7107,60.0787,3599273
2014-04-21,Colgate-Palmolive Company,CL,Consumer Defensive,59.8633,60.1774,59.3696,59.9889,2132203
2014-04-22,Colgate-Palmolive Company,CL,Consumer Defensive,60.0517,60.2133,59.5491,59.5581,3283661
2014-04-23,Colgate-Palmolive Company,CL,Consumer Defensive,59.5761,59.7466,59.0555,59.1183,3688225
2014-04-24,Colgate-Palmolive Company,CL,Consumer Defensive,59.2799,59.6479,59.1901,59.6209,3991979
2014-04-25,Colgate-Palmolive Company,CL,Consumer Defensive,59.6838,60.0787,59.1632,59.4504,3169581
2014-04-28,Colgate-Palmolive Company,CL,Consumer Defensive,59.8274,60.9851,59.76,60.9044,4539043
2014-04-29,Colgate-Palmolive Company,CL,Consumer Defensive,60.8056,60.8685,60.1594,60.1684,4473598
2014-04-30,Colgate-Palmolive Company,CL,Consumer Defensive,60.4107,60.7428,60.2043,60.4018,3839459
2014-05-01,Colgate-Palmolive Company,CL,Consumer Defensive,60.294,60.5095,59.7196,60.1415,2652449
2014-05-02,Colgate-Palmolive Company,CL,Consumer Defensive,60.0428,60.4287,59.953,60.2223,2538918
2014-05-05,Colgate-Palmolive Company,CL,Consumer Defensive,60.0158,60.2546,59.8363,60.0428,2032646
2014-05-06,Colgate-Palmolive Company,CL,Consumer Defensive,59.8004,60.2671,59.787,59.8722,2012854
2014-05-07,Colgate-Palmolive Company,CL,Consumer Defensive,59.9171,60.4915,59.9171,60.3389,2190966
2014-05-08,Colgate-Palmolive Company,CL,Consumer Defensive,60.2582,60.4556,60.0257,60.2223,1714008
