date,name,symbol,sector,open,high,low,close,volume
2014-04-10,EQT Corporation,EQT,Energy,103.3777,103.7139,101.0444,101.3509,1805503
2014-04-11,EQT Corporation,EQT,Energy,101.1729,102.1913,100.1744,100.8763,1217899
2014-04-14,EQT Corporation,EQT,Energy,100.995,101.9837,100.2633,100.9455,867760
2014-04-15,EQT Corporation,EQT,Energy,101.252,101.9342,100.1051,101.7068,1058377
2014-04-16,EQT Corporation,EQT,Energy,102.7153,102.7252,101.0444,102.3989,1261470
2014-04-17,EQT Corporation,EQT,Energy,102.1517,103.9314,102.1517,103.5359,1815524
2014-04-21,EQT Corporation,EQT,Energy,103.3876,104.5444,102.4187,104.3961,1722062
2014-04-22,EQT Corporation,EQT,Energy,104.8014,105.0684,103.7435,103.8325,1306497
2014-04-23,EQT Corporation,EQT,Energy,103.8325,105.1079,103.8246,104.3862,1396597
2014-04-24,EQT Corporation,EQT,Energy,108.3904,110.2096,106.6009,106.9469,2342594
2014-04-25,EQT Corporation,EQT,Energy,106.7788,106.7788,103.8226,104.0599,1265497
2014-04-28,EQT Corporation,EQT,Energy,105.543,105.6418,103.5755,105.4935,1351059
2014-04-29,EQT Corporation,EQT,Energy,106.235,107.5599,106.1016,107.1941,1183757
2014-04-30,EQT Corporation,EQT,Energy,106.4624,107.9356,105.5627,107.7576,1511100
2014-05-01,EQT Corporation,EQT,Energy,107.8466,108.6771,105.978,108.0147,2344895
2014-05-02,EQT Corporation,EQT,Energy,108.0147,109.9031,106.9568,108.598,1614429
2014-05-05,EQT Corporation,EQT,Energy,107.9257,108.9441,107.2237,107.8466,1002299
2014-05-06,EQT Corporation,EQT,Energy,107.372,109.2308,106.8431,107.0161,928967
2014-05-07,EQT Corporation,EQT,Energy,107.9356,108.4102,106.1559,107.5006,1113472
2014-05-08,EQT Corporation,EQT,Energy,107.0458,107.8466,104.9399,105.0783,1318870
2014-05-09,EQT Corporation,EQT,Energy,105.3254,105.6695,103.2096,103.8523,4068033
2014-05-12,EQT Corporation,EQT,Energy,104.0599,105.0387,103.3579,103.9413,908692
2014-05-13,EQT Corporation,EQT,Energy,104.0797,104.8163,102.9724,103.3085,924276
2014-05-14,EQT Corporation,EQT,Energy,103.7931,104.5645,103.1799,103.4272,779376
2014-05-15,EQT Corporation,EQT,Energy,103.1898,103.1898,100.9547,101.9734,1445963
2014-05-16,EQT Corporation,EQT,Energy,101.8844,101.9635,100.8361,101.4294,982078
2014-05-19,EQT Corporation,EQT,Energy,101.4097,102.3195,100.8558,101.9338,884790
2014-05-20,EQT Corporation,EQT,Energy,101.8943,102.6063,101.6174,101.9833,851187
2014-05-21,EQT Corporation,EQT,Energy,102.2503,103.3678,102.0327,103.0415,778953
2014-05-22,EQT Corporation,EQT,Energy,102.7646,103.1305,101.825,101.8547,838859
2014-05-23,EQT Corporation,EQT,Energy,102.2404,102.4184,100.9152,101.0635,1459628
2014-05-27,EQT Corporation,EQT,Energy,101.4789,103.1404,101.0042,102.8832,1034884
2014-05-28,EQT Corporation,EQT,Energy,103.1206,103.8524,102.3195,103.1799,943698
2014-05-29,EQT Corporation,EQT,Energy,103.259,104.1392,102.2305,103.8228,846782
2014-05-30,EQT Corporation,EQT,Energy,103.3678,105.8502,102.636,105.7018,1789160
2014-06-02,EQT Corporation,EQT,Energy,105.5634,105.771,103.5508,104.0799,1698065
2014-06-03,EQT Corporation,EQT,Energy,104.0206,105.3952,103.7634,105.0293,866097
2014-06-04,EQT Corporation,EQT,Energy,105.237,105.7117,103.8425,105.3062,1638528
2014-06-05,EQT Corporation,EQT,Energy,105.326,105.5831,104.6436,105.3853,1354360
2014-06-06,EQT Corporation,EQT,Energy,105.8205,106.0183,104.9403,105.2172,722814
2014-06-09,EQT Corporation,EQT,Energy,105.0194,105.5139,103.3283,103.5755,957182
2014-06-10,EQT Corporation,EQT,Energy,103.0909,104.3469,101.024,101.5086,2029214
2014-06-11,EQT Corporation,EQT,Energy,101.4789,102.4679,101.1644,101.7162,1053516
2014-06-12,EQT Corporation,EQT,Energy,102.003,103.8524,101.4888,103.4766,1829312
2014-06-13,EQT Corporation,EQT,Energy,103.4766,104.7524,103.2393,104.6832,1935744
2014-06-16,EQT Corporation,EQT,Energy,104.515,105.2766,104.2777,105.2568,1219648
2014-06-17,EQT Corporation,EQT,Energy,105.0788,106.226,104.9304,106.1666,1555839
2014-06-18,EQT Corporation,EQT,Energy,106.1666,107.0765,105.8205,106.9183,1646299
2014-06-19,EQT Corporation,EQT,Energy,107.1062,107.6105,106.4436,107.2644,1416239
2014-06-20,EQT Corporation,EQT,Energy,107.7985,108.3226,106.3842,108.3226,2547571
2014-06-23,EQT Corporation,EQT,Energy,108.0754,108.7578,107.4029,107.838,1689022
2014-06-24,EQT Corporation,EQT,Energy,108.0061,108.4413,106.1567,106.4633,1461481
2014-06-25,EQT Corporation,EQT,Energy,106.226,107.5809,105.5831,105.7117,1033251
2014-06-26,EQT Corporation,EQT,Energy,105.9985,106.8194,105.415,106.8194,1226124
2014-06-27,EQT Corporation,EQT,Energy,106.4732,106.9677,105.0491,105.8403,1669463
2014-06-30,EQT Corporation,EQT,Energy,105.8205,105.8699,105.148,105.7216,1085391
2014-07-01,EQT Corporation,EQT,Energy,105.5337,106.5227,104.6436,105.5831,1121353
2014-07-02,EQT Corporation,EQT,Energy,105.4447,106.0381,105.0293,105.4348,752337
2014-07-03,EQT Corporation,EQT,Energy,105.3755,105.7117,104.5447,104.9502,622049
2014-07-07,EQT Corporation,EQT,Energy,104.2975,104.6832,102.7942,103.6744,1458039
2014-07-08,EQT Corporation,EQT,Energy,103.4964,104.1788,102.6657,104.159,1098732
2014-07-09,EQT Corporation,EQT,Energy,104.0601,104.8117,103.4173,104.5843,970286
2014-07-10,EQT Corporation,EQT,Energy,103.2195,103.4964,101.4987,101.5778,1686941
2014-07-11,EQT Corporation,EQT,Energy,101.4888,101.7657,100.0152,100.7767,1599059
2014-07-14,EQT Corporation,EQT,Energy,101.2218,102.458,100.9943,101.8547,1244454
2014-07-15,EQT Corporation,EQT,Energy,102.2701,102.458,101.3602,101.5283,1522985
2014-07-16,EQT Corporation,EQT,Energy,101.647,102.5084,101.6173,102.3195,1391146
2014-07-17,EQT Corporation,EQT,Energy,102.3195,102.3195,98.0076,98.146,2602192
2014-07-18,EQT Corporation,EQT,Energy,98.2647,99.5702,98.2647,99.4614,1427754
2014-07-21,EQT Corporation,EQT,Energy,99.3921,99.3921,98.2449,98.2944,1333855
2014-07-22,EQT Corporation,EQT,Energy,98.4131,98.7691,96.8505,97.8395,4426138
2014-07-23,EQT Corporation,EQT,Energy,98.4032,99.0262,97.7307,98.8185,1580243
2014-07-24,EQT Corporation,EQT,Energy,96.9197,104.2975,96.09,103.0316,3791098
2014-07-25,EQT Corporation,EQT,Energy,101.0042,101.5185,98.1559,99.046,2865444
2014-07-28,EQT Corporation,EQT,Energy,99.0856,99.4515,97.9087,98.0471,1458599
2014-07-29,EQT Corporation,EQT,Energy,97.6515,98.3241,96.9593,97.2461,1218082
2014-07-30,EQT Corporation,EQT,Energy,97.4043,97.8889,95.1791,95.3077,1387723
2014-07-31,EQT Corporation,EQT,Energy,94.8231,94.8231,92.7264,92.7858,1648492
2014-08-01,EQT Corporation,EQT,Energy,94.2,95.5648,93.7055,95.0407,1478700
2014-08-04,EQT Corporation,EQT,Energy,94.2,95.5648,93.7055,95.0407,1478700
2014-08-05,EQT Corporation,EQT,Energy,94.9022,95.6044,93.122,94.0022,1324108
2014-08-06,EQT Corporation,EQT,Energy,93.9726,94.8725,93.3001,93.8341,812883
2014-08-07,EQT Corporation,EQT,Energy,94.0912,94.6846,91.9649,92.499,956231
2014-08-08,EQT Corporation,EQT,Energy,93.1814,94.4176,92.6078,94.111,1041517
2014-08-11,EQT Corporation,EQT,Energy,94.8626,95.3077,92.4396,92.9836,1857471
2014-08-12,EQT Corporation,EQT,Energy,92.8352,93.1517,91.6485,92.0144,1545359
2014-08-13,EQT Corporation,EQT,Energy,92.1429,93.3895,91.767,93.0432,1210897
2014-08-14,EQT Corporation,EQT,Energy,93.3301,93.9336,92.6079,92.8849,775543
2014-08-15,EQT Corporation,EQT,Energy,93.3499,94.0325,92.5486,93.6071,945094
2014-08-18,EQT Corporation,EQT,Energy,93.617,94.1809,92.9146,93.9138,884487
2014-08-19,EQT Corporation,EQT,Energy,94.1116,94.5865,93.5379,93.8346,819482
2014-08-20,EQT Corporation,EQT,Energy,93.4785,94.1018,92.8454,93.8841,541112
2014-08-21,EQT Corporation,EQT,Energy,93.706,94.171,92.6871,93.9435,920489
2014-08-22,EQT Corporation,EQT,Energy,93.8248,94.4381,92.9245,94.0226,892342
2014-08-25,EQT Corporation,EQT,Energy,95.1405,96.0061,94.3095,95.7341,794403
2014-08-26,EQT Corporation,EQT,Energy,96.0408,97.9798,95.5659,97.0795,1652764
2014-08-27,EQT Corporation,EQT,Energy,97.0795,97.7275,96.3376,96.6245,856774
2014-08-28,EQT Corporation,EQT,Energy,96.5552,97.4555,95.9824,96.941,779177
2014-08-29,EQT Corporation,EQT,Energy,96.7036,98.0589,96.5156,97.9996,743575
2014-09-02,EQT Corporation,EQT,Energy,97.9996,98.1381,95.8429,96.5255,918543
2014-09-03,EQT Corporation,EQT,Energy,96.7729,96.9905,95.3878,95.4472,735303
2014-09-04,EQT Corporation,EQT,Energy,95.6055,96.0902,94.5143,94.8734,970166
2014-09-05,EQT Corporation,EQT,Energy,94.8734,95.7341,94.1018,95.4076,768059
2014-09-08,EQT Corporation,EQT,Energy,95.4472,95.4472,93.617,94.1215,664073
2014-09-09,EQT Corporation,EQT,Energy,94.4579,96.6344,94.26,94.8734,1166785
2014-09-10,EQT Corporation,EQT,Energy,94.9723,95.2197,93.7753,94.5568,756581
2014-09-11,EQT Corporation,EQT,Energy,93.5774,95.0119,92.8454,94.8338,1579044
2014-09-12,EQT Corporation,EQT,Energy,94.2798,94.5667,93.2213,93.3994,898267
2014-09-15,EQT Corporation,EQT,Energy,93.4191,95.3681,92.9918,94.3095,914351
2014-09-16,EQT Corporation,EQT,Energy,93.8248,95.2394,93.8248,94.636,1295392
2014-09-17,EQT Corporation,EQT,Energy,95.4175,96.7926,95.0317,95.7143,2020083
2014-09-18,EQT Corporation,EQT,Energy,95.6154,96.3079,93.706,93.7852,1056249
2014-09-19,EQT Corporation,EQT,Energy,94.0325,94.4183,92.3952,92.4694,1541784
2014-09-22,EQT Corporation,EQT,Energy,92.4694,92.598,90.4117,90.847,1261118
2014-09-23,EQT Corporation,EQT,Energy,90.8173,91.6681,90.5403,90.5898,1446019
2014-09-24,EQT Corporation,EQT,Energy,90.3622,91.2031,88.809,90.4117,954804
2014-09-25,EQT Corporation,EQT,Energy,90.4611,90.471,89.1553,90.016,1429046
2014-09-26,EQT Corporation,EQT,Energy,89.7291,92.2221,89.5312,91.124,1480126
2014-09-29,EQT Corporation,EQT,Energy,90.2633,91.9748,89.9368,91.8462,1119380
2014-09-30,EQT Corporation,EQT,Energy,91.9847,92.5411,90.1282,90.5601,1440164
2014-10-01,EQT Corporation,EQT,Energy,90.8371,91.3713,88.7892,88.9277,1396036
2014-10-02,EQT Corporation,EQT,Energy,88.0769,89.7686,87.0975,89.1454,1371732
2014-10-03,EQT Corporation,EQT,Energy,89.2839,89.6796,88.1561,89.3927,809576
2014-10-06,EQT Corporation,EQT,Energy,89.363,89.7884,87.978,88.354,942526
2014-10-07,EQT Corporation,EQT,Energy,87.5328,88.9376,86.6425,86.6425,1312863
2014-10-08,EQT Corporation,EQT,Energy,86.5732,87.6417,84.7727,87.5427,1807914
2014-10-09,EQT Corporation,EQT,Energy,87.1173,87.1173,83.3877,83.4075,2163837
2014-10-10,EQT Corporation,EQT,Energy,83.17,83.912,80.8155,81.1618,2573640
2014-10-13,EQT Corporation,EQT,Energy,81.1618,81.9136,76.8682,76.9771,2599885
2014-10-14,EQT Corporation,EQT,Energy,77.442,79.3415,76.7001,77.5212,2404178
2014-10-15,EQT Corporation,EQT,Energy,76.1065,81.3596,75.3843,81.3102,2910437
2014-10-16,EQT Corporation,EQT,Energy,79.2079,85.5701,79.2079,84.3835,2784462
2014-10-17,EQT Corporation,EQT,Energy,85.3663,86.3902,81.3992,82.527,2092537
2014-10-20,EQT Corporation,EQT,Energy,82.3786,83.5064,80.8056,82.2104,1383090
2014-10-21,EQT Corporation,EQT,Energy,83.3481,84.654,83.0414,84.3473,1658848
2014-10-22,EQT Corporation,EQT,Energy,84.3374,85.4256,81.8741,82.0027,1550259
2014-10-23,EQT Corporation,EQT,Energy,82.6061,88.0829,81.8048,86.7117,2392251
2014-10-24,EQT Corporation,EQT,Energy,88.6804,89.0662,85.8609,87.9483,2141193
2014-10-27,EQT Corporation,EQT,Energy,86.6524,86.8502,84.0604,85.7224,1964062
2014-10-28,EQT Corporation,EQT,Energy,86.2665,90.0259,85.4949,89.6895,2057130
2014-10-29,EQT Corporation,EQT,Energy,90.7283,91.7472,88.4925,89.1058,2205875
2014-10-30,EQT Corporation,EQT,Energy,88.7398,89.3937,87.2756,88.1363,945074
2014-10-31,EQT Corporation,EQT,Energy,88.255,93.2015,87.4042,93.0333,2411386
2014-11-03,EQT Corporation,EQT,Energy,93.1421,94.3788,90.57,90.8964,1421846
2014-11-04,EQT Corporation,EQT,Energy,89.6796,92.0242,88.6606,91.9649,2076611
2014-11-05,EQT Corporation,EQT,Energy,92.5585,96.4464,91.8857,96.0012,2903752
2014-11-06,EQT Corporation,EQT,Energy,95.7737,98.7811,94.9229,98.6822,3070841
