date,name,symbol,sector,open,high,low,close,volume
2014-04-10,Fastenal Company,FAST,Industrials,44.4516,44.8616,43.9455,44.2596,3354504
2014-04-11,Fastenal Company,FAST,Industrials,45.5072,45.5508,42.4275,43.5006,6788878
2014-04-14,Fastenal Company,FAST,Industrials,44.024,44.6522,43.5355,43.9892,2738091
2014-04-15,Fastenal Company,FAST,Industrials,43.963,44.0589,43.1341,43.6882,2565571
2014-04-16,Fastenal Company,FAST,Industrials,44.1287,44.4952,43.5529,43.7536,3080386
2014-04-17,Fastenal Company,FAST,Industrials,43.6751,44.0677,43.6402,43.7274,2426284
2014-04-21,Fastenal Company,FAST,Industrials,43.7798,43.963,43.3435,43.6227,1565478
2014-04-22,Fastenal Company,FAST,Industrials,43.5965,44.2509,43.4482,44.0851,1801920
2014-04-23,Fastenal Company,FAST,Industrials,43.9098,43.9449,43.4363,43.752,1289486
2014-04-24,Fastenal Company,FAST,Industrials,44.0413,44.1465,43.5328,43.7958,1173935
2014-04-25,Fastenal Company,FAST,Industrials,43.6204,43.901,42.9278,43.0593,1181963
2014-04-28,Fastenal Company,FAST,Industrials,43.3662,43.6643,42.6998,43.3486,2079679
2014-04-29,Fastenal Company,FAST,Industrials,43.6204,43.7958,43.182,43.3399,1161502
2014-04-30,Fastenal Company,FAST,Industrials,43.2873,43.9887,43.0155,43.9098,1817188
2014-05-01,Fastenal Company,FAST,Industrials,43.787,44.1027,43.3223,43.4188,1803834
2014-05-02,Fastenal Company,FAST,Industrials,43.5591,43.7958,43.2688,43.3486,1613902
2014-05-05,Fastenal Company,FAST,Industrials,43.1645,43.3486,42.6735,42.7173,1796212
2014-05-06,Fastenal Company,FAST,Industrials,42.6823,42.8138,42.3955,42.5946,1496901
2014-05-07,Fastenal Company,FAST,Industrials,42.7875,42.9365,42.2088,42.5683,1179337
2014-05-08,Fastenal Company,FAST,Industrials,42.6209,42.9278,42.1211,42.3053,1345186
2014-05-09,Fastenal Company,FAST,Industrials,42.2789,42.4017,41.5863,42.3053,2050281
2014-05-12,Fastenal Company,FAST,Industrials,42.4017,43.296,42.3885,43.1294,1311115
2014-05-13,Fastenal Company,FAST,Industrials,42.8489,43.0856,42.1036,42.1387,2193480
2014-05-14,Fastenal Company,FAST,Industrials,42.1825,42.6656,42.0773,42.2,1245803
2014-05-15,Fastenal Company,FAST,Industrials,42.1036,42.3579,41.6214,42.2176,1639892
2014-05-16,Fastenal Company,FAST,Industrials,42.2614,42.3859,41.5249,42.2877,1469712
2014-05-19,Fastenal Company,FAST,Industrials,42.0597,42.9453,42.0247,42.7086,1440552
2014-05-20,Fastenal Company,FAST,Industrials,42.4543,42.4981,41.6214,41.9107,1280428
2014-05-21,Fastenal Company,FAST,Industrials,41.9458,42.2526,41.9019,42.165,959090
2014-05-22,Fastenal Company,FAST,Industrials,42.1913,42.6998,41.9633,42.1913,1088811
2014-05-23,Fastenal Company,FAST,Industrials,42.3579,42.656,42.0948,42.4894,971520
2014-05-27,Fastenal Company,FAST,Industrials,42.5595,42.7305,42.428,42.7173,992239
2014-05-28,Fastenal Company,FAST,Industrials,42.7261,42.8489,42.4894,42.5245,849620
2014-05-29,Fastenal Company,FAST,Industrials,42.5332,42.8576,42.3754,42.8313,929447
2014-05-30,Fastenal Company,FAST,Industrials,42.8927,42.9804,42.6735,42.7436,1190646
2014-06-02,Fastenal Company,FAST,Industrials,42.8226,43.3311,42.7559,43.0505,1697995
2014-06-03,Fastenal Company,FAST,Industrials,42.919,43.182,42.7612,42.9979,1609342
2014-06-04,Fastenal Company,FAST,Industrials,43.182,43.8572,42.9892,43.3136,1672759
2014-06-05,Fastenal Company,FAST,Industrials,43.3311,43.695,42.9628,43.5328,1229173
2014-06-06,Fastenal Company,FAST,Industrials,43.7783,44.015,43.5152,43.7958,1020976
2014-06-09,Fastenal Company,FAST,Industrials,43.7958,44.6989,43.7695,44.3569,1361946
2014-06-10,Fastenal Company,FAST,Industrials,44.2079,44.392,44.0413,44.392,796353
2014-06-11,Fastenal Company,FAST,Industrials,44.1377,44.5235,44.1377,44.4271,1140985
2014-06-12,Fastenal Company,FAST,Industrials,44.1641,44.1641,43.1557,43.5152,1788904
2014-06-13,Fastenal Company,FAST,Industrials,43.6117,43.8396,43.3136,43.4626,1212820
2014-06-16,Fastenal Company,FAST,Industrials,43.2873,43.5941,42.9628,43.3399,1018655
2014-06-17,Fastenal Company,FAST,Industrials,43.147,43.5678,42.9804,43.4802,1096625
2014-06-18,Fastenal Company,FAST,Industrials,43.4977,43.6643,43.0944,43.6292,909922
2014-06-19,Fastenal Company,FAST,Industrials,43.5854,43.7783,43.2522,43.4714,949950
2014-06-20,Fastenal Company,FAST,Industrials,43.673,44.0545,43.4275,43.7783,1904339
2014-06-23,Fastenal Company,FAST,Industrials,43.752,44.1728,43.5503,43.6906,641108
2014-06-24,Fastenal Company,FAST,Industrials,43.5766,43.9536,42.9979,43.1031,1110044
2014-06-25,Fastenal Company,FAST,Industrials,42.9979,43.2347,42.7884,43.1733,756656
2014-06-26,Fastenal Company,FAST,Industrials,43.0944,43.296,42.8489,43.2785,793451
2014-06-27,Fastenal Company,FAST,Industrials,43.296,43.524,43.1119,43.5065,664034
2014-06-30,Fastenal Company,FAST,Industrials,43.4188,43.6117,43.033,43.3925,1053104
2014-07-01,Fastenal Company,FAST,Industrials,43.4626,43.6555,43.1031,43.2171,1805175
2014-07-02,Fastenal Company,FAST,Industrials,43.1645,43.4363,43.0944,43.2347,1046233
2014-07-03,Fastenal Company,FAST,Industrials,43.4012,44.0325,43.3539,43.9098,722382
2014-07-07,Fastenal Company,FAST,Industrials,43.9887,43.9975,43.4758,43.6292,1836693
2014-07-08,Fastenal Company,FAST,Industrials,43.5854,43.6994,43.1908,43.4012,1564405
2014-07-09,Fastenal Company,FAST,Industrials,43.5766,43.6467,42.8489,42.9716,1813125
2014-07-10,Fastenal Company,FAST,Industrials,42.2439,42.7875,42.165,42.222,4039183
2014-07-11,Fastenal Company,FAST,Industrials,40.5517,40.6569,39.6047,40.464,7618364
2014-07-14,Fastenal Company,FAST,Industrials,40.6043,40.692,39.8765,39.8853,3533677
2014-07-15,Fastenal Company,FAST,Industrials,39.8853,39.9642,39.2452,39.4469,5614671
2014-07-16,Fastenal Company,FAST,Industrials,39.5609,39.9554,39.3154,39.9116,3807940
2014-07-17,Fastenal Company,FAST,Industrials,39.6398,39.9642,39.4557,39.482,2576619
2014-07-18,Fastenal Company,FAST,Industrials,39.5784,39.859,39.3592,39.7713,2274526
2014-07-21,Fastenal Company,FAST,Industrials,39.5609,39.6486,39.4118,39.4557,1343030
2014-07-22,Fastenal Company,FAST,Industrials,39.482,39.7012,39.289,39.3943,1995853
2014-07-23,Fastenal Company,FAST,Industrials,39.4296,39.4648,39.0923,39.3238,2131193
2014-07-24,Fastenal Company,FAST,Industrials,39.5618,39.8175,39.4648,39.6853,2160403
2014-07-25,Fastenal Company,FAST,Industrials,39.6147,39.8528,39.5001,39.8131,1681489
2014-07-28,Fastenal Company,FAST,Industrials,39.7117,39.9145,39.5883,39.6853,2357408
2014-07-29,Fastenal Company,FAST,Industrials,39.6764,39.7646,39.5971,39.6764,2465846
2014-07-30,Fastenal Company,FAST,Industrials,39.6764,39.7646,39.5001,39.6235,2937551
2014-07-31,Fastenal Company,FAST,Industrials,39.5354,39.5442,38.927,39.1077,4244742
2014-08-01,Fastenal Company,FAST,Industrials,39.0945,39.218,38.6448,38.9005,1743863
2014-08-04,Fastenal Company,FAST,Industrials,38.9623,39.3017,38.6448,39.2532,1599682
2014-08-05,Fastenal Company,FAST,Industrials,39.0592,39.1661,38.301,38.5655,3816453
2014-08-06,Fastenal Company,FAST,Industrials,38.3627,38.8388,38.2745,38.7859,1951946
2014-08-07,Fastenal Company,FAST,Industrials,39.0063,39.2003,38.5479,38.6448,1632741
2014-08-08,Fastenal Company,FAST,Industrials,38.7947,39.262,38.7286,39.2268,1229344
2014-08-11,Fastenal Company,FAST,Industrials,39.359,39.5618,39.2532,39.2709,1512131
2014-08-12,Fastenal Company,FAST,Industrials,39.0592,40.1702,39.0504,39.7205,2461683
2014-08-13,Fastenal Company,FAST,Industrials,39.65,39.9762,39.0108,39.1298,1966410
2014-08-14,Fastenal Company,FAST,Industrials,39.2268,39.6235,39.0152,39.5971,1883451
2014-08-15,Fastenal Company,FAST,Industrials,39.8263,39.8723,38.4332,38.636,3087299
2014-08-18,Fastenal Company,FAST,Industrials,38.9446,39.4384,38.8036,39.4296,1304127
2014-08-19,Fastenal Company,FAST,Industrials,39.4913,39.7866,39.3678,39.6323,1638401
2014-08-20,Fastenal Company,FAST,Industrials,39.6764,40.0908,39.5883,39.9762,1468266
2014-08-21,Fastenal Company,FAST,Industrials,39.9586,40.276,39.6853,40.2055,1167777
2014-08-22,Fastenal Company,FAST,Industrials,39.9762,40.3686,39.9762,40.2231,940396
2014-08-25,Fastenal Company,FAST,Industrials,40.3201,40.5317,40.0996,40.3553,747650
2014-08-26,Fastenal Company,FAST,Industrials,40.3289,40.4523,40.082,40.3201,1096554
2014-08-27,Fastenal Company,FAST,Industrials,40.2936,40.4523,39.7911,39.9498,987195
2014-08-28,Fastenal Company,FAST,Industrials,39.9233,40.0203,39.6324,39.8704,589863
2014-08-29,Fastenal Company,FAST,Industrials,40.1173,40.1173,39.7271,39.9233,765219
2014-09-02,Fastenal Company,FAST,Industrials,40.0203,40.2584,39.6059,39.8351,1200192
2014-09-03,Fastenal Company,FAST,Industrials,40.0644,40.1614,39.844,39.9938,764757
2014-09-04,Fastenal Company,FAST,Industrials,40.1349,41.8093,40.0467,41.5897,3820928
2014-09-05,Fastenal Company,FAST,Industrials,41.431,41.528,41.0695,41.4486,1565416
2014-09-08,Fastenal Company,FAST,Industrials,41.3781,41.6603,41.0607,41.0783,983008
2014-09-09,Fastenal Company,FAST,Industrials,40.9725,41.1561,40.6639,40.8138,1015434
2014-09-10,Fastenal Company,FAST,Industrials,40.7697,41.0166,40.6639,40.9725,1011553
2014-09-11,Fastenal Company,FAST,Industrials,40.7521,40.8844,40.492,40.6463,897570
2014-09-12,Fastenal Company,FAST,Industrials,40.5493,40.7874,40.1437,40.3818,1355542
2014-09-15,Fastenal Company,FAST,Industrials,40.3642,40.4964,40.082,40.3818,1058862
2014-09-16,Fastenal Company,FAST,Industrials,40.3818,40.5405,39.9586,40.3994,1023711
2014-09-17,Fastenal Company,FAST,Industrials,40.5052,40.5934,40.082,40.3642,1597805
2014-09-18,Fastenal Company,FAST,Industrials,40.7345,40.8579,40.4259,40.8315,1253053
2014-09-19,Fastenal Company,FAST,Industrials,40.9725,41.1444,40.3994,40.7653,2689243
2014-09-22,Fastenal Company,FAST,Industrials,40.5846,40.7521,40.082,40.2495,967528
2014-09-23,Fastenal Company,FAST,Industrials,40.2495,40.3289,39.9586,40.0115,1082923
2014-09-24,Fastenal Company,FAST,Industrials,40.0291,40.7168,39.9498,40.6728,1060887
2014-09-25,Fastenal Company,FAST,Industrials,40.6375,40.6375,39.6412,39.6941,1380645
2014-09-26,Fastenal Company,FAST,Industrials,39.6059,40.2231,39.6059,40.1173,949091
2014-09-29,Fastenal Company,FAST,Industrials,39.7558,40.3148,39.5883,39.8528,1449000
2014-09-30,Fastenal Company,FAST,Industrials,39.8704,40.1658,39.4296,39.5883,1569232
2014-10-01,Fastenal Company,FAST,Industrials,39.6764,39.7029,38.927,39.2532,2417550
2014-10-02,Fastenal Company,FAST,Industrials,39.3149,40.1702,39.0328,40.0952,1563281
2014-10-03,Fastenal Company,FAST,Industrials,40.2584,40.6551,40.1349,40.3465,1673681
2014-10-06,Fastenal Company,FAST,Industrials,40.5934,40.8403,40.179,40.5361,1111764
2014-10-07,Fastenal Company,FAST,Industrials,40.1966,40.276,39.4648,39.5089,2314296
2014-10-08,Fastenal Company,FAST,Industrials,39.4031,40.4523,39.2003,40.3994,2243315
2014-10-09,Fastenal Company,FAST,Industrials,40.2055,40.4523,39.1298,39.4119,3261463
2014-10-10,Fastenal Company,FAST,Industrials,38.3627,38.4597,36.8726,37.5075,7273908
2014-10-13,Fastenal Company,FAST,Industrials,37.5339,37.5339,36.2819,36.3701,3029594
2014-10-14,Fastenal Company,FAST,Industrials,36.3348,36.9432,36.1056,36.2378,3796708
2014-10-15,Fastenal Company,FAST,Industrials,35.7617,36.3877,35.4266,36.132,3578022
2014-10-16,Fastenal Company,FAST,Industrials,35.4707,36.3524,35.4619,35.9557,2944232
2014-10-17,Fastenal Company,FAST,Industrials,36.2643,36.4141,35.6823,36.229,3729989
2014-10-20,Fastenal Company,FAST,Industrials,36.035,36.6081,36.035,36.5023,1500056
2014-10-21,Fastenal Company,FAST,Industrials,36.8285,37.5824,36.5552,37.5515,2020608
2014-10-22,Fastenal Company,FAST,Industrials,37.6757,37.7201,36.7977,36.8065,1617298
2014-10-23,Fastenal Company,FAST,Industrials,37.3298,37.7999,37.3298,37.4451,1292262
2014-10-24,Fastenal Company,FAST,Industrials,37.587,37.8708,37.2943,37.8442,1076148
2014-10-27,Fastenal Company,FAST,Industrials,37.6668,37.7821,37.3387,37.7289,996239
2014-10-28,Fastenal Company,FAST,Industrials,37.8797,38.5005,37.6314,38.4961,1509616
2014-10-29,Fastenal Company,FAST,Industrials,38.4473,38.4828,37.7999,38.1458,1240902
2014-10-30,Fastenal Company,FAST,Industrials,38.0216,38.4385,37.8531,38.3232,992112
2014-10-31,Fastenal Company,FAST,Industrials,39.1214,39.1391,38.7227,39.0593,1602185
2014-11-03,Fastenal Company,FAST,Industrials,39.0149,39.2012,38.8642,39.0327,1101816
2014-11-04,Fastenal Company,FAST,Industrials,38.9617,39.3608,38.8908,39.2189,1137807
2014-11-05,Fastenal Company,FAST,Industrials,39.9196,40.0837,39.2101,39.414,2594398
2014-11-06,Fastenal Company,FAST,Industrials,39.5471,39.9373,39.4296,39.8309,1721885
2014-11-07,Fastenal Company,FAST,Industrials,39.6801,39.7378,38.8996,39.4939,2443716
2014-11-10,Fastenal Company,FAST,Industrials,39.5559,39.5559,39.2455,39.4096,2049932
2014-11-11,Fastenal Company,FAST,Industrials,39.3963,39.5471,39.0327,39.4052,1250886
2014-11-12,Fastenal Company,FAST,Industrials,39.2101,39.7422,39.1391,39.6003,1595222
2014-11-13,Fastenal Company,FAST,Industrials,39.6535,39.7156,38.9883,39.3165,1343969
2014-11-14,Fastenal Company,FAST,Industrials,39.4052,39.8132,38.9528,39.7333,1252453
2014-11-17,Fastenal Company,FAST,Industrials,39.618,39.689,39.2721,39.3786,1784218
2014-11-18,Fastenal Company,FAST,Industrials,39.2189,39.8132,39.2189,39.3342,1325977
2014-11-19,Fastenal Company,FAST,Industrials,39.3342,39.689,39.1214,39.6269,1366183
2014-11-20,Fastenal Company,FAST,Industrials,39.3342,40.0437,39.3254,39.9551,1720315
2014-11-21,Fastenal Company,FAST,Industrials,40.2832,40.4517,39.9107,40.0925,2640256
2014-11-24,Fastenal Company,FAST,Industrials,40.159,40.3453,39.9817,40.1147,1619509
2014-11-25,Fastenal Company,FAST,Industrials,39.7333,40.3852,39.7333,40.199,1601247
2014-11-26,Fastenal Company,FAST,Industrials,40.159,40.2655,39.9462,40.1236,1178523
2014-11-28,Fastenal Company,FAST,Industrials,40.0704,40.2743,39.8043,40.0881,1014970
2014-12-01,Fastenal Company,FAST,Industrials,39.9551,40.0792,39.3874,39.3963,1895828
2014-12-02,Fastenal Company,FAST,Industrials,39.2899,39.7865,39.1746,39.7777,1495955
2014-12-03,Fastenal Company,FAST,Industrials,39.9196,41.0459,39.9196,41.0282,2296230
2014-12-04,Fastenal Company,FAST,Industrials,41.0016,41.4451,40.7976,41.3652,1903669
2014-12-05,Fastenal Company,FAST,Industrials,41.5249,41.9949,41.3475,41.9107,1663581
2014-12-08,Fastenal Company,FAST,Industrials,41.0238,42.0836,40.8065,41.3475,1375798
2014-12-09,Fastenal Company,FAST,Industrials,40.8774,41.3209,40.638,41.2987,1381702
2014-12-10,Fastenal Company,FAST,Industrials,41.108,41.2145,40.6646,40.8331,2120910
2014-12-11,Fastenal Company,FAST,Industrials,41.7111,41.7111,41.0459,41.1879,1849128
2014-12-12,Fastenal Company,FAST,Industrials,40.8154,41.7289,40.363,40.4074,2357312
2014-12-15,Fastenal Company,FAST,Industrials,40.4695,40.7267,39.9994,40.1324,1497315
2014-12-16,Fastenal Company,FAST,Industrials,40.0526,40.8154,39.8841,39.9196,1262808
2014-12-17,Fastenal Company,FAST,Industrials,39.9817,40.3719,39.4362,40.2477,1548773
2014-12-18,Fastenal Company,FAST,Industrials,40.8774,41.312,40.2123,41.312,1687580
2014-12-19,Fastenal Company,FAST,Industrials,41.2854,42.4473,41.2854,41.9595,3180567
2014-12-22,Fastenal Company,FAST,Industrials,41.9417,42.3142,41.7909,42.3053,1217662
2014-12-23,Fastenal Company,FAST,Industrials,42.5714,42.802,42.3142,42.3231,1082817
2014-12-24,Fastenal Company,FAST,Industrials,42.4473,42.7133,42.4473,42.4561,816718
2014-12-26,Fastenal Company,FAST,Industrials,42.598,42.7222,42.3586,42.394,838077
2014-12-29,Fastenal Company,FAST,Industrials,42.394,42.7843,42.3852,42.7577,1253723
2014-12-30,Fastenal Company,FAST,Industrials,42.6601,42.9528,42.4916,42.6779,990046
2014-12-31,Fastenal Company,FAST,Industrials,42.8907,42.8996,42.1457,42.1812,797921
2015-01-02,Fastenal Company,FAST,Industrials,42.4384,42.873,41.7466,42.0393,1345485
2015-01-05,Fastenal Company,FAST,Industrials,41.8176,41.9151,41.1524,41.3165,1913840
2015-01-06,Fastenal Company,FAST,Industrials,41.4007,41.4184,40.0881,40.6114,1789498
2015-01-07,Fastenal Company,FAST,Industrials,40.567,40.805,40.026,40.3453,2146923
2015-01-08,Fastenal Company,FAST,Industrials,40.7621,41.2765,40.638,41.2588,1591990
2015-01-09,Fastenal Company,FAST,Industrials,41.2145,41.3165,40.7621,40.7887,2085167
2015-01-12,Fastenal Company,FAST,Industrials,40.7001,41.0193,40.2034,40.4961,1423470
2015-01-13,Fastenal Company,FAST,Industrials,40.7887,41.7111,40.1857,40.6912,2909862
2015-01-14,Fastenal Company,FAST,Industrials,40.3985,40.5848,39.3608,39.8486,4336571
2015-01-15,Fastenal Company,FAST,Industrials,39.9728,40.8508,38.8908,39.0149,4948510
2015-01-16,Fastenal Company,FAST,Industrials,38.9706,40.1768,38.7755,40.1324,3268145
2015-01-20,Fastenal Company,FAST,Industrials,40.1857,40.5138,39.8575,40.2655,2168329
2015-01-21,Fastenal Company,FAST,Industrials,40.0881,40.8331,39.9373,40.6823,1615802
2015-01-22,Fastenal Company,FAST,Industrials,40.9306,41.3918,40.434,41.1967,1583112
2015-01-23,Fastenal Company,FAST,Industrials,41.2411,41.4983,40.9839,41.0548,1455164
2015-01-26,Fastenal Company,FAST,Industrials,41.0193,41.2854,40.8065,40.8863,1279055
2015-01-27,Fastenal Company,FAST,Industrials,40.3276,40.3276,39.6269,40.2655,1679603
2015-01-28,Fastenal Company,FAST,Industrials,40.4082,40.5956,39.8639,39.9174,1801136
2015-01-29,Fastenal Company,FAST,Industrials,39.7479,40.2744,39.4534,40.1494,2255272
2015-01-30,Fastenal Company,FAST,Industrials,39.8282,40.2654,39.5069,39.6229,2541330
2015-02-02,Fastenal Company,FAST,Industrials,39.6497,40.2922,39.2392,40.1316,2713390
2015-02-03,Fastenal Company,FAST,Industrials,40.4172,40.8812,40.3636,40.8544,1860472
2015-02-04,Fastenal Company,FAST,Industrials,39.8371,39.846,37.5168,37.6775,9099765
2015-02-05,Fastenal Company,FAST,Industrials,37.5882,37.8113,37.1688,37.5347,4790009
2015-02-06,Fastenal Company,FAST,Industrials,37.6864,38.0791,37.3473,37.7801,4185644
2015-02-09,Fastenal Company,FAST,Industrials,37.6507,38.2129,37.6061,37.7132,2482949
2015-02-10,Fastenal Company,FAST,Industrials,38.0344,38.0344,37.267,37.9363,2625541
2015-02-11,Fastenal Company,FAST,Industrials,37.847,38.0344,37.5615,37.6552,2636307
2015-02-12,Fastenal Company,FAST,Industrials,37.6418,37.7846,36.5709,37.6909,5592895
2015-02-13,Fastenal Company,FAST,Industrials,37.9095,38.6414,37.6953,37.9273,4364265
2015-02-17,Fastenal Company,FAST,Industrials,37.9541,38.2396,37.7846,38.0255,2815130
2015-02-18,Fastenal Company,FAST,Industrials,38.0344,38.6502,38.0014,38.4271,2190813
2015-02-19,Fastenal Company,FAST,Industrials,38.4003,38.6859,38.2932,38.3379,1955949
2015-02-20,Fastenal Company,FAST,Industrials,38.3111,38.3111,37.9206,38.1638,2648170
2015-02-23,Fastenal Company,FAST,Industrials,38.1504,38.262,37.5972,37.6641,2251260
2015-02-24,Fastenal Company,FAST,Industrials,37.6596,37.7846,37.3205,37.5704,3684410
2015-02-25,Fastenal Company,FAST,Industrials,37.6061,37.9452,37.4454,37.8649,4304367
