date,name,symbol,sector,open,high,low,close,volume
2014-04-10,Foot Locker Inc.,FL,Consumer Cyclical,41.5011,41.5461,40.2399,40.303,1116022
2014-04-11,Foot Locker Inc.,FL,Consumer Cyclical,39.8796,40.303,39.4247,39.6544,1438879
2014-04-14,Foot Locker Inc.,FL,Consumer Cyclical,40.0237,40.4291,39.5823,40.0868,1230008
2014-04-15,Foot Locker Inc.,FL,Consumer Cyclical,40.1139,40.7386,39.7971,40.3946,1155247
2014-04-16,Foot Locker Inc.,FL,Consumer Cyclical,40.6571,41.1822,40.476,40.9196,1012395
2014-04-17,Foot Locker Inc.,FL,Consumer Cyclical,40.8744,41.318,40.7567,40.9559,1338548
2014-04-21,Foot Locker Inc.,FL,Consumer Cyclical,41.0826,41.318,40.7476,41.0826,830536
2014-04-22,Foot Locker Inc.,FL,Consumer Cyclical,41.0917,41.7163,41.0192,41.2456,1174547
2014-04-23,Foot Locker Inc.,FL,Consumer Cyclical,41.318,42.1146,41.3089,41.3995,1086193
2014-04-24,Foot Locker Inc.,FL,Consumer Cyclical,41.6348,41.9245,41.4357,41.7706,969150
2014-04-25,Foot Locker Inc.,FL,Consumer Cyclical,41.6167,41.8883,41.4176,41.499,569006
2014-04-28,Foot Locker Inc.,FL,Consumer Cyclical,41.7254,42.7076,41.327,41.8974,1411088
2014-04-29,Foot Locker Inc.,FL,Consumer Cyclical,41.9788,42.2595,41.6892,42.1327,865496
2014-04-30,Foot Locker Inc.,FL,Consumer Cyclical,42.1056,42.1961,41.5896,42.1237,872907
2014-05-01,Foot Locker Inc.,FL,Consumer Cyclical,42.3229,42.5401,41.997,42.1237,856011
2014-05-02,Foot Locker Inc.,FL,Consumer Cyclical,42.178,43.1376,42.0603,42.6397,710486
2014-05-05,Foot Locker Inc.,FL,Consumer Cyclical,42.5582,43.0833,42.169,42.866,859805
2014-05-06,Foot Locker Inc.,FL,Consumer Cyclical,42.6759,42.7393,42.1418,42.4677,938970
2014-05-07,Foot Locker Inc.,FL,Consumer Cyclical,42.4949,42.761,41.8249,42.3229,682884
2014-05-08,Foot Locker Inc.,FL,Consumer Cyclical,42.4043,43.6808,42.3681,42.694,1092261
2014-05-09,Foot Locker Inc.,FL,Consumer Cyclical,42.6759,43.3187,42.3953,43.3006,914358
2014-05-12,Foot Locker Inc.,FL,Consumer Cyclical,43.6174,44.5861,43.5812,44.0791,1172494
2014-05-13,Foot Locker Inc.,FL,Consumer Cyclical,44.387,44.9301,44.1697,44.233,1007934
2014-05-14,Foot Locker Inc.,FL,Consumer Cyclical,44.2693,44.5227,43.9615,44.1878,875636
2014-05-15,Foot Locker Inc.,FL,Consumer Cyclical,44.0158,44.0158,43.192,43.7804,852330
2014-05-16,Foot Locker Inc.,FL,Consumer Cyclical,43.7804,44.3598,43.6446,44.3598,794689
2014-05-19,Foot Locker Inc.,FL,Consumer Cyclical,44.3145,44.4684,43.9705,44.1968,926158
2014-05-20,Foot Locker Inc.,FL,Consumer Cyclical,43.9434,43.9705,43.0924,43.3006,1249512
2014-05-21,Foot Locker Inc.,FL,Consumer Cyclical,43.536,43.7623,42.6126,43.0562,1530147
2014-05-22,Foot Locker Inc.,FL,Consumer Cyclical,43.2282,43.8347,43.1648,43.6084,1692162
2014-05-23,Foot Locker Inc.,FL,Consumer Cyclical,44.4865,44.8124,43.3006,44.2874,3088458
2014-05-27,Foot Locker Inc.,FL,Consumer Cyclical,44.4503,44.4503,43.8257,43.8438,1444441
2014-05-28,Foot Locker Inc.,FL,Consumer Cyclical,43.7713,43.9796,43.2915,43.889,1655889
2014-05-29,Foot Locker Inc.,FL,Consumer Cyclical,43.9252,44.0429,43.1286,43.4545,1575420
2014-05-30,Foot Locker Inc.,FL,Consumer Cyclical,43.4635,43.9841,43.3549,43.6174,1213944
2014-06-02,Foot Locker Inc.,FL,Consumer Cyclical,43.6808,44.0791,43.0018,43.9524,909085
2014-06-03,Foot Locker Inc.,FL,Consumer Cyclical,43.8438,44.3507,43.6899,44.224,1125701
2014-06-04,Foot Locker Inc.,FL,Consumer Cyclical,44.1154,44.9166,44.0294,44.5409,1138650
2014-06-05,Foot Locker Inc.,FL,Consumer Cyclical,44.5861,45.1157,44.1063,45.1021,1221145
2014-06-06,Foot Locker Inc.,FL,Consumer Cyclical,45.2651,45.3692,44.8283,44.903,1106010
2014-06-09,Foot Locker Inc.,FL,Consumer Cyclical,45.1565,45.3375,44.7219,44.8396,813663
2014-06-10,Foot Locker Inc.,FL,Consumer Cyclical,44.8758,45.2108,44.5771,45.2108,1117929
2014-06-11,Foot Locker Inc.,FL,Consumer Cyclical,44.9844,45.1383,44.5046,44.912,1168257
2014-06-12,Foot Locker Inc.,FL,Consumer Cyclical,45.075,45.2741,44.5861,44.8034,967405
2014-06-13,Foot Locker Inc.,FL,Consumer Cyclical,45.0026,45.075,44.5409,44.7581,940511
2014-06-16,Foot Locker Inc.,FL,Consumer Cyclical,44.8396,45.1836,44.7219,45.1293,1117247
2014-06-17,Foot Locker Inc.,FL,Consumer Cyclical,45.2108,45.3556,44.6088,44.6495,1898921
2014-06-18,Foot Locker Inc.,FL,Consumer Cyclical,44.8034,45.2741,44.6857,45.247,1323217
2014-06-19,Foot Locker Inc.,FL,Consumer Cyclical,45.2651,45.3828,44.9663,45.1112,1446918
2014-06-20,Foot Locker Inc.,FL,Consumer Cyclical,45.1112,45.3918,44.903,44.9301,2363657
2014-06-23,Foot Locker Inc.,FL,Consumer Cyclical,44.8849,45.2923,44.8758,45.256,1160419
2014-06-24,Foot Locker Inc.,FL,Consumer Cyclical,45.1021,45.3737,44.7762,44.7853,1186238
2014-06-25,Foot Locker Inc.,FL,Consumer Cyclical,45.5095,45.5638,44.6676,45.1383,1270505
2014-06-26,Foot Locker Inc.,FL,Consumer Cyclical,45.0659,45.1383,44.3598,44.6495,1325072
2014-06-27,Foot Locker Inc.,FL,Consumer Cyclical,44.8577,46.1704,44.8577,45.8264,2761168
2014-06-30,Foot Locker Inc.,FL,Consumer Cyclical,45.754,45.9441,45.5457,45.9169,1713144
