date,name,symbol,sector,open,high,low,close,volume
2014-04-10,Ford Motor Company,F,Consumer Cyclical,12.1164,12.124,11.8802,11.9106,31254932
2014-04-11,Ford Motor Company,F,Consumer Cyclical,12.0402,12.1392,11.8878,11.9106,39337243
2014-04-14,Ford Motor Company,F,Consumer Cyclical,11.9868,12.0173,11.8344,11.964,20414693
2014-04-15,Ford Motor Company,F,Consumer Cyclical,12.0173,12.1011,11.9335,12.0707,28666175
2014-04-16,Ford Motor Company,F,Consumer Cyclical,12.1469,12.2459,12.1164,12.2459,21861208
2014-04-17,Ford Motor Company,F,Consumer Cyclical,12.185,12.2687,12.185,12.1926,17657937
2014-04-21,Ford Motor Company,F,Consumer Cyclical,12.2002,12.2536,12.1164,12.1773,24911768
2014-04-22,Ford Motor Company,F,Consumer Cyclical,12.1621,12.3298,12.1392,12.2688,18916815
2014-04-23,Ford Motor Company,F,Consumer Cyclical,12.2536,12.4364,12.2536,12.3679,19808733
2014-04-24,Ford Motor Company,F,Consumer Cyclical,12.505,12.5279,12.345,12.4364,27453234
2014-04-25,Ford Motor Company,F,Consumer Cyclical,12.0478,12.1164,11.9716,12.0249,53874192
2014-04-28,Ford Motor Company,F,Consumer Cyclical,12.1469,12.2307,12.0021,12.1697,33030096
2014-04-29,Ford Motor Company,F,Consumer Cyclical,12.1926,12.3069,12.124,12.284,27163734
2014-04-30,Ford Motor Company,F,Consumer Cyclical,12.3109,12.4261,12.2264,12.4031,26524968
2014-05-01,Ford Motor Company,F,Consumer Cyclical,12.4031,12.4415,12.1727,12.2187,30722099
2014-05-02,Ford Motor Company,F,Consumer Cyclical,12.2495,12.2725,12.1343,12.2111,22182779
2014-05-05,Ford Motor Company,F,Consumer Cyclical,12.142,12.188,12.0652,12.0882,25127144
2014-05-06,Ford Motor Company,F,Consumer Cyclical,12.0882,12.1036,11.9269,11.95,23289128
2014-05-07,Ford Motor Company,F,Consumer Cyclical,12.0037,12.0037,11.8501,11.8732,32181828
2014-05-08,Ford Motor Company,F,Consumer Cyclical,11.9346,12.2495,11.9116,12.142,36794779
2014-05-09,Ford Motor Company,F,Consumer Cyclical,12.0805,12.2111,12.0805,12.1112,25172568
2014-05-12,Ford Motor Company,F,Consumer Cyclical,12.142,12.2111,12.1189,12.165,17164707
2014-05-13,Ford Motor Company,F,Consumer Cyclical,12.1727,12.2111,12.0959,12.1803,16509281
2014-05-14,Ford Motor Company,F,Consumer Cyclical,12.1727,12.2034,12.0959,12.0959,15087866
2014-05-15,Ford Motor Company,F,Consumer Cyclical,12.0882,12.0959,11.9423,12.0498,27244262
2014-05-16,Ford Motor Company,F,Consumer Cyclical,12.0575,12.1803,11.95,12.1036,25639225
2014-05-19,Ford Motor Company,F,Consumer Cyclical,12.0728,12.2418,12.0728,12.2264,17368319
2014-05-20,Ford Motor Company,F,Consumer Cyclical,12.2111,12.2341,12.0882,12.1112,20348850
2014-05-21,Ford Motor Company,F,Consumer Cyclical,12.1496,12.2725,12.1343,12.2187,17811407
2014-05-22,Ford Motor Company,F,Consumer Cyclical,12.1727,12.3109,12.1727,12.2187,24848656
2014-05-23,Ford Motor Company,F,Consumer Cyclical,12.2187,12.3109,12.2111,12.3032,17004403
2014-05-27,Ford Motor Company,F,Consumer Cyclical,12.357,12.4415,12.3252,12.4108,21034686
2014-05-28,Ford Motor Company,F,Consumer Cyclical,12.4184,12.5643,12.4031,12.5259,23241418
2014-05-29,Ford Motor Company,F,Consumer Cyclical,12.5951,12.7179,12.572,12.7026,42832478
2014-05-30,Ford Motor Company,F,Consumer Cyclical,12.5951,12.7026,12.572,12.6258,23065423
2014-06-02,Ford Motor Company,F,Consumer Cyclical,12.6795,12.6795,12.5797,12.6258,17975088
2014-06-03,Ford Motor Company,F,Consumer Cyclical,12.6411,12.8408,12.6335,12.7103,32581740
2014-06-04,Ford Motor Company,F,Consumer Cyclical,12.7103,12.9407,12.6411,12.8946,33699592
2014-06-05,Ford Motor Company,F,Consumer Cyclical,12.9176,12.9714,12.7487,12.8101,34825926
2014-06-06,Ford Motor Company,F,Consumer Cyclical,12.8024,13.1173,12.8024,13.1173,38583389
2014-06-09,Ford Motor Company,F,Consumer Cyclical,13.0635,13.148,13.0559,13.0559,23144349
2014-06-10,Ford Motor Company,F,Consumer Cyclical,13.0635,13.1173,13.0482,13.0635,21980136
2014-06-11,Ford Motor Company,F,Consumer Cyclical,13.0328,13.0635,12.9637,12.9791,21409229
2014-06-12,Ford Motor Company,F,Consumer Cyclical,12.9714,13.0021,12.6719,12.6872,28544500
2014-06-13,Ford Motor Company,F,Consumer Cyclical,12.6949,12.7871,12.6719,12.7179,20323354
2014-06-16,Ford Motor Company,F,Consumer Cyclical,12.6488,12.8101,12.5797,12.7717,22219572
2014-06-17,Ford Motor Company,F,Consumer Cyclical,12.7333,12.9023,12.6949,12.8946,17785415
2014-06-18,Ford Motor Company,F,Consumer Cyclical,12.8946,12.9407,12.7679,12.9253,22925751
2014-06-19,Ford Motor Company,F,Consumer Cyclical,12.956,12.956,12.8715,12.8869,16728501
2014-06-20,Ford Motor Company,F,Consumer Cyclical,12.956,12.956,12.7871,12.8024,29981435
2014-06-23,Ford Motor Company,F,Consumer Cyclical,12.8255,12.9944,12.8101,12.9637,23084402
2014-06-24,Ford Motor Company,F,Consumer Cyclical,12.933,13.2095,12.9253,13.0328,37736474
2014-06-25,Ford Motor Company,F,Consumer Cyclical,13.0175,13.2555,12.9944,13.2095,37496685
2014-06-26,Ford Motor Company,F,Consumer Cyclical,13.2632,13.2632,13.0943,13.2095,22193690
2014-06-27,Ford Motor Company,F,Consumer Cyclical,13.1941,13.2786,13.1672,13.2709,31418644
2014-06-30,Ford Motor Company,F,Consumer Cyclical,13.2863,13.3247,13.2095,13.2402,24099967
2014-07-01,Ford Motor Company,F,Consumer Cyclical,13.317,13.3631,13.1096,13.2171,36171515
2014-07-02,Ford Motor Company,F,Consumer Cyclical,13.2018,13.2863,13.1864,13.2248,17002931
2014-07-03,Ford Motor Company,F,Consumer Cyclical,13.2325,13.317,13.2248,13.3016,13581223
2014-07-07,Ford Motor Company,F,Consumer Cyclical,13.2018,13.3631,13.2018,13.3016,20271602
2014-07-08,Ford Motor Company,F,Consumer Cyclical,13.2248,13.2392,13.0943,13.1403,23332243
2014-07-09,Ford Motor Company,F,Consumer Cyclical,13.1787,13.4015,13.1634,13.3861,27036963
2014-07-10,Ford Motor Company,F,Consumer Cyclical,13.2095,13.3554,13.1864,13.2863,20165185
2014-07-11,Ford Motor Company,F,Consumer Cyclical,13.2939,13.4322,13.2786,13.4168,20149953
2014-07-14,Ford Motor Company,F,Consumer Cyclical,13.4475,13.5167,13.4015,13.4783,20455228
2014-07-15,Ford Motor Company,F,Consumer Cyclical,13.4783,13.5551,13.4015,13.4706,22631089
2014-07-16,Ford Motor Company,F,Consumer Cyclical,13.5628,13.724,13.532,13.6703,36065737
2014-07-17,Ford Motor Company,F,Consumer Cyclical,13.5627,13.8853,13.5474,13.6242,47287297
2014-07-18,Ford Motor Company,F,Consumer Cyclical,13.6703,13.701,13.5551,13.6088,24838797
2014-07-21,Ford Motor Company,F,Consumer Cyclical,13.5551,13.7471,13.5551,13.5935,19200500
2014-07-22,Ford Motor Company,F,Consumer Cyclical,13.6472,13.7163,13.5704,13.6856,24547298
2014-07-23,Ford Motor Company,F,Consumer Cyclical,13.6933,13.7855,13.6549,13.6549,30932482
2014-07-24,Ford Motor Company,F,Consumer Cyclical,13.8315,13.916,13.5781,13.701,53837956
2014-07-25,Ford Motor Company,F,Consumer Cyclical,13.7471,13.7624,13.4475,13.532,34499753
2014-07-28,Ford Motor Company,F,Consumer Cyclical,13.532,13.6011,13.4168,13.5474,29662377
2014-07-29,Ford Motor Company,F,Consumer Cyclical,13.5551,13.7087,13.4706,13.4936,32972797
2014-07-30,Ford Motor Company,F,Consumer Cyclical,13.5516,13.6135,13.3969,13.5052,30169696
2014-07-31,Ford Motor Company,F,Consumer Cyclical,13.3815,13.4047,13.1571,13.1649,34170628
2014-08-01,Ford Motor Company,F,Consumer Cyclical,13.1881,13.2886,12.9328,13.0024,33677955
2014-08-04,Ford Motor Company,F,Consumer Cyclical,13.1185,13.2546,13.103,13.1649,24871286
2014-08-05,Ford Motor Company,F,Consumer Cyclical,13.103,13.2577,12.9792,13.0489,24851172
2014-08-06,Ford Motor Company,F,Consumer Cyclical,12.9483,13.2113,12.9483,13.1339,21872932
2014-08-07,Ford Motor Company,F,Consumer Cyclical,13.1803,13.2268,12.9715,13.0102,19997660
2014-08-08,Ford Motor Company,F,Consumer Cyclical,12.9946,13.2422,12.956,13.219,29370435
2014-08-11,Ford Motor Company,F,Consumer Cyclical,13.2809,13.3389,13.2345,13.2809,17814865
2014-08-12,Ford Motor Company,F,Consumer Cyclical,13.2654,13.4665,13.2577,13.3118,25514846
2014-08-13,Ford Motor Company,F,Consumer Cyclical,13.5207,13.5207,13.3969,13.4743,26155194
2014-08-14,Ford Motor Company,F,Consumer Cyclical,13.4588,13.5207,13.3273,13.482,19733501
2014-08-15,Ford Motor Company,F,Consumer Cyclical,13.5284,13.5284,13.2809,13.3892,20959569
2014-08-18,Ford Motor Company,F,Consumer Cyclical,13.4433,13.5516,13.4433,13.482,17174948
2014-08-19,Ford Motor Company,F,Consumer Cyclical,13.5439,13.5516,13.3969,13.4279,15899353
2014-08-20,Ford Motor Company,F,Consumer Cyclical,13.4201,13.482,13.3428,13.4665,14207276
2014-08-21,Ford Motor Company,F,Consumer Cyclical,13.482,13.5284,13.4356,13.4588,15051296
2014-08-22,Ford Motor Company,F,Consumer Cyclical,13.3969,13.4511,13.2654,13.2809,20294769
2014-08-25,Ford Motor Company,F,Consumer Cyclical,13.3118,13.3737,13.3041,13.3273,10770252
2014-08-26,Ford Motor Company,F,Consumer Cyclical,13.3505,13.4201,13.2964,13.2964,12167204
2014-08-27,Ford Motor Company,F,Consumer Cyclical,13.3273,13.4588,13.3118,13.4279,18221103
2014-08-28,Ford Motor Company,F,Consumer Cyclical,13.3583,13.4975,13.3118,13.4743,16855014
2014-08-29,Ford Motor Company,F,Consumer Cyclical,13.5129,13.5284,13.4511,13.4665,15374784
2014-09-02,Ford Motor Company,F,Consumer Cyclical,13.5207,13.629,13.5207,13.6135,18538339
2014-09-03,Ford Motor Company,F,Consumer Cyclical,13.6986,13.8223,13.4897,13.5129,25723888
2014-09-04,Ford Motor Company,F,Consumer Cyclical,13.5052,13.6332,13.2964,13.3583,20733686
2014-09-05,Ford Motor Company,F,Consumer Cyclical,13.3815,13.3815,13.103,13.2577,29801662
2014-09-08,Ford Motor Company,F,Consumer Cyclical,12.9483,13.0489,12.9251,12.9947,47565253
2014-09-09,Ford Motor Company,F,Consumer Cyclical,12.987,13.0102,12.8323,12.8632,26656592
2014-09-10,Ford Motor Company,F,Consumer Cyclical,12.8787,12.9328,12.8477,12.8632,16644382
2014-09-11,Ford Motor Company,F,Consumer Cyclical,12.8323,12.8918,12.7704,12.8864,14670061
2014-09-12,Ford Motor Company,F,Consumer Cyclical,12.8709,12.9019,12.7627,12.8323,16512713
2014-09-15,Ford Motor Company,F,Consumer Cyclical,12.8091,12.8555,12.7008,12.7395,23691587
2014-09-16,Ford Motor Company,F,Consumer Cyclical,12.6698,12.7859,12.4997,12.7781,23772607
2014-09-17,Ford Motor Company,F,Consumer Cyclical,12.8323,12.9174,12.7781,12.7859,25366299
2014-09-18,Ford Motor Company,F,Consumer Cyclical,12.7936,12.8787,12.7627,12.8245,19453018
2014-09-19,Ford Motor Company,F,Consumer Cyclical,12.9019,12.9715,12.8245,12.8787,35008506
2014-09-22,Ford Motor Company,F,Consumer Cyclical,12.8245,12.8477,12.6389,12.6544,23800260
2014-09-23,Ford Motor Company,F,Consumer Cyclical,12.6157,12.6466,12.4866,12.5074,28285137
2014-09-24,Ford Motor Company,F,Consumer Cyclical,12.5616,12.724,12.5616,12.693,22021636
2014-09-25,Ford Motor Company,F,Consumer Cyclical,12.6853,12.6853,12.5074,12.5306,19054868
2014-09-26,Ford Motor Company,F,Consumer Cyclical,12.5538,12.6312,12.5151,12.6312,20432094
2014-09-29,Ford Motor Company,F,Consumer Cyclical,12.4919,12.6853,11.4709,11.6875,82938687
2014-09-30,Ford Motor Company,F,Consumer Cyclical,11.6102,11.7184,11.2079,11.44,115056660
2014-10-01,Ford Motor Company,F,Consumer Cyclical,11.4245,11.4709,11.2621,11.2853,55948262
2014-10-02,Ford Motor Company,F,Consumer Cyclical,11.3356,11.3472,11.1693,11.2621,37788366
2014-10-03,Ford Motor Company,F,Consumer Cyclical,11.3394,11.3626,11.2157,11.2853,38177484
2014-10-06,Ford Motor Company,F,Consumer Cyclical,11.3394,11.3674,11.2157,11.2311,23974313
2014-10-07,Ford Motor Company,F,Consumer Cyclical,11.1925,11.2079,10.8908,10.9063,42850710
