date,name,symbol,sector,open,high,low,close,volume
2014-04-10,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,24.4751,24.5777,23.7103,23.7569,4810608
2014-04-11,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,23.7755,24.0181,23.4864,23.5144,6398096
2014-04-14,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,23.7755,24.0087,23.3931,23.8129,3132666
2014-04-15,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,23.9714,24.3538,23.589,24.2792,4777051
2014-04-16,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,24.5964,25.2026,24.4285,25.1094,6679285
2014-04-17,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,25.2679,25.4349,24.9881,25.184,3661900
2014-04-21,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,24.9788,25.5198,24.8856,25.3892,2534768
2014-04-22,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,25.2679,25.5664,25.2027,25.2866,3036321
2014-04-23,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,25.2026,25.6224,25.1933,25.4825,2222387
2014-04-24,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,26.4339,26.5644,25.8182,26.3033,5004689
2014-04-25,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,26.2007,26.2659,25.4731,25.5944,2962701
2014-04-28,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,25.8835,25.9582,24.9228,25.3799,6142035
2014-04-29,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,23.6418,24.6323,23.1278,23.4642,15544526
2014-04-30,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,23.2867,23.6511,23.1839,23.5483,6906336
2014-05-01,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,23.6231,24.0903,23.3614,23.7913,4938360
2014-05-02,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,23.7819,24.0342,23.5483,23.6324,3390552
2014-05-05,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,23.539,23.6137,23.268,23.5764,3165621
2014-05-06,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,23.4175,23.6978,23.1091,23.1278,4849013
2014-05-07,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,23.1932,23.2306,22.6326,23.1185,4316263
2014-05-08,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,23.1278,23.3717,22.6513,22.7073,4067399
2014-05-09,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,22.698,22.7167,22.2307,22.3429,5997648
2014-05-12,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,22.4924,22.7774,22.4363,22.7167,3032982
2014-05-13,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,22.6886,23.296,22.5298,23.1091,3494602
2014-05-14,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,22.9503,23.268,22.5765,22.6793,2689702
2014-05-15,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,22.6045,23.1792,22.2588,23.1652,6018866
2014-05-16,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,23.3147,23.3708,22.8494,23.0531,3377729
2014-05-19,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,22.9129,23.3875,22.8475,23.3147,2566809
2014-05-20,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,23.2586,23.3427,22.7073,22.8195,2604688
2014-05-21,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,22.9877,23.1932,22.8008,23.0063,1956136
2014-05-22,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,23.0063,23.268,22.8942,23.0811,2342746
2014-05-23,The Goodyear Tire & Rubber Company,GT,Consumer Cyclical,23.0531,23.9595,23.0531,23.9595,3993880
