date,name,symbol,sector,open,high,low,close,volume
2014-04-10,Procter & Gamble Company (The),PG,Consumer Defensive,69.4241,69.8921,68.8369,69.0071,12202694
2014-04-11,Procter & Gamble Company (The),PG,Consumer Defensive,68.9135,69.4922,68.505,68.7263,11831591
2014-04-14,Procter & Gamble Company (The),PG,Consumer Defensive,68.9305,69.1007,68.5135,68.7688,7105587
2014-04-15,Procter & Gamble Company (The),PG,Consumer Defensive,68.7518,69.0071,68.522,68.7944,9007674
2014-04-16,Procter & Gamble Company (The),PG,Consumer Defensive,69.1688,69.6794,68.956,69.4837,8301006
2014-04-17,Procter & Gamble Company (The),PG,Consumer Defensive,69.3305,69.6879,69.2199,69.5773,8374713
2014-04-21,Procter & Gamble Company (The),PG,Consumer Defensive,69.6198,69.6198,69.1773,69.4071,6395150
2014-04-22,Procter & Gamble Company (The),PG,Consumer Defensive,69.3901,69.5007,69.0582,69.1433,9260267
2014-04-23,Procter & Gamble Company (The),PG,Consumer Defensive,69.2407,69.2407,68.0913,68.9319,9580599
2014-04-24,Procter & Gamble Company (The),PG,Consumer Defensive,68.8461,69.8068,68.6317,69.6095,9528562
2014-04-25,Procter & Gamble Company (The),PG,Consumer Defensive,69.6524,69.9784,69.4551,69.8326,7497404
2014-04-28,Procter & Gamble Company (The),PG,Consumer Defensive,69.9441,71.1793,69.9183,71.145,11595127
2014-04-29,Procter & Gamble Company (The),PG,Consumer Defensive,70.982,71.1536,70.6475,70.7161,7214281
2014-04-30,Procter & Gamble Company (The),PG,Consumer Defensive,70.6732,70.982,70.5424,70.8104,6253243
2014-05-01,Procter & Gamble Company (The),PG,Consumer Defensive,70.6732,70.7418,70.1328,70.6303,5312492
2014-05-02,Procter & Gamble Company (The),PG,Consumer Defensive,70.5274,70.8533,70.1242,70.27,6629371
2014-05-05,Procter & Gamble Company (The),PG,Consumer Defensive,70.0299,70.2392,69.884,70.0813,4563610
2014-05-06,Procter & Gamble Company (The),PG,Consumer Defensive,70.1328,70.1328,69.5838,69.5924,4591267
2014-05-07,Procter & Gamble Company (The),PG,Consumer Defensive,69.8669,70.4587,69.8411,70.4159,6639614
2014-05-08,Procter & Gamble Company (The),PG,Consumer Defensive,70.3901,70.6132,70.1843,70.4759,4631207
2014-05-09,Procter & Gamble Company (The),PG,Consumer Defensive,70.5102,71.0249,70.4587,70.6732,7303502
2014-05-12,Procter & Gamble Company (The),PG,Consumer Defensive,70.8619,70.9477,70.0899,70.1071,7859053
2014-05-13,Procter & Gamble Company (The),PG,Consumer Defensive,70.2872,70.3215,69.8411,70.0041,6540218
2014-05-14,Procter & Gamble Company (The),PG,Consumer Defensive,70.1156,70.2615,69.5838,69.6267,6872657
2014-05-15,Procter & Gamble Company (The),PG,Consumer Defensive,69.6953,69.7983,69.0005,69.0777,9402103
2014-05-16,Procter & Gamble Company (The),PG,Consumer Defensive,69.1635,69.275,68.6231,68.9062,11559255
2014-05-19,Procter & Gamble Company (The),PG,Consumer Defensive,68.6317,68.666,68.2285,68.563,6073538
2014-05-20,Procter & Gamble Company (The),PG,Consumer Defensive,68.6402,69.1206,68.5974,68.8204,7057232
2014-05-21,Procter & Gamble Company (The),PG,Consumer Defensive,68.9147,69.1978,68.6402,69.0434,6339794
2014-05-22,Procter & Gamble Company (The),PG,Consumer Defensive,68.9405,69.1978,68.666,69.1806,5561257
2014-05-23,Procter & Gamble Company (The),PG,Consumer Defensive,69.0606,69.3522,68.9662,69.0691,4472635
2014-05-27,Procter & Gamble Company (The),PG,Consumer Defensive,69.0949,69.1206,68.666,68.6917,7004714
2014-05-28,Procter & Gamble Company (The),PG,Consumer Defensive,68.6488,68.8633,68.6402,68.7089,4201377
2014-05-29,Procter & Gamble Company (The),PG,Consumer Defensive,68.7089,68.9662,68.6917,68.9662,3886779
2014-05-30,Procter & Gamble Company (The),PG,Consumer Defensive,68.8375,69.3522,68.7689,69.3007,7432199
2014-06-02,Procter & Gamble Company (The),PG,Consumer Defensive,69.1892,69.1978,68.8718,68.9319,4331701
2014-06-03,Procter & Gamble Company (The),PG,Consumer Defensive,68.6574,68.8804,68.28,68.563,6970914
2014-06-04,Procter & Gamble Company (The),PG,Consumer Defensive,68.6231,68.8118,68.3144,68.503,5427687
2014-06-05,Procter & Gamble Company (The),PG,Consumer Defensive,68.7174,68.889,68.5974,68.7174,5788203
2014-06-06,Procter & Gamble Company (The),PG,Consumer Defensive,68.7003,68.8268,68.4687,68.6488,5521710
2014-06-09,Procter & Gamble Company (The),PG,Consumer Defensive,68.5459,68.829,68.4944,68.7003,6352506
2014-06-10,Procter & Gamble Company (The),PG,Consumer Defensive,68.6488,68.8804,68.6231,68.7518,5658366
2014-06-11,Procter & Gamble Company (The),PG,Consumer Defensive,68.666,68.8804,68.5201,68.6746,7453733
2014-06-12,Procter & Gamble Company (The),PG,Consumer Defensive,68.4687,68.6488,68.3572,68.4172,6526949
2014-06-13,Procter & Gamble Company (The),PG,Consumer Defensive,68.3915,68.5716,68.1942,68.3143,5214278
2014-06-16,Procter & Gamble Company (The),PG,Consumer Defensive,68.2113,68.5716,67.8597,68.3572,5334617
2014-06-17,Procter & Gamble Company (The),PG,Consumer Defensive,68.2885,68.4429,68.0655,68.2628,5337668
2014-06-18,Procter & Gamble Company (The),PG,Consumer Defensive,68.1427,68.5716,67.8768,68.4429,9618007
2014-06-19,Procter & Gamble Company (The),PG,Consumer Defensive,68.4944,69.112,68.4515,68.829,12493024
2014-06-20,Procter & Gamble Company (The),PG,Consumer Defensive,69.0005,69.052,68.473,68.563,11664486
2014-06-23,Procter & Gamble Company (The),PG,Consumer Defensive,68.6746,68.6746,68.0741,68.2113,6947701
2014-06-24,Procter & Gamble Company (The),PG,Consumer Defensive,68.1256,68.1427,67.6924,67.7739,8157305
2014-06-25,Procter & Gamble Company (The),PG,Consumer Defensive,67.7996,68.0698,67.4651,68.0398,12569262
