date,name,symbol,sector,open,high,low,close,volume
2014-04-10,PNC Financial Services Group Inc. (The),PNC,Financial Services,75.2547,75.5038,73.1112,73.1201,3505202
2014-04-11,PNC Financial Services Group Inc. (The),PNC,Financial Services,72.4223,73.299,71.3934,72.5923,3193912
2014-04-14,PNC Financial Services Group Inc. (The),PNC,Financial Services,73.299,73.5316,72.2255,72.9949,2072681
2014-04-15,PNC Financial Services Group Inc. (The),PNC,Financial Services,73.2006,73.6301,72.3507,73.4959,2363534
2014-04-16,PNC Financial Services Group Inc. (The),PNC,Financial Services,74.4084,75.7325,73.7195,75.4909,4320340
2014-04-17,PNC Financial Services Group Inc. (The),PNC,Financial Services,75.0705,75.3657,74.4263,74.9452,2486492
2014-04-21,PNC Financial Services Group Inc. (The),PNC,Financial Services,75.1599,75.7146,74.7663,74.8826,1733369
2014-04-22,PNC Financial Services Group Inc. (The),PNC,Financial Services,74.82,75.8488,74.5784,75.7414,1938331
2014-04-23,PNC Financial Services Group Inc. (The),PNC,Financial Services,75.5983,75.9741,75.4641,75.8041,1695636
2014-04-24,PNC Financial Services Group Inc. (The),PNC,Financial Services,76.0814,76.1261,75.1868,75.3836,1715770
2014-04-25,PNC Financial Services Group Inc. (The),PNC,Financial Services,75.4015,75.8041,74.8826,75.0347,1787597
2014-04-28,PNC Financial Services Group Inc. (The),PNC,Financial Services,75.2494,75.321,73.8448,74.2205,2648599
2014-04-29,PNC Financial Services Group Inc. (The),PNC,Financial Services,74.7394,75.1689,74.471,74.6321,1665788
2014-04-30,PNC Financial Services Group Inc. (The),PNC,Financial Services,74.7215,75.3567,74.6142,75.1868,2305563
2014-05-01,PNC Financial Services Group Inc. (The),PNC,Financial Services,75.1152,75.4731,74.5784,74.9452,1734635
2014-05-02,PNC Financial Services Group Inc. (The),PNC,Financial Services,75.2136,76.8329,74.972,75.8041,2950168
2014-05-05,PNC Financial Services Group Inc. (The),PNC,Financial Services,75.5983,75.5983,74.7144,75.2941,2006942
2014-05-06,PNC Financial Services Group Inc. (The),PNC,Financial Services,74.9363,74.9989,74.1937,74.2116,1564779
2014-05-07,PNC Financial Services Group Inc. (The),PNC,Financial Services,74.4979,75.1152,74.3279,75.0257,1669704
2014-05-08,PNC Financial Services Group Inc. (The),PNC,Financial Services,74.7573,75.5177,74.7305,75.0257,1529748
2014-05-09,PNC Financial Services Group Inc. (The),PNC,Financial Services,74.9094,75.3388,74.5605,75.312,1255375
2014-05-12,PNC Financial Services Group Inc. (The),PNC,Financial Services,75.6609,76.654,75.4283,76.4661,1903931
2014-05-13,PNC Financial Services Group Inc. (The),PNC,Financial Services,76.5108,76.654,75.7593,75.8488,1309669
2014-05-14,PNC Financial Services Group Inc. (The),PNC,Financial Services,75.8041,76.0904,74.3458,74.5158,2678731
2014-05-15,PNC Financial Services Group Inc. (The),PNC,Financial Services,74.31,74.4352,73.0485,73.9342,2185384
2014-05-16,PNC Financial Services Group Inc. (The),PNC,Financial Services,73.8269,74.2116,73.3975,74.0595,2184971
2014-05-19,PNC Financial Services Group Inc. (The),PNC,Financial Services,73.8448,74.5873,73.7911,74.4442,1548135
2014-05-20,PNC Financial Services Group Inc. (The),PNC,Financial Services,74.2563,74.4442,73.6569,73.9253,1645691
2014-05-21,PNC Financial Services Group Inc. (The),PNC,Financial Services,74.2116,75.3612,74.2116,74.7215,1593112
2014-05-22,PNC Financial Services Group Inc. (The),PNC,Financial Services,74.7573,75.2404,74.5784,75.2315,1561339
2014-05-23,PNC Financial Services Group Inc. (The),PNC,Financial Services,75.3299,75.7683,75.0257,75.6072,1280447
2014-05-27,PNC Financial Services Group Inc. (The),PNC,Financial Services,75.9383,76.6361,75.7227,75.7772,1588230
2014-05-28,PNC Financial Services Group Inc. (The),PNC,Financial Services,75.7593,75.8399,75.2852,75.6162,1380605
2014-05-29,PNC Financial Services Group Inc. (The),PNC,Financial Services,75.652,75.8846,75.2941,75.8309,2265745
2014-05-30,PNC Financial Services Group Inc. (The),PNC,Financial Services,75.7146,76.5645,75.7057,76.2872,1414690
